regions,periods,input_comm,tech,TIS,ti_split_notes
TO,2022,RESBDGNGA,RESBDGAPAOldSHFUR___MEDNGA_EX,1,ResidentialBuildingApartmentsOldFloorSpace HeatingFurnaceMediumNatural Gas
TO,2022,RESBDGNGA,RESBDGSDEOldSHFUR___MEDNGA_EX,1,ResidentialBuildingSingle DetachedOldFloorSpace HeatingFurnaceMediumNatural Gas
TO,2022,RESBDGNGA,RESBDGSATOldSHFUR___MEDNGA_EX,1,ResidentialBuildingSingle AttachedOldFloorSpace HeatingFurnaceMediumNatural Gas
TO,2022,RESBDGNGA,RESBDGAPAOldSHFUR___HIGNGA_EX,1,ResidentialBuildingApartmentsOldFloorSpace HeatingFurnaceHigh EfficiencyNatural Gas
TO,2022,RESBDGNGA,RESBDGSDEOldSHFUR___HIGNGA_EX,1,ResidentialBuildingSingle DetachedOldFloorSpace HeatingFurnaceHigh EfficiencyNatural Gas
TO,2022,RESBDGNGA,RESBDGSATOldSHFUR___HIGNGA_EX,1,ResidentialBuildingSingle AttachedOldFloorSpace HeatingFurnaceHigh EfficiencyNatural Gas
TO,2023,RESBDGNGA,RESBDGAPAOldSHFUR___MEDNGA_EX,1,ResidentialBuildingApartmentsOldFloorSpace HeatingFurnaceMediumNatural Gas
TO,2023,RESBDGNGA,RESBDGSDEOldSHFUR___MEDNGA_EX,1,ResidentialBuildingSingle DetachedOldFloorSpace HeatingFurnaceMediumNatural Gas
TO,2023,RESBDGNGA,RESBDGSATOldSHFUR___MEDNGA_EX,1,ResidentialBuildingSingle AttachedOldFloorSpace HeatingFurnaceMediumNatural Gas
TO,2023,RESBDGNGA,RESBDGAPAOldSHFUR___HIGNGA_EX,1,ResidentialBuildingApartmentsOldFloorSpace HeatingFurnaceHigh EfficiencyNatural Gas
TO,2023,RESBDGNGA,RESBDGSDEOldSHFUR___HIGNGA_EX,1,ResidentialBuildingSingle DetachedOldFloorSpace HeatingFurnaceHigh EfficiencyNatural Gas
TO,2023,RESBDGNGA,RESBDGSATOldSHFUR___HIGNGA_EX,1,ResidentialBuildingSingle AttachedOldFloorSpace HeatingFurnaceHigh EfficiencyNatural Gas
TO,2024,RESBDGNGA,RESBDGAPAOldSHFUR___MEDNGA_EX,1,ResidentialBuildingApartmentsOldFloorSpace HeatingFurnaceMediumNatural Gas
TO,2024,RESBDGNGA,RESBDGSDEOldSHFUR___MEDNGA_EX,1,ResidentialBuildingSingle DetachedOldFloorSpace HeatingFurnaceMediumNatural Gas
TO,2024,RESBDGNGA,RESBDGSATOldSHFUR___MEDNGA_EX,1,ResidentialBuildingSingle AttachedOldFloorSpace HeatingFurnaceMediumNatural Gas
TO,2024,RESBDGNGA,RESBDGAPAOldSHFUR___HIGNGA_EX,1,ResidentialBuildingApartmentsOldFloorSpace HeatingFurnaceHigh EfficiencyNatural Gas
TO,2024,RESBDGNGA,RESBDGSDEOldSHFUR___HIGNGA_EX,1,ResidentialBuildingSingle DetachedOldFloorSpace HeatingFurnaceHigh EfficiencyNatural Gas
TO,2024,RESBDGNGA,RESBDGSATOldSHFUR___HIGNGA_EX,1,ResidentialBuildingSingle AttachedOldFloorSpace HeatingFurnaceHigh EfficiencyNatural Gas
TO,2025,RESBDGNGA,RESBDGAPAOldSHFUR___MEDNGA_EX,1,ResidentialBuildingApartmentsOldFloorSpace HeatingFurnaceMediumNatural Gas
TO,2025,RESBDGNGA,RESBDGSDEOldSHFUR___MEDNGA_EX,1,ResidentialBuildingSingle DetachedOldFloorSpace HeatingFurnaceMediumNatural Gas
TO,2025,RESBDGNGA,RESBDGSATOldSHFUR___MEDNGA_EX,1,ResidentialBuildingSingle AttachedOldFloorSpace HeatingFurnaceMediumNatural Gas
TO,2025,RESBDGNGA,RESBDGAPAOldSHFUR___HIGNGA_EX,1,ResidentialBuildingApartmentsOldFloorSpace HeatingFurnaceHigh EfficiencyNatural Gas
TO,2025,RESBDGNGA,RESBDGSDEOldSHFUR___HIGNGA_EX,1,ResidentialBuildingSingle DetachedOldFloorSpace HeatingFurnaceHigh EfficiencyNatural Gas
TO,2025,RESBDGNGA,RESBDGSATOldSHFUR___HIGNGA_EX,1,ResidentialBuildingSingle AttachedOldFloorSpace HeatingFurnaceHigh EfficiencyNatural Gas
TO,2026,RESBDGNGA,RESBDGAPAOldSHFUR___MEDNGA_EX,1,ResidentialBuildingApartmentsOldFloorSpace HeatingFurnaceMediumNatural Gas
TO,2026,RESBDGNGA,RESBDGSDEOldSHFUR___MEDNGA_EX,1,ResidentialBuildingSingle DetachedOldFloorSpace HeatingFurnaceMediumNatural Gas
TO,2026,RESBDGNGA,RESBDGSATOldSHFUR___MEDNGA_EX,1,ResidentialBuildingSingle AttachedOldFloorSpace HeatingFurnaceMediumNatural Gas
TO,2026,RESBDGNGA,RESBDGAPAOldSHFUR___HIGNGA_EX,1,ResidentialBuildingApartmentsOldFloorSpace HeatingFurnaceHigh EfficiencyNatural Gas
TO,2026,RESBDGNGA,RESBDGSDEOldSHFUR___HIGNGA_EX,1,ResidentialBuildingSingle DetachedOldFloorSpace HeatingFurnaceHigh EfficiencyNatural Gas
TO,2026,RESBDGNGA,RESBDGSATOldSHFUR___HIGNGA_EX,1,ResidentialBuildingSingle AttachedOldFloorSpace HeatingFurnaceHigh EfficiencyNatural Gas
TO,2027,RESBDGNGA,RESBDGAPAOldSHFUR___MEDNGA_EX,1,ResidentialBuildingApartmentsOldFloorSpace HeatingFurnaceMediumNatural Gas
TO,2027,RESBDGNGA,RESBDGSDEOldSHFUR___MEDNGA_EX,1,ResidentialBuildingSingle DetachedOldFloorSpace HeatingFurnaceMediumNatural Gas
TO,2027,RESBDGNGA,RESBDGSATOldSHFUR___MEDNGA_EX,1,ResidentialBuildingSingle AttachedOldFloorSpace HeatingFurnaceMediumNatural Gas
TO,2027,RESBDGNGA,RESBDGAPAOldSHFUR___HIGNGA_EX,1,ResidentialBuildingApartmentsOldFloorSpace HeatingFurnaceHigh EfficiencyNatural Gas
TO,2027,RESBDGNGA,RESBDGSDEOldSHFUR___HIGNGA_EX,1,ResidentialBuildingSingle DetachedOldFloorSpace HeatingFurnaceHigh EfficiencyNatural Gas
TO,2027,RESBDGNGA,RESBDGSATOldSHFUR___HIGNGA_EX,1,ResidentialBuildingSingle AttachedOldFloorSpace HeatingFurnaceHigh EfficiencyNatural Gas
TO,2028,RESBDGNGA,RESBDGAPAOldSHFUR___MEDNGA_EX,1,ResidentialBuildingApartmentsOldFloorSpace HeatingFurnaceMediumNatural Gas
TO,2028,RESBDGNGA,RESBDGSDEOldSHFUR___MEDNGA_EX,1,ResidentialBuildingSingle DetachedOldFloorSpace HeatingFurnaceMediumNatural Gas
TO,2028,RESBDGNGA,RESBDGSATOldSHFUR___MEDNGA_EX,1,ResidentialBuildingSingle AttachedOldFloorSpace HeatingFurnaceMediumNatural Gas
TO,2028,RESBDGNGA,RESBDGAPAOldSHFUR___HIGNGA_EX,1,ResidentialBuildingApartmentsOldFloorSpace HeatingFurnaceHigh EfficiencyNatural Gas
TO,2028,RESBDGNGA,RESBDGSDEOldSHFUR___HIGNGA_EX,1,ResidentialBuildingSingle DetachedOldFloorSpace HeatingFurnaceHigh EfficiencyNatural Gas
TO,2028,RESBDGNGA,RESBDGSATOldSHFUR___HIGNGA_EX,1,ResidentialBuildingSingle AttachedOldFloorSpace HeatingFurnaceHigh EfficiencyNatural Gas
TO,2029,RESBDGNGA,RESBDGAPAOldSHFUR___MEDNGA_EX,1,ResidentialBuildingApartmentsOldFloorSpace HeatingFurnaceMediumNatural Gas
TO,2029,RESBDGNGA,RESBDGSDEOldSHFUR___MEDNGA_EX,1,ResidentialBuildingSingle DetachedOldFloorSpace HeatingFurnaceMediumNatural Gas
TO,2029,RESBDGNGA,RESBDGSATOldSHFUR___MEDNGA_EX,1,ResidentialBuildingSingle AttachedOldFloorSpace HeatingFurnaceMediumNatural Gas
TO,2029,RESBDGNGA,RESBDGAPAOldSHFUR___HIGNGA_EX,1,ResidentialBuildingApartmentsOldFloorSpace HeatingFurnaceHigh EfficiencyNatural Gas
TO,2029,RESBDGNGA,RESBDGSDEOldSHFUR___HIGNGA_EX,1,ResidentialBuildingSingle DetachedOldFloorSpace HeatingFurnaceHigh EfficiencyNatural Gas
TO,2029,RESBDGNGA,RESBDGSATOldSHFUR___HIGNGA_EX,1,ResidentialBuildingSingle AttachedOldFloorSpace HeatingFurnaceHigh EfficiencyNatural Gas
TO,2030,RESBDGNGA,RESBDGAPAOldSHFUR___MEDNGA_EX,1,ResidentialBuildingApartmentsOldFloorSpace HeatingFurnaceMediumNatural Gas
TO,2030,RESBDGNGA,RESBDGSDEOldSHFUR___MEDNGA_EX,1,ResidentialBuildingSingle DetachedOldFloorSpace HeatingFurnaceMediumNatural Gas
TO,2030,RESBDGNGA,RESBDGSATOldSHFUR___MEDNGA_EX,1,ResidentialBuildingSingle AttachedOldFloorSpace HeatingFurnaceMediumNatural Gas
TO,2030,RESBDGNGA,RESBDGAPAOldSHFUR___HIGNGA_EX,1,ResidentialBuildingApartmentsOldFloorSpace HeatingFurnaceHigh EfficiencyNatural Gas
TO,2030,RESBDGNGA,RESBDGSDEOldSHFUR___HIGNGA_EX,1,ResidentialBuildingSingle DetachedOldFloorSpace HeatingFurnaceHigh EfficiencyNatural Gas
TO,2030,RESBDGNGA,RESBDGSATOldSHFUR___HIGNGA_EX,1,ResidentialBuildingSingle AttachedOldFloorSpace HeatingFurnaceHigh EfficiencyNatural Gas
TO,2031,RESBDGNGA,RESBDGAPAOldSHFUR___MEDNGA_EX,1,ResidentialBuildingApartmentsOldFloorSpace HeatingFurnaceMediumNatural Gas
TO,2031,RESBDGNGA,RESBDGSDEOldSHFUR___MEDNGA_EX,1,ResidentialBuildingSingle DetachedOldFloorSpace HeatingFurnaceMediumNatural Gas
TO,2031,RESBDGNGA,RESBDGSATOldSHFUR___MEDNGA_EX,1,ResidentialBuildingSingle AttachedOldFloorSpace HeatingFurnaceMediumNatural Gas
TO,2031,RESBDGNGA,RESBDGAPAOldSHFUR___HIGNGA_EX,1,ResidentialBuildingApartmentsOldFloorSpace HeatingFurnaceHigh EfficiencyNatural Gas
TO,2031,RESBDGNGA,RESBDGSDEOldSHFUR___HIGNGA_EX,1,ResidentialBuildingSingle DetachedOldFloorSpace HeatingFurnaceHigh EfficiencyNatural Gas
TO,2031,RESBDGNGA,RESBDGSATOldSHFUR___HIGNGA_EX,1,ResidentialBuildingSingle AttachedOldFloorSpace HeatingFurnaceHigh EfficiencyNatural Gas
TO,2032,RESBDGNGA,RESBDGAPAOldSHFUR___MEDNGA_EX,1,ResidentialBuildingApartmentsOldFloorSpace HeatingFurnaceMediumNatural Gas
TO,2032,RESBDGNGA,RESBDGSDEOldSHFUR___MEDNGA_EX,1,ResidentialBuildingSingle DetachedOldFloorSpace HeatingFurnaceMediumNatural Gas
TO,2032,RESBDGNGA,RESBDGSATOldSHFUR___MEDNGA_EX,1,ResidentialBuildingSingle AttachedOldFloorSpace HeatingFurnaceMediumNatural Gas
TO,2032,RESBDGNGA,RESBDGAPAOldSHFUR___HIGNGA_EX,1,ResidentialBuildingApartmentsOldFloorSpace HeatingFurnaceHigh EfficiencyNatural Gas
TO,2032,RESBDGNGA,RESBDGSDEOldSHFUR___HIGNGA_EX,1,ResidentialBuildingSingle DetachedOldFloorSpace HeatingFurnaceHigh EfficiencyNatural Gas
TO,2032,RESBDGNGA,RESBDGSATOldSHFUR___HIGNGA_EX,1,ResidentialBuildingSingle AttachedOldFloorSpace HeatingFurnaceHigh EfficiencyNatural Gas
TO,2033,RESBDGNGA,RESBDGAPAOldSHFUR___MEDNGA_EX,1,ResidentialBuildingApartmentsOldFloorSpace HeatingFurnaceMediumNatural Gas
TO,2033,RESBDGNGA,RESBDGSDEOldSHFUR___MEDNGA_EX,1,ResidentialBuildingSingle DetachedOldFloorSpace HeatingFurnaceMediumNatural Gas
TO,2033,RESBDGNGA,RESBDGSATOldSHFUR___MEDNGA_EX,1,ResidentialBuildingSingle AttachedOldFloorSpace HeatingFurnaceMediumNatural Gas
TO,2033,RESBDGNGA,RESBDGAPAOldSHFUR___HIGNGA_EX,1,ResidentialBuildingApartmentsOldFloorSpace HeatingFurnaceHigh EfficiencyNatural Gas
TO,2033,RESBDGNGA,RESBDGSDEOldSHFUR___HIGNGA_EX,1,ResidentialBuildingSingle DetachedOldFloorSpace HeatingFurnaceHigh EfficiencyNatural Gas
