regions,periods,tech,group_name,min_share_g,tech_desc
TO,2026,FRETRAROATRUHETBEVBELCF____25,BAP-TRA-5-FRETRA-ROATRUHET,0.025,
TO,2026,FRETRAROATRUMETBEVBELCF____23,BAP-TRA-5-FRETRA-ROATRUMET,0.025,
TO,2027,FRETRAROATRUHETBEVBELCF____25,BAP-TRA-5-FRETRA-ROATRUHET,0.05,
TO,2027,FRETRAROATRUMETBEVBELCF____23,BAP-TRA-5-FRETRA-ROATRUMET,0.05,
TO,2028,FRETRAROATRUHETBEVBELCF____25,BAP-TRA-5-FRETRA-ROATRUHET,0.075,
TO,2028,FRETRAROATRUMETBEVBELCF____23,BAP-TRA-5-FRETRA-ROATRUMET,0.075,
TO,2029,FRETRAROATRUHETBEVBELCF____25,BAP-TRA-5-FRETRA-ROATRUHET,0.1,
TO,2029,FRETRAROATRUMETBEVBELCF____23,BAP-TRA-5-FRETRA-ROATRUMET,0.1,
TO,2030,FRETRAROATRUHETBEVBELCF____25,BAP-TRA-5-FRETRA-ROATRUHET,0.125,
TO,2030,FRETRAROATRUMETBEVBELCF____23,BAP-TRA-5-FRETRA-ROATRUMET,0.125,
TO,2035,FRETRAROATRUHETBEVBELCF____25,BAP-TRA-5-FRETRA-ROATRUHET,0.25,
TO,2035,FRETRAROATRUMETBEVBELCF____23,BAP-TRA-5-FRETRA-ROATRUMET,0.25,
TO,2040,FRETRAROATRUHETBEVBELCF____25,BAP-TRA-5-FRETRA-ROATRUHET,0.375,
TO,2040,FRETRAROATRUMETBEVBELCF____23,BAP-TRA-5-FRETRA-ROATRUMET,0.375,
TO,2045,FRETRAROATRUHETBEVBELCF____25,BAP-TRA-5-FRETRA-ROATRUHET,0.5,
TO,2045,FRETRAROATRUMETBEVBELCF____23,BAP-TRA-5-FRETRA-ROATRUMET,0.5,
TO,2050,FRETRAROATRUHETBEVBELCF____25,BAP-TRA-5-FRETRA-ROATRUHET,0.625,
TO,2050,FRETRAROATRUMETBEVBELCF____23,BAP-TRA-5-FRETRA-ROATRUMET,0.625,
