regions,periods,tech,mincap,mincap_units,mincap_notes
TO,2023,PASTRABELCSTARES240V,0.00,MW,
TO,2024,PASTRABELCSTARES240V,0.00,MW,
TO,2025,PASTRABELCSTARES240V,0.00,MW,
TO,2026,PASTRABELCSTARES240V,0.00,MW,
TO,2027,PASTRABELCSTARES240V,0.00,MW,
TO,2028,PASTRABELCSTARES240V,0.00,MW,
TO,2029,PASTRABELCSTARES240V,0.00,MW,
TO,2030,PASTRABELCSTARES240V,0.00,MW,
TO,2031,PASTRABELCSTARES240V,49.49,MW,
TO,2032,PASTRABELCSTARES240V,98.86,MW,
TO,2033,PASTRABELCSTARES240V,148.18,MW,
TO,2034,PASTRABELCSTARES240V,197.27,MW,
TO,2035,PASTRABELCSTARES240V,246.30,MW,
TO,2036,PASTRABELCSTARES240V,295.26,MW,
TO,2037,PASTRABELCSTARES240V,344.19,MW,
TO,2038,PASTRABELCSTARES240V,393.05,MW,
TO,2039,PASTRABELCSTARES240V,441.67,MW,
TO,2040,PASTRABELCSTARES240V,490.19,MW,
TO,2041,PASTRABELCSTARES240V,538.54,MW,
TO,2042,PASTRABELCSTARES240V,586.73,MW,
TO,2043,PASTRABELCSTARES240V,634.89,MW,
TO,2044,PASTRABELCSTARES240V,682.98,MW,
TO,2045,PASTRABELCSTARES240V,731.02,MW,
TO,2046,PASTRABELCSTARES240V,778.82,MW,
TO,2047,PASTRABELCSTARES240V,826.59,MW,
TO,2048,PASTRABELCSTARES240V,874.28,MW,
TO,2049,PASTRABELCSTARES240V,921.96,MW,
TO,2050,PASTRABELCSTARES240V,969.58,MW,
