"Energy consumed for building sector, and per end use"
t_periods,Fuel,Sub,EndUse,VFlow_In
2016,Propane,Commercial,Water Heating,99.82607289449588
2016,Propane,Industry,Space Heating,21.860562366590305
2016,Propane,Industry,Water Heating,96.27296372241193
2016,Propane,Residential,Space Heating,0.2671060675643245
2016,Propane,Residential,Water Heating,10.11219680323215
2016,Synthetic Gas,Commercial,Auxiliary Equipment,0.46961766134980387
2016,Synthetic Gas,Commercial,Space Cooling,0.20635888922306922
2016,Synthetic Gas,Commercial,Space Heating,1.541071819096532
2016,Synthetic Gas,Commercial,Water Heating,0.8176436358895822
2016,Synthetic Gas,Public,Auxiliary Equipment,0.04615020873681299
2016,Synthetic Gas,Public,Space Cooling,0.23414077358587068
2016,Synthetic Gas,Public,Space Heating,0.031199998339056532
2016,Synthetic Gas,Public,Water Heating,0.4266040301778232
2016,Synthetic Gas,Residential,Space Heating,0.7881983640233122
2016,Synthetic Gas,Residential,Water Heating,0.33539645984701294
2017,Biomass,Industry,Industrial Processes,85.2955708321762
2017,Biomass,Residential,Space Heating,214.01693497280206
2017,Biomass,Residential,Water Heating,20.548063559859553
2017,Bio Methane,Commercial,Auxiliary Equipment,13.999657774603026
2017,Bio Methane,Commercial,Space Cooling,1.3587969740112456
2017,Bio Methane,Commercial,Space Heating,394.62067886935256
2017,Bio Methane,Commercial,Water Heating,84.03060430493069
2017,Bio Methane,Public,Auxiliary Equipment,1.3010820541412376
2017,Bio Methane,Public,Space Cooling,11.255528195269536
2017,Bio Methane,Public,Space Heating,18.379592345444788
2017,Bio Methane,Public,Water Heating,55.390597501388925
2017,Bio Methane,Residential,Space Heating,195.18968251969383
2017,Bio Methane,Residential,Water Heating,112.7131932679646
2017,Wood Pellet,Residential,Space Heating,0.49402967738561887
2017,Wood Pellet,Residential,Water Heating,21.279263997992715
2017,Coal,Industry,Industrial Processes,98.1976470400298
2017,District Cooling,Commercial,Space Cooling,1256.951069571001
2017,District Cooling,Public,Space Cooling,246.37617323751596
2017,District Cooling,Residential,Space Cooling,54.33788206086382
2017,District Heating,Commercial,Space Heating,2873.2672575291203
2017,District Heating,Commercial,Water Heating,460.0903633704763
2017,District Heating,Public,Space Heating,1495.763681608442
2017,District Heating,Public,Water Heating,302.74517392135124
2017,District Heating,Residential,Space Heating,48.14748192512267
2017,District Heating,Residential,Water Heating,994.1320647003278
2017,Electricity,Commercial,Auxiliary Equipment,17310.54232801732
2017,Electricity,Commercial,Auxiliary Motors,2280.183134505448
2017,Electricity,Commercial,Lighting,30162.726905963373
2017,Electricity,Commercial,Space Cooling,2653.8626071723047
2017,Electricity,Commercial,Space Heating,1653.4279543659623
2017,Electricity,Commercial,Street Lighting,496.34352465079326
2017,Electricity,Commercial,Water Heating,263.4473671444118
2017,Electricity,Industry,Industrial Processes,2668.5788420303656
2017,Electricity,Industry,Lighting,650.2815879189868
2017,Electricity,Industry,Space Cooling,367.020671274712
2017,Electricity,Industry,Space Heating,756.4286917054629
2017,Electricity,Industry,Water Heating,1008.7718635515666
2017,Electricity,Public,Auxiliary Equipment,2026.077526140981
2017,Electricity,Public,Auxiliary Motors,537.8945829941315
2017,Electricity,Public,Lighting,1977.355739644085
2017,Electricity,Public,Space Cooling,1183.5237789223643
2017,Electricity,Public,Space Heating,790.9285572567802
2017,Electricity,Public,Water Heating,10.707442453121468
2017,Electricity,Residential,Other Appliances,5891.0331814316605
2017,Electricity,Residential,Clothe Dryer,2027.842532677529
2017,Electricity,Residential,Clothe Washer,110.92158409669378
2017,Electricity,Residential,Dish Washer,145.24210400547548
2017,Electricity,Residential,Freezer,512.9875907073347
2017,Electricity,Residential,Lighting,2453.1291351785544
2017,Electricity,Residential,Range,1867.418968066177
2017,Electricity,Residential,Refrigerator,1579.0046305101373
2017,Electricity,Residential,Space Cooling,3095.7527868280827
2017,Electricity,Residential,Space Heating,4156.794791548366
2017,Electricity,Residential,Water Heating,743.9369658705566
2017,Heavy Fuel Oil,Commercial,Space Heating,2.992754381834712
2017,Heavy Fuel Oil,Commercial,Water Heating,6.326849855661753
2017,Heavy Fuel Oil,Industry,Industrial Processes,42.624229256066144
2017,Heavy Fuel Oil,Industry,Space Heating,25.383595899504957
2017,Heavy Fuel Oil,Industry,Water Heating,60.73316189584083
2017,Heavy Fuel Oil,Public,Water Heating,0.5567124245937806
2017,Hydrogen,Residential,Space Heating,0.29609795582822995
2017,Hydrogen,Residential,Water Heating,0.1579293299280982
2017,Kerosene,Commercial,Space Heating,2.99268401408601
2017,Kerosene,Commercial,Water Heating,6.3266712071398175
2017,Kerosene,Public,Water Heating,0.5567090851705307
2017,Kerosene,Residential,Space Heating,0.36911612814534717
2017,Kerosene,Residential,Water Heating,13.212501117973952
2017,Light Fuel Oil,Commercial,Space Heating,205.93163764922565
2017,Light Fuel Oil,Commercial,Water Heating,237.70030737989933
2017,Light Fuel Oil,Industry,Industrial Processes,479.2264413277162
2017,Light Fuel Oil,Industry,Space Heating,24.773765616517668
2017,Light Fuel Oil,Industry,Water Heating,44.32013306127504
2017,Light Fuel Oil,Public,Space Heating,344.6179931528852
2017,Light Fuel Oil,Public,Water Heating,22.886546216034017
2017,Light Fuel Oil,Residential,Space Heating,775.1928827113
2017,Light Fuel Oil,Residential,Water Heating,103.33507117491102
2017,Mix Energy,Industry,Industrial Processes,15281.617316096193
2017,Natural Gas,Commercial,Auxiliary Equipment,2648.3925727969286
2017,Natural Gas,Commercial,Space Cooling,122.3140295954901
2017,Natural Gas,Commercial,Space Heating,37187.55178952928
2017,Natural Gas,Commercial,Water Heating,5919.703052261859
2017,Natural Gas,Industry,Industrial Processes,11670.46798382163
2017,Natural Gas,Industry,Space Cooling,30.24200866499977
2017,Natural Gas,Industry,Space Heating,732.2038302000637
2017,Natural Gas,Industry,Water Heating,2873.5585425549225
2017,Natural Gas,Public,Auxiliary Equipment,383.68089665472434
2017,Natural Gas,Public,Space Cooling,149.31823005115913
2017,Natural Gas,Public,Space Heating,7274.196043843418
2017,Natural Gas,Public,Water Heating,1002.3761397071394
2017,Natural Gas,Residential,Clothe Dryer,138.9640253938139
2017,Natural Gas,Residential,Range,94.22258595957744
2017,Natural Gas,Residential,Space Heating,58211.27151756401
2017,Natural Gas,Residential,Water Heating,16405.956547087608
2017,Pet Coke,Industry,Industrial Processes,237.2266017996063
2017,Propane,Commercial,Auxiliary Equipment,1929.0389465753012
2017,Propane,Commercial,Space Heating,815.3372994198304
2017,Propane,Commercial,Water Heating,103.81947615449579
2017,Propane,Industry,Space Heating,21.885927593906644
2017,Propane,Industry,Water Heating,96.3846710778633
2017,Propane,Residential,Space Heating,0.48748881685186324
2017,Propane,Residential,Water Heating,21.070686222659283
2017,Synthetic Gas,Commercial,Auxiliary Equipment,1.0397630815315355
2017,Synthetic Gas,Commercial,Space Cooling,0.4299379328582604
2017,Synthetic Gas,Commercial,Space Heating,3.0508510357400977
2017,Synthetic Gas,Commercial,Water Heating,1.7723392884551687
2017,Synthetic Gas,Public,Auxiliary Equipment,0.17825276908454799
2017,Synthetic Gas,Public,Space Cooling,0.43959813644256457
2017,Synthetic Gas,Public,Space Heating,0.41445115827033774
2017,Synthetic Gas,Public,Water Heating,0.7974485991434542
2017,Synthetic Gas,Residential,Space Heating,1.268660895827891
2017,Synthetic Gas,Residential,Water Heating,0.6588898633638023
2018,Biomass,Industry,Industrial Processes,85.39442620559717
2018,Biomass,Residential,Space Heating,215.77813674161143
2018,Biomass,Residential,Water Heating,511.53798925075955
2018,Bio Methane,Commercial,Auxiliary Equipment,19.885188326857122
2018,Bio Methane,Commercial,Space Cooling,1.8485480608945852
2018,Bio Methane,Commercial,Space Heating,318.3161396705291
2018,Bio Methane,Commercial,Water Heating,231.30192993280613
2018,Bio Methane,Public,Auxiliary Equipment,2.165707834913524
2018,Bio Methane,Public,Space Cooling,13.704272162715254
2018,Bio Methane,Public,Space Heating,72.23623512310517
2018,Bio Methane,Public,Water Heating,85.27145545501108
2018,Bio Methane,Residential,Space Heating,97.84797016966711
2018,Bio Methane,Residential,Water Heating,132.8385116636687
2018,Wood Pellet,Residential,Space Heating,0.6873988329210765
2018,Wood Pellet,Residential,Water Heating,528.9610406111273
2018,Coal,Industry,Industrial Processes,98.31145558801805
2018,District Cooling,Commercial,Space Cooling,1259.7118512691936
2018,District Cooling,Public,Space Cooling,252.0762898079325
2018,District Cooling,Residential,Space Cooling,88.40928446173785
2018,District Heating,Commercial,Space Heating,3504.8435118459856
2018,District Heating,Commercial,Water Heating,611.753020570355
2018,District Heating,Public,Space Heating,1501.4273300767863
2018,District Heating,Public,Water Heating,320.6819873652776
2018,District Heating,Residential,Space Heating,191.46670918473103
2018,District Heating,Residential,Water Heating,836.7619570544517
2018,Electricity,Commercial,Auxiliary Equipment,17413.747082886002
2018,Electricity,Commercial,Auxiliary Motors,2293.338854309286
2018,Electricity,Commercial,Lighting,30132.986203560755
2018,Electricity,Commercial,Space Cooling,2672.465504519596
2018,Electricity,Commercial,Space Heating,1915.9158030065362
2018,Electricity,Commercial,Street Lighting,499.329010845248
2018,Electricity,Commercial,Water Heating,177.22543843555223
2018,Electricity,Industry,Industrial Processes,2671.6716562920387
2018,Electricity,Industry,Lighting,651.0352475588542
2018,Electricity,Industry,Space Cooling,367.446038795607
2018,Electricity,Industry,Space Heating,757.305373109289
2018,Electricity,Industry,Water Heating,1009.941004203098
2018,Electricity,Public,Auxiliary Equipment,2036.6579055046539
2018,Electricity,Public,Auxiliary Motors,540.9067802389334
2018,Electricity,Public,Lighting,1974.2919021838434
2018,Electricity,Public,Space Cooling,1235.9918737477676
2018,Electricity,Public,Space Heating,783.6803404604337
2018,Electricity,Public,Water Heating,31.420485271323955
2018,Electricity,Residential,Other Appliances,5931.447466552149
2018,Electricity,Residential,Clothe Dryer,2018.657203767379
2018,Electricity,Residential,Clothe Washer,111.9739489075797
2018,Electricity,Residential,Dish Washer,146.64673539462387
2018,Electricity,Residential,Freezer,516.7689823648257
2018,Electricity,Residential,Lighting,2469.2647567206222
2018,Electricity,Residential,Range,1885.4187687985566
2018,Electricity,Residential,Refrigerator,1590.9557926359323
2018,Electricity,Residential,Space Cooling,3284.491402201224
2018,Electricity,Residential,Space Heating,4388.494377881859
2018,Electricity,Residential,Water Heating,836.840157153043
2018,Heavy Fuel Oil,Commercial,Space Heating,4.488733848765595
2018,Heavy Fuel Oil,Commercial,Water Heating,28.042415714632394
2018,Heavy Fuel Oil,Industry,Industrial Processes,42.67362964178781
2018,Heavy Fuel Oil,Industry,Space Heating,25.41301483446577
2018,Heavy Fuel Oil,Industry,Water Heating,60.80355006885622
