regions,input_comm,tech,vintage,output_comm,efficiency,eff_notes
TO,PASTRAELC,PASTRABELCSTARES120V,2028,PASTRABELC,1,PassengerTransportBattery electricityCharging StationResidential120V2023
TO,PUBTRAELC,PUBTRABELCSTACOM240V,2028,PUBTRABELC,1,PublicTransportBattery electricityCharging StationCommercial240V2023
TO,PUBTRAELC,PUBTRABELCSTAPUB240V,2028,PUBTRABELC,1,PublicTransportBattery electricityCharging StationPublic240V2023
TO,PUBTRAELC,PUBTRABELCSTARES120V,2028,PUBTRABELC,1,PublicTransportBattery electricityCharging StationResidential120V2023
TO,PUBTRAELC,PUBTRABELCSTARES240V,2028,PUBTRABELC,1,PublicTransportBattery electricityCharging StationResidential240V2023
TO,FRETRAELC,FRETRABELCFSTAFREFA,2028,FRETRABELCF,1,FreightTransportBattery electricity freightCharging StationFreightFast2023
TO,FRETRAELC,FRETRABELCFSTAFRESL,2028,FRETRABELCF,1,FreightTransportBattery electricity freightCharging StationFreightSlow2023
TO,FRETRAELC,FRETRABELCSTACOM240V,2028,FRETRABELC,1,FreightTransportBattery electricityCharging StationCommercial240V2023
TO,PUBTRAELC,PUBTRABELCFSTAFREFA,2028,PUBTRABELCF,1,PublicTransportBattery electricity freightCharging StationFreightFast2023
TO,PUBTRAELC,PUBTRABELCFSTAFRESL,2028,PUBTRABELCF,1,PublicTransportBattery electricity freightCharging StationFreightSlow2023
TO,LDITRAELC,LDITRABELCSTACOM240V,2029,LDITRABELC,1,Long DistanceTransportBattery electricityCharging StationCommercial240V2023
TO,LDITRAELC,LDITRABELCSTAPUB240V,2029,LDITRABELC,1,Long DistanceTransportBattery electricityCharging StationPublic240V2023
TO,LDITRAELC,LDITRABELCSTARES120V,2029,LDITRABELC,1,Long DistanceTransportBattery electricityCharging StationResidential120V2023
TO,LDITRAELC,LDITRABELCSTARES240V,2029,LDITRABELC,1,Long DistanceTransportBattery electricityCharging StationResidential240V2023
TO,PASTRAELC,PASTRABELCSTACOM240V,2029,PASTRABELC,1,PassengerTransportBattery electricityCharging StationCommercial240V2023
TO,PASTRAELC,PASTRABELCSTAPUB240V,2029,PASTRABELC,1,PassengerTransportBattery electricityCharging StationPublic240V2023
TO,PASTRAELC,PASTRABELCSTARES240V,2029,PASTRABELC,1,PassengerTransportBattery electricityCharging StationResidential240V2023
TO,PASTRAELC,PASTRABELCSTARES120V,2029,PASTRABELC,1,PassengerTransportBattery electricityCharging StationResidential120V2023
TO,PUBTRAELC,PUBTRABELCSTACOM240V,2029,PUBTRABELC,1,PublicTransportBattery electricityCharging StationCommercial240V2023
TO,PUBTRAELC,PUBTRABELCSTAPUB240V,2029,PUBTRABELC,1,PublicTransportBattery electricityCharging StationPublic240V2023
TO,PUBTRAELC,PUBTRABELCSTARES120V,2029,PUBTRABELC,1,PublicTransportBattery electricityCharging StationResidential120V2023
TO,PUBTRAELC,PUBTRABELCSTARES240V,2029,PUBTRABELC,1,PublicTransportBattery electricityCharging StationResidential240V2023
TO,FRETRAELC,FRETRABELCFSTAFREFA,2029,FRETRABELCF,1,FreightTransportBattery electricity freightCharging StationFreightFast2023
TO,FRETRAELC,FRETRABELCFSTAFRESL,2029,FRETRABELCF,1,FreightTransportBattery electricity freightCharging StationFreightSlow2023
TO,FRETRAELC,FRETRABELCSTACOM240V,2029,FRETRABELC,1,FreightTransportBattery electricityCharging StationCommercial240V2023
TO,PUBTRAELC,PUBTRABELCFSTAFREFA,2029,PUBTRABELCF,1,PublicTransportBattery electricity freightCharging StationFreightFast2023
TO,PUBTRAELC,PUBTRABELCFSTAFRESL,2029,PUBTRABELCF,1,PublicTransportBattery electricity freightCharging StationFreightSlow2023
TO,LDITRAELC,LDITRABELCSTACOM240V,2030,LDITRABELC,1,Long DistanceTransportBattery electricityCharging StationCommercial240V2023
TO,LDITRAELC,LDITRABELCSTAPUB240V,2030,LDITRABELC,1,Long DistanceTransportBattery electricityCharging StationPublic240V2023
TO,LDITRAELC,LDITRABELCSTARES120V,2030,LDITRABELC,1,Long DistanceTransportBattery electricityCharging StationResidential120V2023
TO,LDITRAELC,LDITRABELCSTARES240V,2030,LDITRABELC,1,Long DistanceTransportBattery electricityCharging StationResidential240V2023
TO,PASTRAELC,PASTRABELCSTACOM240V,2030,PASTRABELC,1,PassengerTransportBattery electricityCharging StationCommercial240V2023
TO,PASTRAELC,PASTRABELCSTAPUB240V,2030,PASTRABELC,1,PassengerTransportBattery electricityCharging StationPublic240V2023
TO,PASTRAELC,PASTRABELCSTARES240V,2030,PASTRABELC,1,PassengerTransportBattery electricityCharging StationResidential240V2023
TO,PASTRAELC,PASTRABELCSTARES120V,2030,PASTRABELC,1,PassengerTransportBattery electricityCharging StationResidential120V2023
TO,PUBTRAELC,PUBTRABELCSTACOM240V,2030,PUBTRABELC,1,PublicTransportBattery electricityCharging StationCommercial240V2023
TO,PUBTRAELC,PUBTRABELCSTAPUB240V,2030,PUBTRABELC,1,PublicTransportBattery electricityCharging StationPublic240V2023
TO,PUBTRAELC,PUBTRABELCSTARES120V,2030,PUBTRABELC,1,PublicTransportBattery electricityCharging StationResidential120V2023
TO,PUBTRAELC,PUBTRABELCSTARES240V,2030,PUBTRABELC,1,PublicTransportBattery electricityCharging StationResidential240V2023
TO,FRETRAELC,FRETRABELCFSTAFREFA,2030,FRETRABELCF,1,FreightTransportBattery electricity freightCharging StationFreightFast2023
TO,FRETRAELC,FRETRABELCFSTAFRESL,2030,FRETRABELCF,1,FreightTransportBattery electricity freightCharging StationFreightSlow2023
TO,FRETRAELC,FRETRABELCSTACOM240V,2030,FRETRABELC,1,FreightTransportBattery electricityCharging StationCommercial240V2023
TO,PUBTRAELC,PUBTRABELCFSTAFREFA,2030,PUBTRABELCF,1,PublicTransportBattery electricity freightCharging StationFreightFast2023
TO,PUBTRAELC,PUBTRABELCFSTAFRESL,2030,PUBTRABELCF,1,PublicTransportBattery electricity freightCharging StationFreightSlow2023
TO,LDITRAELC,LDITRABELCSTACOM240V,2031,LDITRABELC,1,Long DistanceTransportBattery electricityCharging StationCommercial240V2023
TO,LDITRAELC,LDITRABELCSTAPUB240V,2031,LDITRABELC,1,Long DistanceTransportBattery electricityCharging StationPublic240V2023
TO,LDITRAELC,LDITRABELCSTARES120V,2031,LDITRABELC,1,Long DistanceTransportBattery electricityCharging StationResidential120V2023
TO,LDITRAELC,LDITRABELCSTARES240V,2031,LDITRABELC,1,Long DistanceTransportBattery electricityCharging StationResidential240V2023
TO,PASTRAELC,PASTRABELCSTACOM240V,2031,PASTRABELC,1,PassengerTransportBattery electricityCharging StationCommercial240V2023
TO,PASTRAELC,PASTRABELCSTAPUB240V,2031,PASTRABELC,1,PassengerTransportBattery electricityCharging StationPublic240V2023
TO,PASTRAELC,PASTRABELCSTARES240V,2031,PASTRABELC,1,PassengerTransportBattery electricityCharging StationResidential240V2023
TO,PASTRAELC,PASTRABELCSTARES120V,2031,PASTRABELC,1,PassengerTransportBattery electricityCharging StationResidential120V2023
TO,PUBTRAELC,PUBTRABELCSTACOM240V,2031,PUBTRABELC,1,PublicTransportBattery electricityCharging StationCommercial240V2023
TO,PUBTRAELC,PUBTRABELCSTAPUB240V,2031,PUBTRABELC,1,PublicTransportBattery electricityCharging StationPublic240V2023
TO,PUBTRAELC,PUBTRABELCSTARES120V,2031,PUBTRABELC,1,PublicTransportBattery electricityCharging StationResidential120V2023
TO,PUBTRAELC,PUBTRABELCSTARES240V,2031,PUBTRABELC,1,PublicTransportBattery electricityCharging StationResidential240V2023
TO,FRETRAELC,FRETRABELCFSTAFREFA,2031,FRETRABELCF,1,FreightTransportBattery electricity freightCharging StationFreightFast2023
TO,FRETRAELC,FRETRABELCFSTAFRESL,2031,FRETRABELCF,1,FreightTransportBattery electricity freightCharging StationFreightSlow2023
TO,FRETRAELC,FRETRABELCSTACOM240V,2031,FRETRABELC,1,FreightTransportBattery electricityCharging StationCommercial240V2023
TO,PUBTRAELC,PUBTRABELCFSTAFREFA,2031,PUBTRABELCF,1,PublicTransportBattery electricity freightCharging StationFreightFast2023
TO,PUBTRAELC,PUBTRABELCFSTAFRESL,2031,PUBTRABELCF,1,PublicTransportBattery electricity freightCharging StationFreightSlow2023
TO,LDITRAELC,LDITRABELCSTACOM240V,2032,LDITRABELC,1,Long DistanceTransportBattery electricityCharging StationCommercial240V2023
TO,LDITRAELC,LDITRABELCSTAPUB240V,2032,LDITRABELC,1,Long DistanceTransportBattery electricityCharging StationPublic240V2023
TO,LDITRAELC,LDITRABELCSTARES120V,2032,LDITRABELC,1,Long DistanceTransportBattery electricityCharging StationResidential120V2023
TO,LDITRAELC,LDITRABELCSTARES240V,2032,LDITRABELC,1,Long DistanceTransportBattery electricityCharging StationResidential240V2023
TO,PASTRAELC,PASTRABELCSTACOM240V,2032,PASTRABELC,1,PassengerTransportBattery electricityCharging StationCommercial240V2023
TO,PASTRAELC,PASTRABELCSTAPUB240V,2032,PASTRABELC,1,PassengerTransportBattery electricityCharging StationPublic240V2023
TO,PASTRAELC,PASTRABELCSTARES240V,2032,PASTRABELC,1,PassengerTransportBattery electricityCharging StationResidential240V2023
TO,PASTRAELC,PASTRABELCSTARES120V,2032,PASTRABELC,1,PassengerTransportBattery electricityCharging StationResidential120V2023
TO,PUBTRAELC,PUBTRABELCSTACOM240V,2032,PUBTRABELC,1,PublicTransportBattery electricityCharging StationCommercial240V2023
TO,PUBTRAELC,PUBTRABELCSTAPUB240V,2032,PUBTRABELC,1,PublicTransportBattery electricityCharging StationPublic240V2023
TO,PUBTRAELC,PUBTRABELCSTARES120V,2032,PUBTRABELC,1,PublicTransportBattery electricityCharging StationResidential120V2023
TO,PUBTRAELC,PUBTRABELCSTARES240V,2032,PUBTRABELC,1,PublicTransportBattery electricityCharging StationResidential240V2023
TO,FRETRAELC,FRETRABELCFSTAFREFA,2032,FRETRABELCF,1,FreightTransportBattery electricity freightCharging StationFreightFast2023
TO,FRETRAELC,FRETRABELCFSTAFRESL,2032,FRETRABELCF,1,FreightTransportBattery electricity freightCharging StationFreightSlow2023
TO,FRETRAELC,FRETRABELCSTACOM240V,2032,FRETRABELC,1,FreightTransportBattery electricityCharging StationCommercial240V2023
TO,PUBTRAELC,PUBTRABELCFSTAFREFA,2032,PUBTRABELCF,1,PublicTransportBattery electricity freightCharging StationFreightFast2023
TO,PUBTRAELC,PUBTRABELCFSTAFRESL,2032,PUBTRABELCF,1,PublicTransportBattery electricity freightCharging StationFreightSlow2023
TO,LDITRAELC,LDITRABELCSTACOM240V,2033,LDITRABELC,1,Long DistanceTransportBattery electricityCharging StationCommercial240V2023
TO,LDITRAELC,LDITRABELCSTAPUB240V,2033,LDITRABELC,1,Long DistanceTransportBattery electricityCharging StationPublic240V2023
TO,LDITRAELC,LDITRABELCSTARES120V,2033,LDITRABELC,1,Long DistanceTransportBattery electricityCharging StationResidential120V2023
TO,LDITRAELC,LDITRABELCSTARES240V,2033,LDITRABELC,1,Long DistanceTransportBattery electricityCharging StationResidential240V2023
TO,PASTRAELC,PASTRABELCSTACOM240V,2033,PASTRABELC,1,PassengerTransportBattery electricityCharging StationCommercial240V2023
TO,PASTRAELC,PASTRABELCSTAPUB240V,2033,PASTRABELC,1,PassengerTransportBattery electricityCharging StationPublic240V2023
TO,PASTRAELC,PASTRABELCSTARES240V,2033,PASTRABELC,1,PassengerTransportBattery electricityCharging StationResidential240V2023
TO,PASTRAELC,PASTRABELCSTARES120V,2033,PASTRABELC,1,PassengerTransportBattery electricityCharging StationResidential120V2023
TO,PUBTRAELC,PUBTRABELCSTACOM240V,2033,PUBTRABELC,1,PublicTransportBattery electricityCharging StationCommercial240V2023
TO,PUBTRAELC,PUBTRABELCSTAPUB240V,2033,PUBTRABELC,1,PublicTransportBattery electricityCharging StationPublic240V2023
TO,PUBTRAELC,PUBTRABELCSTARES120V,2033,PUBTRABELC,1,PublicTransportBattery electricityCharging StationResidential120V2023
TO,PUBTRAELC,PUBTRABELCSTARES240V,2033,PUBTRABELC,1,PublicTransportBattery electricityCharging StationResidential240V2023
TO,FRETRAELC,FRETRABELCFSTAFREFA,2033,FRETRABELCF,1,FreightTransportBattery electricity freightCharging StationFreightFast2023
TO,FRETRAELC,FRETRABELCFSTAFRESL,2033,FRETRABELCF,1,FreightTransportBattery electricity freightCharging StationFreightSlow2023
TO,FRETRAELC,FRETRABELCSTACOM240V,2033,FRETRABELC,1,FreightTransportBattery electricityCharging StationCommercial240V2023
TO,PUBTRAELC,PUBTRABELCFSTAFREFA,2033,PUBTRABELCF,1,PublicTransportBattery electricity freightCharging StationFreightFast2023
TO,PUBTRAELC,PUBTRABELCFSTAFRESL,2033,PUBTRABELCF,1,PublicTransportBattery electricity freightCharging StationFreightSlow2023
TO,LDITRAELC,LDITRABELCSTACOM240V,2034,LDITRABELC,1,Long DistanceTransportBattery electricityCharging StationCommercial240V2023
TO,LDITRAELC,LDITRABELCSTAPUB240V,2034,LDITRABELC,1,Long DistanceTransportBattery electricityCharging StationPublic240V2023
