regions,tech,vintage,cost_invest,cost_invest_units,cost_invest_notes
TO,LDITRABELCSTARES120V,2026,639.7444444444448,k$/MW,Long DistanceTransportBattery electricityCharging StationResidential120V2023
TO,LDITRABELCSTARES240V,2026,688.0,k$/MW,Long DistanceTransportBattery electricityCharging StationResidential240V2023
TO,PASTRABELCSTACOM240V,2026,688.0,k$/MW,PassengerTransportBattery electricityCharging StationCommercial240V2023
TO,PASTRABELCSTAPUB240V,2026,688.0,k$/MW,PassengerTransportBattery electricityCharging StationPublic240V2023
TO,PASTRABELCSTARES240V,2026,688.0,k$/MW,PassengerTransportBattery electricityCharging StationResidential240V2023
TO,PASTRABELCSTARES120V,2026,639.7444444444448,k$/MW,PassengerTransportBattery electricityCharging StationResidential120V2023
TO,PUBTRABELCSTACOM240V,2026,688.0,k$/MW,PublicTransportBattery electricityCharging StationCommercial240V2023
TO,PUBTRABELCSTAPUB240V,2026,688.0,k$/MW,PublicTransportBattery electricityCharging StationPublic240V2023
TO,PUBTRABELCSTARES120V,2026,639.7444444444448,k$/MW,PublicTransportBattery electricityCharging StationResidential120V2023
TO,PUBTRABELCSTARES240V,2026,688.0,k$/MW,PublicTransportBattery electricityCharging StationResidential240V2023
TO,FRETRABELCFSTAFREFA,2026,625.8533333333334,k$/MW,FreightTransportBattery electricity freightCharging StationFreightFast2023
TO,FRETRABELCFSTAFRESL,2026,443.276,k$/MW,FreightTransportBattery electricity freightCharging StationFreightSlow2023
TO,FRETRABELCSTACOM240V,2026,560.0,k$/MW,FreightTransportBattery electricityCharging StationCommercial240V2023
TO,PUBTRABELCFSTAFREFA,2026,625.8533333333334,k$/MW,PublicTransportBattery electricity freightCharging StationFreightFast2023
TO,PUBTRABELCFSTAFRESL,2026,443.276,k$/MW,PublicTransportBattery electricity freightCharging StationFreightSlow2023
TO,LDITRABELCSTACOM240V,2027,676.0,k$/MW,Long DistanceTransportBattery electricityCharging StationCommercial240V2023
TO,LDITRABELCSTAPUB240V,2027,676.0,k$/MW,Long DistanceTransportBattery electricityCharging StationPublic240V2023
TO,LDITRABELCSTARES120V,2027,628.5861111111114,k$/MW,Long DistanceTransportBattery electricityCharging StationResidential120V2023
TO,LDITRABELCSTARES240V,2027,676.0,k$/MW,Long DistanceTransportBattery electricityCharging StationResidential240V2023
TO,PASTRABELCSTACOM240V,2027,676.0,k$/MW,PassengerTransportBattery electricityCharging StationCommercial240V2023
TO,PASTRABELCSTAPUB240V,2027,676.0,k$/MW,PassengerTransportBattery electricityCharging StationPublic240V2023
TO,PASTRABELCSTARES240V,2027,676.0,k$/MW,PassengerTransportBattery electricityCharging StationResidential240V2023
TO,PASTRABELCSTARES120V,2027,628.5861111111114,k$/MW,PassengerTransportBattery electricityCharging StationResidential120V2023
TO,PUBTRABELCSTACOM240V,2027,676.0,k$/MW,PublicTransportBattery electricityCharging StationCommercial240V2023
TO,PUBTRABELCSTAPUB240V,2027,676.0,k$/MW,PublicTransportBattery electricityCharging StationPublic240V2023
TO,PUBTRABELCSTARES120V,2027,628.5861111111114,k$/MW,PublicTransportBattery electricityCharging StationResidential120V2023
TO,PUBTRABELCSTARES240V,2027,676.0,k$/MW,PublicTransportBattery electricityCharging StationResidential240V2023
TO,FRETRABELCFSTAFREFA,2027,607.6566666666668,k$/MW,FreightTransportBattery electricity freightCharging StationFreightFast2023
TO,FRETRABELCFSTAFRESL,2027,434.592,k$/MW,FreightTransportBattery electricity freightCharging StationFreightSlow2023
TO,FRETRABELCSTACOM240V,2027,420.0,k$/MW,FreightTransportBattery electricityCharging StationCommercial240V2023
TO,PUBTRABELCFSTAFREFA,2027,607.6566666666668,k$/MW,PublicTransportBattery electricity freightCharging StationFreightFast2023
TO,PUBTRABELCFSTAFRESL,2027,434.592,k$/MW,PublicTransportBattery electricity freightCharging StationFreightSlow2023
TO,LDITRABELCSTACOM240V,2028,664.0,k$/MW,Long DistanceTransportBattery electricityCharging StationCommercial240V2023
TO,LDITRABELCSTAPUB240V,2028,664.0,k$/MW,Long DistanceTransportBattery electricityCharging StationPublic240V2023
TO,LDITRABELCSTARES120V,2028,617.4277777777781,k$/MW,Long DistanceTransportBattery electricityCharging StationResidential120V2023
TO,LDITRABELCSTARES240V,2028,664.0,k$/MW,Long DistanceTransportBattery electricityCharging StationResidential240V2023
TO,PASTRABELCSTACOM240V,2028,664.0,k$/MW,PassengerTransportBattery electricityCharging StationCommercial240V2023
TO,PASTRABELCSTAPUB240V,2028,664.0,k$/MW,PassengerTransportBattery electricityCharging StationPublic240V2023
TO,PASTRABELCSTARES240V,2028,664.0,k$/MW,PassengerTransportBattery electricityCharging StationResidential240V2023
TO,PASTRABELCSTARES120V,2028,617.4277777777781,k$/MW,PassengerTransportBattery electricityCharging StationResidential120V2023
TO,PUBTRABELCSTACOM240V,2028,664.0,k$/MW,PublicTransportBattery electricityCharging StationCommercial240V2023
TO,PUBTRABELCSTAPUB240V,2028,664.0,k$/MW,PublicTransportBattery electricityCharging StationPublic240V2023
TO,PUBTRABELCSTARES120V,2028,617.4277777777781,k$/MW,PublicTransportBattery electricityCharging StationResidential120V2023
TO,PUBTRABELCSTARES240V,2028,664.0,k$/MW,PublicTransportBattery electricityCharging StationResidential240V2023
TO,FRETRABELCFSTAFREFA,2028,589.4600000000002,k$/MW,FreightTransportBattery electricity freightCharging StationFreightFast2023
TO,FRETRABELCFSTAFRESL,2028,425.908,k$/MW,FreightTransportBattery electricity freightCharging StationFreightSlow2023
TO,FRETRABELCSTACOM240V,2028,280.0,k$/MW,FreightTransportBattery electricityCharging StationCommercial240V2023
TO,PUBTRABELCFSTAFREFA,2028,589.4600000000002,k$/MW,PublicTransportBattery electricity freightCharging StationFreightFast2023
TO,PUBTRABELCFSTAFRESL,2028,425.908,k$/MW,PublicTransportBattery electricity freightCharging StationFreightSlow2023
TO,LDITRABELCSTACOM240V,2029,652.0,k$/MW,Long DistanceTransportBattery electricityCharging StationCommercial240V2023
TO,LDITRABELCSTAPUB240V,2029,652.0,k$/MW,Long DistanceTransportBattery electricityCharging StationPublic240V2023
TO,LDITRABELCSTARES120V,2029,606.2694444444447,k$/MW,Long DistanceTransportBattery electricityCharging StationResidential120V2023
TO,LDITRABELCSTARES240V,2029,652.0,k$/MW,Long DistanceTransportBattery electricityCharging StationResidential240V2023
TO,PASTRABELCSTACOM240V,2029,652.0,k$/MW,PassengerTransportBattery electricityCharging StationCommercial240V2023
TO,PASTRABELCSTAPUB240V,2029,652.0,k$/MW,PassengerTransportBattery electricityCharging StationPublic240V2023
TO,PASTRABELCSTARES240V,2029,652.0,k$/MW,PassengerTransportBattery electricityCharging StationResidential240V2023
TO,PASTRABELCSTARES120V,2029,606.2694444444447,k$/MW,PassengerTransportBattery electricityCharging StationResidential120V2023
TO,PUBTRABELCSTACOM240V,2029,652.0,k$/MW,PublicTransportBattery electricityCharging StationCommercial240V2023
TO,PUBTRABELCSTAPUB240V,2029,652.0,k$/MW,PublicTransportBattery electricityCharging StationPublic240V2023
TO,PUBTRABELCSTARES120V,2029,606.2694444444447,k$/MW,PublicTransportBattery electricityCharging StationResidential120V2023
TO,PUBTRABELCSTARES240V,2029,652.0,k$/MW,PublicTransportBattery electricityCharging StationResidential240V2023
TO,FRETRABELCFSTAFREFA,2029,571.2633333333335,k$/MW,FreightTransportBattery electricity freightCharging StationFreightFast2023
TO,FRETRABELCFSTAFRESL,2029,417.224,k$/MW,FreightTransportBattery electricity freightCharging StationFreightSlow2023
TO,FRETRABELCSTACOM240V,2029,140.0,k$/MW,FreightTransportBattery electricityCharging StationCommercial240V2023
TO,PUBTRABELCFSTAFREFA,2029,571.2633333333335,k$/MW,PublicTransportBattery electricity freightCharging StationFreightFast2023
TO,PUBTRABELCFSTAFRESL,2029,417.224,k$/MW,PublicTransportBattery electricity freightCharging StationFreightSlow2023
TO,LDITRABELCSTACOM240V,2030,640.0,k$/MW,Long DistanceTransportBattery electricityCharging StationCommercial240V2023
TO,LDITRABELCSTAPUB240V,2030,640.0,k$/MW,Long DistanceTransportBattery electricityCharging StationPublic240V2023
TO,LDITRABELCSTARES120V,2030,595.1111111111114,k$/MW,Long DistanceTransportBattery electricityCharging StationResidential120V2023
TO,LDITRABELCSTARES240V,2030,640.0,k$/MW,Long DistanceTransportBattery electricityCharging StationResidential240V2023
TO,PASTRABELCSTACOM240V,2030,640.0,k$/MW,PassengerTransportBattery electricityCharging StationCommercial240V2023
TO,PASTRABELCSTAPUB240V,2030,640.0,k$/MW,PassengerTransportBattery electricityCharging StationPublic240V2023
TO,PASTRABELCSTARES240V,2030,640.0,k$/MW,PassengerTransportBattery electricityCharging StationResidential240V2023
TO,PASTRABELCSTARES120V,2030,595.1111111111114,k$/MW,PassengerTransportBattery electricityCharging StationResidential120V2023
TO,PUBTRABELCSTACOM240V,2030,640.0,k$/MW,PublicTransportBattery electricityCharging StationCommercial240V2023
TO,PUBTRABELCSTAPUB240V,2030,640.0,k$/MW,PublicTransportBattery electricityCharging StationPublic240V2023
TO,PUBTRABELCSTARES120V,2030,595.1111111111114,k$/MW,PublicTransportBattery electricityCharging StationResidential120V2023
TO,PUBTRABELCSTARES240V,2030,640.0,k$/MW,PublicTransportBattery electricityCharging StationResidential240V2023
TO,FRETRABELCFSTAFREFA,2030,553.066666666667,k$/MW,FreightTransportBattery electricity freightCharging StationFreightFast2023
TO,FRETRABELCFSTAFRESL,2030,408.54,k$/MW,FreightTransportBattery electricity freightCharging StationFreightSlow2023
TO,FRETRABELCSTACOM240V,2030,0.0,k$/MW,FreightTransportBattery electricityCharging StationCommercial240V2023
TO,PUBTRABELCFSTAFREFA,2030,553.066666666667,k$/MW,PublicTransportBattery electricity freightCharging StationFreightFast2023
TO,PUBTRABELCFSTAFRESL,2030,408.54,k$/MW,PublicTransportBattery electricity freightCharging StationFreightSlow2023
TO,LDITRABELCSTACOM240V,2031,628.0,k$/MW,Long DistanceTransportBattery electricityCharging StationCommercial240V2023
TO,LDITRABELCSTAPUB240V,2031,628.0,k$/MW,Long DistanceTransportBattery electricityCharging StationPublic240V2023
TO,LDITRABELCSTARES120V,2031,583.9527777777781,k$/MW,Long DistanceTransportBattery electricityCharging StationResidential120V2023
TO,LDITRABELCSTARES240V,2031,628.0,k$/MW,Long DistanceTransportBattery electricityCharging StationResidential240V2023
TO,PASTRABELCSTACOM240V,2031,628.0,k$/MW,PassengerTransportBattery electricityCharging StationCommercial240V2023
TO,PASTRABELCSTAPUB240V,2031,628.0,k$/MW,PassengerTransportBattery electricityCharging StationPublic240V2023
TO,PASTRABELCSTARES240V,2031,628.0,k$/MW,PassengerTransportBattery electricityCharging StationResidential240V2023
TO,PASTRABELCSTARES120V,2031,583.9527777777781,k$/MW,PassengerTransportBattery electricityCharging StationResidential120V2023
TO,PUBTRABELCSTACOM240V,2031,628.0,k$/MW,PublicTransportBattery electricityCharging StationCommercial240V2023
TO,PUBTRABELCSTAPUB240V,2031,628.0,k$/MW,PublicTransportBattery electricityCharging StationPublic240V2023
TO,PUBTRABELCSTARES120V,2031,583.9527777777781,k$/MW,PublicTransportBattery electricityCharging StationResidential120V2023
TO,PUBTRABELCSTARES240V,2031,628.0,k$/MW,PublicTransportBattery electricityCharging StationResidential240V2023
TO,FRETRABELCFSTAFREFA,2031,553.066666666667,k$/MW,FreightTransportBattery electricity freightCharging StationFreightFast2023
TO,FRETRABELCFSTAFRESL,2031,408.54,k$/MW,FreightTransportBattery electricity freightCharging StationFreightSlow2023
TO,FRETRABELCSTACOM240V,2031,20.0,k$/MW,FreightTransportBattery electricityCharging StationCommercial240V2023
TO,PUBTRABELCFSTAFREFA,2031,553.066666666667,k$/MW,PublicTransportBattery electricity freightCharging StationFreightFast2023
TO,PUBTRABELCFSTAFRESL,2031,408.54,k$/MW,PublicTransportBattery electricity freightCharging StationFreightSlow2023
TO,LDITRABELCSTACOM240V,2032,616.0,k$/MW,Long DistanceTransportBattery electricityCharging StationCommercial240V2023
TO,LDITRABELCSTAPUB240V,2032,616.0,k$/MW,Long DistanceTransportBattery electricityCharging StationPublic240V2023
TO,LDITRABELCSTARES120V,2032,572.7944444444448,k$/MW,Long DistanceTransportBattery electricityCharging StationResidential120V2023
TO,LDITRABELCSTARES240V,2032,616.0,k$/MW,Long DistanceTransportBattery electricityCharging StationResidential240V2023
TO,PASTRABELCSTACOM240V,2032,616.0,k$/MW,PassengerTransportBattery electricityCharging StationCommercial240V2023
TO,PASTRABELCSTAPUB240V,2032,616.0,k$/MW,PassengerTransportBattery electricityCharging StationPublic240V2023
TO,PASTRABELCSTARES240V,2032,616.0,k$/MW,PassengerTransportBattery electricityCharging StationResidential240V2023
TO,PASTRABELCSTARES120V,2032,572.7944444444448,k$/MW,PassengerTransportBattery electricityCharging StationResidential120V2023
TO,PUBTRABELCSTACOM240V,2032,616.0,k$/MW,PublicTransportBattery electricityCharging StationCommercial240V2023
TO,PUBTRABELCSTAPUB240V,2032,616.0,k$/MW,PublicTransportBattery electricityCharging StationPublic240V2023
TO,PUBTRABELCSTARES120V,2032,572.7944444444448,k$/MW,PublicTransportBattery electricityCharging StationResidential120V2023
TO,PUBTRABELCSTARES240V,2032,616.0,k$/MW,PublicTransportBattery electricityCharging StationResidential240V2023
TO,FRETRABELCFSTAFREFA,2032,553.066666666667,k$/MW,FreightTransportBattery electricity freightCharging StationFreightFast2023
TO,FRETRABELCFSTAFRESL,2032,408.54,k$/MW,FreightTransportBattery electricity freightCharging StationFreightSlow2023
TO,FRETRABELCSTACOM240V,2032,40.0,k$/MW,FreightTransportBattery electricityCharging StationCommercial240V2023
TO,PUBTRABELCFSTAFREFA,2032,553.066666666667,k$/MW,PublicTransportBattery electricity freightCharging StationFreightFast2023
TO,PUBTRABELCFSTAFRESL,2032,408.54,k$/MW,PublicTransportBattery electricity freightCharging StationFreightSlow2023
TO,LDITRABELCSTACOM240V,2033,604.0,k$/MW,Long DistanceTransportBattery electricityCharging StationCommercial240V2023
TO,LDITRABELCSTAPUB240V,2033,604.0,k$/MW,Long DistanceTransportBattery electricityCharging StationPublic240V2023
TO,LDITRABELCSTARES120V,2033,561.6361111111115,k$/MW,Long DistanceTransportBattery electricityCharging StationResidential120V2023
TO,LDITRABELCSTARES240V,2033,604.0,k$/MW,Long DistanceTransportBattery electricityCharging StationResidential240V2023
TO,PASTRABELCSTACOM240V,2033,604.0,k$/MW,PassengerTransportBattery electricityCharging StationCommercial240V2023
TO,PASTRABELCSTAPUB240V,2033,604.0,k$/MW,PassengerTransportBattery electricityCharging StationPublic240V2023
TO,PASTRABELCSTARES240V,2033,604.0,k$/MW,PassengerTransportBattery electricityCharging StationResidential240V2023
TO,PASTRABELCSTARES120V,2033,561.6361111111115,k$/MW,PassengerTransportBattery electricityCharging StationResidential120V2023
TO,PUBTRABELCSTACOM240V,2033,604.0,k$/MW,PublicTransportBattery electricityCharging StationCommercial240V2023
TO,PUBTRABELCSTAPUB240V,2033,604.0,k$/MW,PublicTransportBattery electricityCharging StationPublic240V2023
TO,PUBTRABELCSTARES120V,2033,561.6361111111115,k$/MW,PublicTransportBattery electricityCharging StationResidential120V2023
