PUB,TRA,,,,ROA,TRU,HET,POL,,CONV,DSL,,EX,PUBTRAPOLROATRUHETCONVDSL_EX,PublicTransportationPolice ServicesRoadTruckHeavy TrucksConventionnalDiesel,PUBTRA,kunits,Mvkt
PUB,TRA,,,,ROA,TRU,HET,POL,,CONV,RDSL,,EX,PUBTRAPOLROATRUHETCONVRDSL_EX,PublicTransportationPolice ServicesRoadTruckHeavy TrucksConventionnalRenewable Diesel,PUBTRA,kunits,Mvkt
PUB,TRA,,,,ROA,TRU,LGT,POL,,CONV,DSL,,EX,PUBTRAPOLROATRULGTCONVDSL_EX,PublicTransportationPolice ServicesRoadTruckPassenger Light TrucksConventionnalDiesel,PUBTRA,kunits,Mvkt
PUB,TRA,,,,ROA,TRU,LGT,POL,,CONV,RDSL,,EX,PUBTRAPOLROATRULGTCONVRDSL_EX,PublicTransportationPolice ServicesRoadTruckPassenger Light TrucksConventionnalRenewable Diesel,PUBTRA,kunits,Mvkt
PUB,TRA,,,,ROA,TRU,LGT,POL,,CONV,GAS,,EX,PUBTRAPOLROATRULGTCONVGAS_EX,PublicTransportationPolice ServicesRoadTruckPassenger Light TrucksConventionnalGasoline,PUBTRA,kunits,Mvkt
PUB,TRA,,,,ROA,TRU,MET,POL,,CONV,DSL,,EX,PUBTRAPOLROATRUMETCONVDSL_EX,PublicTransportationPolice ServicesRoadTruckMedium TrucksConventionnalDiesel,PUBTRA,kunits,Mvkt
PUB,TRA,,,,ROA,TRU,MET,POL,,CONV,RDSL,,EX,PUBTRAPOLROATRUMETCONVRDSL_EX,PublicTransportationPolice ServicesRoadTruckMedium TrucksConventionnalRenewable Diesel,PUBTRA,kunits,Mvkt
PUB,TRA,,,,ROA,TRU,MET,POL,,CONV,GAS,,EX,PUBTRAPOLROATRUMETCONVGAS_EX,PublicTransportationPolice ServicesRoadTruckMedium TrucksConventionnalGasoline,PUBTRA,kunits,Mvkt
PUB,TRA,,,,MAR,___,___,THC,,___,ALL,,EX,PUBTRATHCMAR_________ALL_EX,PublicTransportationToronto Housing CompanyMarineAll,PUBTRA,kunits,Mvkt
PUB,TRA,,,,ROA,BUS,URB,THC,,CONV,DSL,,EX,PUBTRATHCROABUSURBCONVDSL_EX,PublicTransportationToronto Housing CompanyRoadInter-city BusesUrban Bus ConventionnalDiesel,PUBTRA,kunits,Mvkt
PUB,TRA,,,,ROA,BUS,URB,THC,,CONV,RDSL,,EX,PUBTRATHCROABUSURBCONVRDSL_EX,PublicTransportationToronto Housing CompanyRoadInter-city BusesUrban Bus ConventionnalRenewable Diesel,PUBTRA,kunits,Mvkt
PUB,TRA,,,,ROA,CAR,___,THC,,CONV,DSL,,EX,PUBTRATHCROACAR___CONVDSL_EX,PublicTransportationToronto Housing CompanyRoadCarsConventionnalDiesel,PUBTRA,kunits,Mvkt
PUB,TRA,,,,ROA,CAR,___,THC,,CONV,RDSL,,EX,PUBTRATHCROACAR___CONVRDSL_EX,PublicTransportationToronto Housing CompanyRoadCarsConventionnalRenewable Diesel,PUBTRA,kunits,Mvkt
PUB,TRA,,,,ROA,CAR,___,THC,,CONV,GAS,,EX,PUBTRATHCROACAR___CONVGAS_EX,PublicTransportationToronto Housing CompanyRoadCarsConventionnalGasoline,PUBTRA,kunits,Mvkt
PUB,TRA,,,,ROA,MOR,___,THC,,CONV,GAS,,EX,PUBTRATHCROAMOR___CONVGAS_EX,PublicTransportationToronto Housing CompanyRoadMotorcyclesConventionnalGasoline,PUBTRA,kunits,Mvkt
