regions,tech,group_name,act_fraction,tech_desc
TO,PUBBDGKERIMP,NZ50-BDG-9-PUBBDG-TEUI-T3,1,
TO,PUBBDGBWPIMP,NZ50-BDG-9-PUBBDG-TEUI-T3,1,
TO,PUBBDGBMTNIMP,NZ50-BDG-9-PUBBDG-TEUI-T3,1,
TO,PUBBDGSGAIMP,NZ50-BDG-9-PUBBDG-TEUI-T3,1,
TO,PUBBDGELCIMP16,NZ50-BDG-9-PUBBDG-TEUI-T3,1,
TO,PUBBDGELCIMP17,NZ50-BDG-9-PUBBDG-TEUI-T3,1,
TO,PUBBDGELCIMP18,NZ50-BDG-9-PUBBDG-TEUI-T3,1,
TO,PUBBDGELCIMP19,NZ50-BDG-9-PUBBDG-TEUI-T3,1,
TO,PUBBDGELCIMP20,NZ50-BDG-9-PUBBDG-TEUI-T3,1,
TO,PUBBDGELCIMP21,NZ50-BDG-9-PUBBDG-TEUI-T3,1,
TO,PUBBDGELCIMP22,NZ50-BDG-9-PUBBDG-TEUI-T3,1,
TO,PUBBDGELCIMP23,NZ50-BDG-9-PUBBDG-TEUI-T3,1,
TO,PUBBDGELCIMP24,NZ50-BDG-9-PUBBDG-TEUI-T3,1,
TO,PUBBDGELCIMP25,NZ50-BDG-9-PUBBDG-TEUI-T3,1,
TO,PUBBDGELCIMP26,NZ50-BDG-9-PUBBDG-TEUI-T3,1,
TO,PUBBDGELCIMP27,NZ50-BDG-9-PUBBDG-TEUI-T3,1,
TO,PUBBDGELCIMP28,NZ50-BDG-9-PUBBDG-TEUI-T3,1,
TO,PUBBDGELCIMP29,NZ50-BDG-9-PUBBDG-TEUI-T3,1,
TO,PUBBDGELCIMP30,NZ50-BDG-9-PUBBDG-TEUI-T3,1,
TO,PUBBDGELCIMP31,NZ50-BDG-9-PUBBDG-TEUI-T3,1,
TO,PUBBDGELCIMP32,NZ50-BDG-9-PUBBDG-TEUI-T3,1,
TO,PUBBDGELCIMP33,NZ50-BDG-9-PUBBDG-TEUI-T3,1,
TO,PUBBDGELCIMP34,NZ50-BDG-9-PUBBDG-TEUI-T3,1,
TO,PUBBDGELCIMP35,NZ50-BDG-9-PUBBDG-TEUI-T3,1,
TO,PUBBDGELCIMP36,NZ50-BDG-9-PUBBDG-TEUI-T3,1,
TO,PUBBDGELCIMP37,NZ50-BDG-9-PUBBDG-TEUI-T3,1,
TO,PUBBDGELCIMP38,NZ50-BDG-9-PUBBDG-TEUI-T3,1,
TO,PUBBDGELCIMP39,NZ50-BDG-9-PUBBDG-TEUI-T3,1,
TO,PUBBDGELCIMP40,NZ50-BDG-9-PUBBDG-TEUI-T3,1,
TO,PUBBDGELCIMP41,NZ50-BDG-9-PUBBDG-TEUI-T3,1,
TO,PUBBDGELCIMP42,NZ50-BDG-9-PUBBDG-TEUI-T3,1,
TO,PUBBDGELCIMP43,NZ50-BDG-9-PUBBDG-TEUI-T3,1,
TO,PUBBDGELCIMP44,NZ50-BDG-9-PUBBDG-TEUI-T3,1,
TO,PUBBDGELCIMP45,NZ50-BDG-9-PUBBDG-TEUI-T3,1,
TO,PUBBDGELCIMP46,NZ50-BDG-9-PUBBDG-TEUI-T3,1,
TO,PUBBDGELCIMP47,NZ50-BDG-9-PUBBDG-TEUI-T3,1,
TO,PUBBDGELCIMP48,NZ50-BDG-9-PUBBDG-TEUI-T3,1,
TO,PUBBDGELCIMP49,NZ50-BDG-9-PUBBDG-TEUI-T3,1,
TO,PUBBDGELCIMP50,NZ50-BDG-9-PUBBDG-TEUI-T3,1,
TO,PUBBDGHH2EXP,NZ50-BDG-9-PUBBDG-TEUI-T3,1,
TO,PUBBDGBMTNEXP,NZ50-BDG-9-PUBBDG-TEUI-T3,1,
TO,PUBBDGHSPNewSH,NZ50-BDG-9-PUBBDGHSP-TEDI-T2,-108,
TO,PUBBDGMUNNewSH,NZ50-BDG-9-PUBBDGMUN-TEDI-T2,-108,
TO,PUBBDGPSINewSH,NZ50-BDG-9-PUBBDGPSI-TEDI-T2,-108,
TO,PUBBDGSBDNewSH,NZ50-BDG-9-PUBBDGSBD-TEDI-T2,-108,
TO,PUBBDGHSPNewSH_________DHE_16,NZ50-BDG-9-PUBBDGHSP-TEDI-T2,1,
TO,PUBBDGHSPNewSHFUR___ESRNGA_23,NZ50-BDG-9-PUBBDGHSP-TEDI-T2,1,
TO,PUBBDGHSPNewSHFUR___ESRPRO_23,NZ50-BDG-9-PUBBDGHSP-TEDI-T2,1,
TO,PUBBDGHSPNewSHFUR___HIGHFO_23,NZ50-BDG-9-PUBBDGHSP-TEDI-T2,1,
TO,PUBBDGHSPNewSHFUR___HIGLFO_23,NZ50-BDG-9-PUBBDGHSP-TEDI-T2,1,
TO,PUBBDGHSPNewSHFUR___HIGNGA_16,NZ50-BDG-9-PUBBDGHSP-TEDI-T2,1,
TO,PUBBDGHSPNewSHFUR___HIGNGA_23,NZ50-BDG-9-PUBBDGHSP-TEDI-T2,1,
TO,PUBBDGHSPNewSHFUR___HIGPRO_23,NZ50-BDG-9-PUBBDGHSP-TEDI-T2,1,
TO,PUBBDGHSPNewSHFUR___STDELC_16,NZ50-BDG-9-PUBBDGHSP-TEDI-T2,1,
TO,PUBBDGHSPNewSHFUR___STDELC_23,NZ50-BDG-9-PUBBDGHSP-TEDI-T2,1,
TO,PUBBDGHSPNewSHFUR___STDHFO_16,NZ50-BDG-9-PUBBDGHSP-TEDI-T2,1,
TO,PUBBDGHSPNewSHFUR___STDHFO_23,NZ50-BDG-9-PUBBDGHSP-TEDI-T2,1,
TO,PUBBDGHSPNewSHFUR___STDKER_16,NZ50-BDG-9-PUBBDGHSP-TEDI-T2,1,
TO,PUBBDGHSPNewSHFUR___STDKER_23,NZ50-BDG-9-PUBBDGHSP-TEDI-T2,1,
TO,PUBBDGHSPNewSHFUR___STDLFO_16,NZ50-BDG-9-PUBBDGHSP-TEDI-T2,1,
TO,PUBBDGHSPNewSHFUR___STDLFO_23,NZ50-BDG-9-PUBBDGHSP-TEDI-T2,1,
TO,PUBBDGHSPNewSHFUR___STDNGA_16,NZ50-BDG-9-PUBBDGHSP-TEDI-T2,1,
TO,PUBBDGHSPNewSHFUR___STDNGA_23,NZ50-BDG-9-PUBBDGHSP-TEDI-T2,1,
TO,PUBBDGHSPNewSHFUR___STDPRO_16,NZ50-BDG-9-PUBBDGHSP-TEDI-T2,1,
TO,PUBBDGHSPNewSHFUR___STDPRO_23,NZ50-BDG-9-PUBBDGHSP-TEDI-T2,1,
TO,PUBBDGHSPNewSHFURLARSTDHH2_23,NZ50-BDG-9-PUBBDGHSP-TEDI-T2,1,
TO,PUBBDGHSPNewSHFURMEDSTDHH2_23,NZ50-BDG-9-PUBBDGHSP-TEDI-T2,1,
TO,PUBBDGHSPNewSHFURSMASTDHH2_23,NZ50-BDG-9-PUBBDGHSP-TEDI-T2,1,
TO,PUBBDGHSPNewSHHEP___ESRELC_23,NZ50-BDG-9-PUBBDGHSP-TEDI-T2,1,
TO,PUBBDGHSPNewSHHEP___ESRGEO_23,NZ50-BDG-9-PUBBDGHSP-TEDI-T2,1,
TO,PUBBDGHSPNewSHHEP___HIGELC_23,NZ50-BDG-9-PUBBDGHSP-TEDI-T2,1,
TO,PUBBDGHSPNewSHHEP___HIGGEO_23,NZ50-BDG-9-PUBBDGHSP-TEDI-T2,1,
TO,PUBBDGHSPNewSHHEP___STDELC_16,NZ50-BDG-9-PUBBDGHSP-TEDI-T2,1,
TO,PUBBDGHSPNewSHHEP___STDELC_23,NZ50-BDG-9-PUBBDGHSP-TEDI-T2,1,
TO,PUBBDGHSPNewSHHEP___STDGEO_23,NZ50-BDG-9-PUBBDGHSP-TEDI-T2,1,
TO,PUBBDGHSPNewSHHEP___STDNGA_23,NZ50-BDG-9-PUBBDGHSP-TEDI-T2,1,
TO,PUBBDGHSPNewSHPLT___STDELC_16,NZ50-BDG-9-PUBBDGHSP-TEDI-T2,1,
TO,PUBBDGHSPNewSHPLT1000WSTDELC_23,NZ50-BDG-9-PUBBDGHSP-TEDI-T2,1,
TO,PUBBDGHSPNewSHPLT1500WSTDELC_23,NZ50-BDG-9-PUBBDGHSP-TEDI-T2,1,
TO,PUBBDGHSPNewSHPLT500WSTDELC_23,NZ50-BDG-9-PUBBDGHSP-TEDI-T2,1,
TO,PUBBDGMUNNewSH_________DHE_16,NZ50-BDG-9-PUBBDGMUN-TEDI-T2,1,
TO,PUBBDGMUNNewSHFUR___ESRNGA_23,NZ50-BDG-9-PUBBDGMUN-TEDI-T2,1,
TO,PUBBDGMUNNewSHFUR___ESRPRO_23,NZ50-BDG-9-PUBBDGMUN-TEDI-T2,1,
TO,PUBBDGMUNNewSHFUR___HIGHFO_23,NZ50-BDG-9-PUBBDGMUN-TEDI-T2,1,
TO,PUBBDGMUNNewSHFUR___HIGLFO_23,NZ50-BDG-9-PUBBDGMUN-TEDI-T2,1,
TO,PUBBDGMUNNewSHFUR___HIGNGA_16,NZ50-BDG-9-PUBBDGMUN-TEDI-T2,1,
TO,PUBBDGMUNNewSHFUR___HIGNGA_23,NZ50-BDG-9-PUBBDGMUN-TEDI-T2,1,
TO,PUBBDGMUNNewSHFUR___HIGPRO_23,NZ50-BDG-9-PUBBDGMUN-TEDI-T2,1,
TO,PUBBDGMUNNewSHFUR___STDELC_16,NZ50-BDG-9-PUBBDGMUN-TEDI-T2,1,
TO,PUBBDGMUNNewSHFUR___STDELC_23,NZ50-BDG-9-PUBBDGMUN-TEDI-T2,1,
TO,PUBBDGMUNNewSHFUR___STDHFO_16,NZ50-BDG-9-PUBBDGMUN-TEDI-T2,1,
TO,PUBBDGMUNNewSHFUR___STDHFO_23,NZ50-BDG-9-PUBBDGMUN-TEDI-T2,1,
TO,PUBBDGMUNNewSHFUR___STDKER_16,NZ50-BDG-9-PUBBDGMUN-TEDI-T2,1,
TO,PUBBDGMUNNewSHFUR___STDKER_23,NZ50-BDG-9-PUBBDGMUN-TEDI-T2,1,
TO,PUBBDGMUNNewSHFUR___STDLFO_16,NZ50-BDG-9-PUBBDGMUN-TEDI-T2,1,
TO,PUBBDGMUNNewSHFUR___STDLFO_23,NZ50-BDG-9-PUBBDGMUN-TEDI-T2,1,
TO,PUBBDGMUNNewSHFUR___STDNGA_16,NZ50-BDG-9-PUBBDGMUN-TEDI-T2,1,
TO,PUBBDGMUNNewSHFUR___STDNGA_23,NZ50-BDG-9-PUBBDGMUN-TEDI-T2,1,
TO,PUBBDGMUNNewSHFUR___STDPRO_16,NZ50-BDG-9-PUBBDGMUN-TEDI-T2,1,
TO,PUBBDGMUNNewSHFUR___STDPRO_23,NZ50-BDG-9-PUBBDGMUN-TEDI-T2,1,
TO,PUBBDGMUNNewSHFURLARSTDHH2_23,NZ50-BDG-9-PUBBDGMUN-TEDI-T2,1,
TO,PUBBDGMUNNewSHFURMEDSTDHH2_23,NZ50-BDG-9-PUBBDGMUN-TEDI-T2,1,
TO,PUBBDGMUNNewSHFURSMASTDHH2_23,NZ50-BDG-9-PUBBDGMUN-TEDI-T2,1,
TO,PUBBDGMUNNewSHHEP___ESRELC_23,NZ50-BDG-9-PUBBDGMUN-TEDI-T2,1,
TO,PUBBDGMUNNewSHHEP___ESRGEO_23,NZ50-BDG-9-PUBBDGMUN-TEDI-T2,1,
TO,PUBBDGMUNNewSHHEP___HIGELC_23,NZ50-BDG-9-PUBBDGMUN-TEDI-T2,1,
TO,PUBBDGMUNNewSHHEP___HIGGEO_23,NZ50-BDG-9-PUBBDGMUN-TEDI-T2,1,
TO,PUBBDGMUNNewSHHEP___STDELC_16,NZ50-BDG-9-PUBBDGMUN-TEDI-T2,1,
TO,PUBBDGMUNNewSHHEP___STDELC_23,NZ50-BDG-9-PUBBDGMUN-TEDI-T2,1,
TO,PUBBDGMUNNewSHHEP___STDGEO_23,NZ50-BDG-9-PUBBDGMUN-TEDI-T2,1,
TO,PUBBDGMUNNewSHHEP___STDNGA_23,NZ50-BDG-9-PUBBDGMUN-TEDI-T2,1,
TO,PUBBDGMUNNewSHPLT___STDELC_16,NZ50-BDG-9-PUBBDGMUN-TEDI-T2,1,
TO,PUBBDGMUNNewSHPLT1000WSTDELC_23,NZ50-BDG-9-PUBBDGMUN-TEDI-T2,1,
