regions,periods,tech,mincap,mincap_units,mincap_notes
TO,2023,PASTRABELCSTAPUB240V,0.00,MW,
TO,2023,PUBTRABELCSTAPUB240V,0.00,MW,
TO,2024,PASTRABELCSTAPUB240V,0.63,MW,
TO,2024,PUBTRABELCSTAPUB240V,0.63,MW,
TO,2025,PASTRABELCSTAPUB240V,0.95,MW,
TO,2025,PUBTRABELCSTAPUB240V,0.95,MW,
TO,2026,PASTRABELCSTAPUB240V,1.11,MW,
TO,2026,PUBTRABELCSTAPUB240V,1.11,MW,
TO,2027,PASTRABELCSTAPUB240V,1.18,MW,
TO,2027,PUBTRABELCSTAPUB240V,1.18,MW,
TO,2028,PASTRABELCSTAPUB240V,1.22,MW,
TO,2028,PUBTRABELCSTAPUB240V,1.22,MW,
TO,2029,PASTRABELCSTAPUB240V,1.24,MW,
TO,2029,PUBTRABELCSTAPUB240V,1.24,MW,
TO,2030,PASTRABELCSTAPUB240V,1.25,MW,
TO,2030,PUBTRABELCSTAPUB240V,1.25,MW,
TO,2031,PASTRABELCSTAPUB240V,1.26,MW,
TO,2031,PUBTRABELCSTAPUB240V,1.26,MW,
TO,2032,PASTRABELCSTAPUB240V,2.36,MW,
TO,2032,PUBTRABELCSTAPUB240V,2.36,MW,
TO,2033,PASTRABELCSTAPUB240V,3.47,MW,
TO,2033,PUBTRABELCSTAPUB240V,3.47,MW,
TO,2034,PASTRABELCSTAPUB240V,4.58,MW,
TO,2034,PUBTRABELCSTAPUB240V,4.58,MW,
TO,2035,PASTRABELCSTAPUB240V,5.68,MW,
TO,2035,PUBTRABELCSTAPUB240V,5.68,MW,
TO,2036,PASTRABELCSTAPUB240V,6.79,MW,
TO,2036,PUBTRABELCSTAPUB240V,6.79,MW,
TO,2037,PASTRABELCSTAPUB240V,7.90,MW,
TO,2037,PUBTRABELCSTAPUB240V,7.90,MW,
TO,2038,PASTRABELCSTAPUB240V,9.00,MW,
TO,2038,PUBTRABELCSTAPUB240V,9.00,MW,
TO,2039,PASTRABELCSTAPUB240V,10.11,MW,
TO,2039,PUBTRABELCSTAPUB240V,10.11,MW,
TO,2040,PASTRABELCSTAPUB240V,11.22,MW,
TO,2040,PUBTRABELCSTAPUB240V,11.22,MW,
TO,2041,PASTRABELCSTAPUB240V,12.32,MW,
TO,2041,PUBTRABELCSTAPUB240V,12.32,MW,
TO,2042,PASTRABELCSTAPUB240V,13.43,MW,
TO,2042,PUBTRABELCSTAPUB240V,13.43,MW,
TO,2043,PASTRABELCSTAPUB240V,14.54,MW,
TO,2043,PUBTRABELCSTAPUB240V,14.54,MW,
TO,2044,PASTRABELCSTAPUB240V,15.64,MW,
TO,2044,PUBTRABELCSTAPUB240V,15.64,MW,
TO,2045,PASTRABELCSTAPUB240V,16.75,MW,
TO,2045,PUBTRABELCSTAPUB240V,16.75,MW,
TO,2046,PASTRABELCSTAPUB240V,17.86,MW,
TO,2046,PUBTRABELCSTAPUB240V,17.86,MW,
TO,2047,PASTRABELCSTAPUB240V,18.96,MW,
TO,2047,PUBTRABELCSTAPUB240V,18.96,MW,
TO,2048,PASTRABELCSTAPUB240V,20.07,MW,
TO,2048,PUBTRABELCSTAPUB240V,20.07,MW,
TO,2049,PASTRABELCSTAPUB240V,21.17,MW,
TO,2049,PUBTRABELCSTAPUB240V,21.17,MW,
TO,2050,PASTRABELCSTAPUB240V,22.28,MW,
TO,2050,PUBTRABELCSTAPUB240V,22.28,MW,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
