Electricity for EV charging (TJ)
t_periods,Sub,Sector,Tech_cat,Tech_type_1,Tech_type_2,Output_units,VFlow_In
2045,Freight,Transport,Charging Station,Commercial,120V,TJ,2971.9303856927622
2045,Freight,Transport,Charging Station,Commercial,240V,TJ,4.147449499721199
2045,Freight,Transport,Charging Station,Freight,Fast,TJ,1.1790402582365411
2045,Freight,Transport,Charging Station,Freight,Slow,TJ,2078.763100177663
2045,Passenger,Transport,Charging Station,Commercial,120V,TJ,6553.106576055231
2045,Passenger,Transport,Charging Station,Commercial,240V,TJ,3361.8222863610663
2045,Passenger,Transport,Charging Station,Public,240V,TJ,41.36153306440278
2045,Passenger,Transport,Charging Station,Residential,120V,TJ,0.5884607040123975
2045,Passenger,Transport,Charging Station,Residential,240V,TJ,2024.91529861814
2045,Public,Transport,Charging Station,Commercial,120V,TJ,1.7809334328203594
2045,Public,Transport,Charging Station,Commercial,240V,TJ,0.8417499333666443
2045,Public,Transport,Charging Station,Freight,Fast,TJ,0.5434629138473294
2045,Public,Transport,Charging Station,Freight,Slow,TJ,1.6922938461233632
2045,Public,Transport,Charging Station,Public,240V,TJ,22.736130972681952
2045,Public,Transport,Charging Station,Residential,120V,TJ,0.3191788042894903
2045,Public,Transport,Charging Station,Residential,240V,TJ,0.8417499333666443
2050,Freight,Transport,Charging Station,Commercial,120V,TJ,2883.5298865399427
2050,Freight,Transport,Charging Station,Commercial,240V,TJ,7.109159833228263
2050,Freight,Transport,Charging Station,Freight,Fast,TJ,2.3859441120384544
2050,Freight,Transport,Charging Station,Freight,Slow,TJ,2023.9966005565
2050,Passenger,Transport,Charging Station,Commercial,120V,TJ,5245.534583262923
2050,Passenger,Transport,Charging Station,Commercial,240V,TJ,3599.8427544332562
2050,Passenger,Transport,Charging Station,Public,240V,TJ,55.666864779039784
2050,Passenger,Transport,Charging Station,Residential,120V,TJ,1.4631452633750601
2050,Passenger,Transport,Charging Station,Residential,240V,TJ,2208.7604918360016
2050,Public,Transport,Charging Station,Commercial,120V,TJ,40.37421261467993
2050,Public,Transport,Charging Station,Commercial,240V,TJ,2.8255577253541344
2050,Public,Transport,Charging Station,Freight,Fast,TJ,1.6895208148836676
2050,Public,Transport,Charging Station,Freight,Slow,TJ,46.96980544109351
2050,Public,Transport,Charging Station,Public,240V,TJ,34.8517194035747
2050,Public,Transport,Charging Station,Residential,120V,TJ,0.9028523750421996
2050,Public,Transport,Charging Station,Residential,240V,TJ,2.8255577253541344
