"District heating and cooling  generation, per technology type, and per period.(TJ)"
t_periods,Sub,EndUse,Tech_cat,Tech_type_1,Tech_type_2,Output_units,VFlow_Out
2023,Residential,District Heating,Toronto Average,Substation,___,TJ,228.76049110824036
2023,Residential,District Heating,Consumption,Heat Pump,Large,TJ,2.395661483045796
2023,Residential,District Heating,Consumption,Heat Pump,Medium,TJ,2.0999533900718146
2023,Residential,District Heating,Consumption,Heat Pump,Small,TJ,24.28064920519257
2024,Commercial,District Cooling,Toronto Average,Substation,___,TJ,1573.4386967148014
2024,Commercial,District Cooling,Consumption,Heat Pump,Large,TJ,0.5201920133048968
2024,Commercial,District Cooling,Consumption,Heat Pump,Medium,TJ,0.5187229196072303
2024,Commercial,District Cooling,Consumption,Heat Pump,Small,TJ,0.4105671529436795
2024,Commercial,District Heating,Toronto Average,Substation,___,TJ,696.5269387401785
2024,Commercial,District Heating,Consumption,Heat Pump,Large,TJ,20.628508997628572
2024,Commercial,District Heating,Consumption,Heat Pump,Medium,TJ,20.624396004160698
2024,Commercial,District Heating,Consumption,Heat Pump,Small,TJ,4.049795588514781
2024,Industrial,District Cooling,Toronto Average,Substation,___,TJ,3.311443403932714
2024,Industrial,District Cooling,Consumption,Heat Pump,Large,TJ,0.22481054420549518
2024,Industrial,District Cooling,Consumption,Heat Pump,Medium,TJ,0.2313006416173441
2024,Industrial,District Cooling,Consumption,Heat Pump,Small,TJ,0.1579587089720367
2024,Industrial,District Heating,Toronto Average,Substation,___,TJ,3.646500709251834
2024,Industrial,District Heating,Consumption,Heat Pump,Large,TJ,1.0683024777329178
2024,Industrial,District Heating,Consumption,Heat Pump,Medium,TJ,0.9763411659124888
2024,Industrial,District Heating,Consumption,Heat Pump,Small,TJ,48.53179870012204
2024,Public,District Cooling,Toronto Average,Substation,___,TJ,23.40210089910895
2024,Public,District Cooling,Consumption,Heat Pump,Large,TJ,0.49580001850062394
2024,Public,District Cooling,Consumption,Heat Pump,Medium,TJ,0.5339617449318762
2024,Public,District Cooling,Consumption,Heat Pump,Small,TJ,0.34428200369211637
2024,Public,District Heating,Toronto Average,Substation,___,TJ,1854.4102079109562
2024,Public,District Heating,Consumption,Heat Pump,Large,TJ,3.0295922793621535
2024,Public,District Heating,Consumption,Heat Pump,Medium,TJ,2.6240587100331374
2024,Public,District Heating,Consumption,Heat Pump,Small,TJ,49.070787924756296
2024,Residential,District Cooling,Toronto Average,Substation,___,TJ,121.20673832458647
2024,Residential,District Cooling,Consumption,Heat Pump,Large,TJ,0.27644216196248905
2024,Residential,District Cooling,Consumption,Heat Pump,Medium,TJ,0.2873988913752815
2024,Residential,District Cooling,Consumption,Heat Pump,Small,TJ,0.1820906580258901
2024,Residential,District Heating,Toronto Average,Substation,___,TJ,1070.2446008416437
2024,Residential,District Heating,Consumption,Heat Pump,Large,TJ,3.0447070869606967
2024,Residential,District Heating,Consumption,Heat Pump,Medium,TJ,2.6474769655468458
2024,Residential,District Heating,Consumption,Heat Pump,Small,TJ,49.02198957214768
2025,Commercial,District Cooling,Toronto Average,Substation,___,TJ,1920.7389014664793
2025,Commercial,District Cooling,Consumption,Heat Pump,Large,TJ,0.44375025421705866
2025,Commercial,District Cooling,Consumption,Heat Pump,Medium,TJ,0.7249537953169131
2025,Commercial,District Cooling,Consumption,Heat Pump,Small,TJ,0.14946606627863263
2025,Commercial,District Heating,Toronto Average,Substation,___,TJ,1771.8216253159544
2025,Commercial,District Heating,Consumption,Heat Pump,Large,TJ,57.26540612727377
2025,Commercial,District Heating,Consumption,Heat Pump,Medium,TJ,57.25090082930683
2025,Commercial,District Heating,Consumption,Heat Pump,Small,TJ,59.55851637850275
2025,Industrial,District Cooling,Toronto Average,Substation,___,TJ,3.466694550593819
2025,Industrial,District Cooling,Consumption,Heat Pump,Large,TJ,0.10761936817302234
2025,Industrial,District Cooling,Consumption,Heat Pump,Medium,TJ,0.11641880512482924
2025,Industrial,District Cooling,Consumption,Heat Pump,Small,TJ,0.07892815438140506
2025,Industrial,District Heating,Toronto Average,Substation,___,TJ,1.1483656894971441
2025,Industrial,District Heating,Consumption,Heat Pump,Large,TJ,0.7789923930988375
2025,Industrial,District Heating,Consumption,Heat Pump,Medium,TJ,0.7384514379836664
2025,Industrial,District Heating,Consumption,Heat Pump,Small,TJ,59.323692440625535
2025,Public,District Cooling,Toronto Average,Substation,___,TJ,6.667037260228242
2025,Public,District Cooling,Consumption,Heat Pump,Large,TJ,0.19626621884532183
2025,Public,District Cooling,Consumption,Heat Pump,Medium,TJ,0.23036320206290692
2025,Public,District Cooling,Consumption,Heat Pump,Small,TJ,0.12978280891733193
2025,Public,District Heating,Toronto Average,Substation,___,TJ,1857.8556887953819
2025,Public,District Heating,Consumption,Heat Pump,Large,TJ,4.471747791084798
2025,Public,District Heating,Consumption,Heat Pump,Medium,TJ,3.8451618971430133
2025,Public,District Heating,Consumption,Heat Pump,Small,TJ,59.53635893109775
2025,Residential,District Cooling,Toronto Average,Substation,___,TJ,128.50154775018257
2025,Residential,District Cooling,Consumption,Heat Pump,Large,TJ,0.12908261489606407
2025,Residential,District Cooling,Consumption,Heat Pump,Medium,TJ,0.14819423053414113
2025,Residential,District Cooling,Consumption,Heat Pump,Small,TJ,0.08467585233481052
2025,Residential,District Heating,Toronto Average,Substation,___,TJ,1073.1261816068306
2025,Residential,District Heating,Consumption,Heat Pump,Large,TJ,4.446653596762057
2025,Residential,District Heating,Consumption,Heat Pump,Medium,TJ,3.836199093447424
2025,Residential,District Heating,Consumption,Heat Pump,Small,TJ,59.515463183399795
2030,Commercial,District Cooling,Toronto Average,Substation,___,TJ,1701.4946688666575
2030,Commercial,District Heating,Toronto Average,Substation,___,TJ,861.3417882117678
2030,Commercial,District Heating,Consumption,Heat Pump,Large,TJ,109.49353894671945
2030,Commercial,District Heating,Consumption,Heat Pump,Medium,TJ,109.45564199500352
2030,Commercial,District Heating,Consumption,Heat Pump,Small,TJ,148.36863708664177
2030,Industrial,District Cooling,Toronto Average,Substation,___,TJ,1.688454434694562
2030,Industrial,District Heating,Toronto Average,Substation,___,TJ,1.7959944552897478
2030,Industrial,District Heating,Consumption,Heat Pump,Large,TJ,1.179902844142744
2030,Industrial,District Heating,Consumption,Heat Pump,Medium,TJ,1.1226921362737328
2030,Industrial,District Heating,Consumption,Heat Pump,Small,TJ,148.10467396770028
2030,Public,District Cooling,Toronto Average,Substation,___,TJ,5.585260848164642
2030,Public,District Heating,Toronto Average,Substation,___,TJ,1891.8769312419377
2030,Public,District Heating,Consumption,Heat Pump,Large,TJ,5.73768484624326
2030,Public,District Heating,Consumption,Heat Pump,Medium,TJ,4.901923817988195
2030,Public,District Heating,Consumption,Heat Pump,Small,TJ,148.33805719923103
2030,Residential,District Cooling,Toronto Average,Substation,___,TJ,128.7530147733042
2030,Residential,District Heating,Toronto Average,Substation,___,TJ,924.0362344153999
2030,Residential,District Heating,Consumption,Heat Pump,Large,TJ,4.761206283354854
2030,Residential,District Heating,Consumption,Heat Pump,Medium,TJ,4.12146488455763
2030,Residential,District Heating,Consumption,Heat Pump,Small,TJ,148.28511744053912
2035,Commercial,District Cooling,Toronto Average,Substation,___,TJ,1646.3790631906559
2035,Commercial,District Heating,Toronto Average,Substation,___,TJ,59.32319334125979
2035,Commercial,District Heating,Consumption,Heat Pump,Large,TJ,209.86158585616468
2035,Commercial,District Heating,Consumption,Heat Pump,Medium,TJ,209.77851547748358
2035,Commercial,District Heating,Consumption,Heat Pump,Small,TJ,369.59572326662624
2035,Industrial,District Cooling,Toronto Average,Substation,___,TJ,2.2303219036247177
2035,Industrial,District Heating,Toronto Average,Substation,___,TJ,2.57186809230056
2035,Industrial,District Heating,Consumption,Heat Pump,Large,TJ,1.6394438216177667
2035,Industrial,District Heating,Consumption,Heat Pump,Medium,TJ,1.5605403224277339
