"Energy consumed for building sector, and per end use (TJ)"
t_periods,Fuel,Sub,EndUse,VFlow_In
2016,Propane,Commercial,Space Heating,970.7075470961893
2016,Propane,Commercial,Water Heating,99.36850416873327
2016,Propane,Industry,Space Heating,21.860562880718074
2016,Propane,Industry,Water Heating,96.2729649701712
2016,Propane,Residential,Space Heating,0.25290604863671245
2016,Propane,Residential,Water Heating,9.86837606671761
2016,Synthetic Gas,Commercial,Auxiliary Equipment,0.5983448226581155
2016,Synthetic Gas,Commercial,Space Cooling,0.23452071404112956
2016,Synthetic Gas,Commercial,Space Heating,2.4309583119187357
2016,Synthetic Gas,Commercial,Water Heating,1.2512360032545071
2016,Synthetic Gas,Public,Auxiliary Equipment,0.048174491866957256
2016,Synthetic Gas,Public,Space Cooling,0.3420545446940939
2016,Synthetic Gas,Public,Space Heating,0.03247852061887068
2016,Synthetic Gas,Public,Water Heating,0.6837105238232783
2016,Synthetic Gas,Residential,Space Heating,1.3164506213039102
2016,Synthetic Gas,Residential,Water Heating,0.5423157593471613
2017,Biomass,Industry,Industrial Processes,85.29556958218134
2017,Biomass,Residential,Space Heating,213.55616526662786
2017,Biomass,Residential,Water Heating,20.333920062486868
2017,Bio Methane,Commercial,Auxiliary Equipment,13.56811186879488
2017,Bio Methane,Commercial,Space Cooling,1.2867212061898503
2017,Bio Methane,Commercial,Space Heating,393.23999583306215
2017,Bio Methane,Commercial,Water Heating,82.7888841991382
2017,Bio Methane,Public,Auxiliary Equipment,1.2616974757988666
2017,Bio Methane,Public,Space Cooling,10.965705301139671
2017,Bio Methane,Public,Space Heating,18.232555404364316
2017,Bio Methane,Public,Water Heating,54.32859440298183
2017,Bio Methane,Residential,Space Heating,194.6884530424798
2017,Bio Methane,Residential,Water Heating,111.94351166605075
2017,Wood Pellet,Residential,Space Heating,0.46316130837216163
2017,Wood Pellet,Residential,Water Heating,21.06939286015335
2017,Coal,Industry,Industrial Processes,98.19764042113566
2017,District Cooling,Commercial,Space Cooling,1256.933568655957
2017,District Cooling,Public,Space Cooling,247.2137765565056
2017,District Cooling,Residential,Space Cooling,49.8728529927252
2017,District Heating,Commercial,Space Heating,2872.7082822660277
2017,District Heating,Commercial,Water Heating,459.7641025669001
2017,District Heating,Public,Space Heating,1495.6873897058551
2017,District Heating,Public,Water Heating,304.67345134472276
2017,District Heating,Residential,Space Heating,49.22560068937738
2017,District Heating,Residential,Water Heating,994.8095669447406
2017,Electricity,Commercial,Auxiliary Equipment,17311.0393222522
2017,Electricity,Commercial,Auxiliary Motors,2280.187105138957
2017,Electricity,Commercial,Lighting,30163.67786615353
2017,Electricity,Commercial,Space Cooling,2653.9579738741268
2017,Electricity,Commercial,Space Heating,1656.6461870641087
2017,Electricity,Commercial,Street Lighting,496.34352465734884
2017,Electricity,Commercial,Water Heating,265.22459271758754
2017,Electricity,Industry,Industrial Processes,2668.578845742445
2017,Electricity,Industry,Lighting,650.2815879189868
2017,Electricity,Industry,Space Cooling,367.02067109818825
2017,Electricity,Industry,Space Heating,756.428692308842
2017,Electricity,Industry,Water Heating,1008.7718629732733
2017,Electricity,Public,Auxiliary Equipment,2026.0825360310773
2017,Electricity,Public,Auxiliary Motors,537.8945887792316
2017,Electricity,Public,Lighting,1977.645438999957
2017,Electricity,Public,Space Cooling,1183.3555527538488
2017,Electricity,Public,Space Heating,791.070108252071
2017,Electricity,Public,Water Heating,10.845208679624266
2017,Electricity,Residential,Other Appliances,5891.041751327167
2017,Electricity,Residential,Clothe Dryer,2027.8694598974078
2017,Electricity,Residential,Clothe Washer,110.92665643810031
2017,Electricity,Residential,Dish Washer,145.24210934044086
2017,Electricity,Residential,Freezer,512.7872216101905
2017,Electricity,Residential,Lighting,2453.217879548805
2017,Electricity,Residential,Range,1867.6371103864942
2017,Electricity,Residential,Refrigerator,1579.0256000970987
2017,Electricity,Residential,Space Cooling,3097.130896406252
2017,Electricity,Residential,Space Heating,4157.767060878603
2017,Electricity,Residential,Water Heating,744.3996284142625
2017,Heavy Fuel Oil,Commercial,Space Heating,2.8690723373748948
2017,Heavy Fuel Oil,Commercial,Water Heating,6.112799789213143
2017,Heavy Fuel Oil,Industry,Industrial Processes,42.624235820312606
2017,Heavy Fuel Oil,Industry,Space Heating,25.383596124683127
2017,Heavy Fuel Oil,Industry,Water Heating,60.73316208217646
2017,Heavy Fuel Oil,Public,Water Heating,0.8622806149291373
2017,Hydrogen,Residential,Space Heating,1.0148763449501217
2017,Hydrogen,Residential,Water Heating,0.5919075192420232
2017,Kerosene,Commercial,Space Heating,2.869225855429318
2017,Kerosene,Commercial,Water Heating,6.113009057523748
2017,Kerosene,Public,Water Heating,0.8622806643180382
2017,Kerosene,Residential,Space Heating,0.3580077673340627
2017,Kerosene,Residential,Water Heating,12.993526193592748
2017,Light Fuel Oil,Commercial,Space Heating,204.86213891130944
2017,Light Fuel Oil,Commercial,Water Heating,237.18924208330407
2017,Light Fuel Oil,Industry,Industrial Processes,479.22644553881094
2017,Light Fuel Oil,Industry,Space Heating,24.773765172883454
2017,Light Fuel Oil,Industry,Water Heating,44.32013353919767
2017,Light Fuel Oil,Public,Space Heating,344.5885605215131
2017,Light Fuel Oil,Public,Water Heating,23.15665402712408
2017,Light Fuel Oil,Residential,Space Heating,774.3129216561687
2017,Light Fuel Oil,Residential,Water Heating,102.93221901984508
2017,Mix Energy,Industry,Industrial Processes,15281.617316096192
2017,Natural Gas,Commercial,Auxiliary Equipment,2648.159739237946
2017,Natural Gas,Commercial,Space Cooling,122.27102794955259
2017,Natural Gas,Commercial,Space Heating,37186.32571116196
2017,Natural Gas,Commercial,Water Heating,5919.559902805935
2017,Natural Gas,Industry,Industrial Processes,11670.46797817146
2017,Natural Gas,Industry,Space Cooling,30.24200884152349
2017,Natural Gas,Industry,Space Heating,732.2038293567559
2017,Natural Gas,Industry,Water Heating,2873.558541277578
2017,Natural Gas,Public,Auxiliary Equipment,383.6732995814386
2017,Natural Gas,Public,Space Cooling,149.31456222604342
2017,Natural Gas,Public,Space Heating,7274.077867917078
2017,Natural Gas,Public,Water Heating,999.6217151838922
2017,Natural Gas,Residential,Clothe Dryer,138.9374144586398
2017,Natural Gas,Residential,Range,94.16063012536455
2017,Natural Gas,Residential,Space Heating,58208.93731296619
2017,Natural Gas,Residential,Water Heating,16405.563188304794
2017,Pet Coke,Industry,Industrial Processes,237.22660090495927
2017,Propane,Commercial,Auxiliary Equipment,1928.489167239821
2017,Propane,Commercial,Space Heating,814.5661617161619
2017,Propane,Commercial,Water Heating,103.36448832479658
2017,Propane,Industry,Space Heating,21.885928108419023
2017,Propane,Industry,Water Heating,96.3846723268341
2017,Propane,Residential,Space Heating,0.46366592869205764
2017,Propane,Residential,Water Heating,20.784246147829002
2017,Synthetic Gas,Commercial,Auxiliary Equipment,1.3624440371309352
2017,Synthetic Gas,Commercial,Space Cooling,0.48387106077477166
2017,Synthetic Gas,Commercial,Space Heating,4.740070674289531
2017,Synthetic Gas,Commercial,Water Heating,2.738807715866478
2017,Synthetic Gas,Public,Auxiliary Equipment,0.21752670943108407
2017,Synthetic Gas,Public,Space Cooling,0.6327299149480634
2017,Synthetic Gas,Public,Space Heating,0.6310692703653797
2017,Synthetic Gas,Public,Water Heating,1.2570644566989542
2017,Synthetic Gas,Residential,Space Heating,2.054454712212383
2017,Synthetic Gas,Residential,Water Heating,1.062979188192737
2018,Biomass,Industry,Industrial Processes,85.39442495405962
2018,Biomass,Residential,Space Heating,215.3094632235786
2018,Biomass,Residential,Water Heating,509.04568945494384
2018,Bio Methane,Commercial,Auxiliary Equipment,19.48978351713438
2018,Bio Methane,Commercial,Space Cooling,1.7826747560833736
2018,Bio Methane,Commercial,Space Heating,317.53961361850685
2018,Bio Methane,Commercial,Water Heating,230.2937301115981
