regions,periods,input_comm,tech,TIS,ti_split_notes
TO,2022,WATWASFW,WATWASFWFJHPRC_EX,0.3777265561868269,WaterWasteFresh waterF.J Horgan Water Treatment PlantProcess
TO,2022,WATWASNGA,WATWASFWRLCPRC_EX,0.012352346135197161,WaterWasteFresh waterR.L. Clark Water Treatment PlantProcess
TO,2022,WATWASELC,WATWASFWRLCPRC_EX,0.5939289102816177,WaterWasteFresh waterR.L. Clark Water Treatment PlantProcess
TO,2022,WATWASFW,WATWASFWRLCPRC_EX,0.3937187435831853,WaterWasteFresh waterR.L. Clark Water Treatment PlantProcess
TO,2022,WATWASNGA,WATWASFWISDPRC_EX,0.013858860787190874,WaterWasteFresh waterIsland Water Treatment PlantProcess
TO,2022,WATWASELC,WATWASFWISDPRC_EX,0.22403619392462484,WaterWasteFresh waterIsland Water Treatment PlantProcess
TO,2022,WATWASFW,WATWASFWISDPRC_EX,0.7621049452881843,WaterWasteFresh waterIsland Water Treatment PlantProcess
TO,2023,WATWASELC,WATWASWWABPRC_EX,0.920367682102541,WaterWasteWaste waterAhsbridges Bay Wastewater Treatment PlantProcess
TO,2023,ADEMWATWASWWABTTE,WATWASWWABPRC_EX,0.07963231789745902,WaterWasteWaste waterAhsbridges Bay Wastewater Treatment PlantProcess
TO,2023,WATWASNGA,WATWASWWABADIMNGA_EX,1.0,WaterWasteWaste waterAhsbridges Bay Wastewater Treatment PlantAnaerobic Digester
TO,2023,WATWASELC,WATWASWWHCPRC_EX,0.8173590092263603,WaterWasteWaste waterHighland Creek Waterwater Treatment PlantProcess
TO,2023,ADEMWATWASWWHCTTE,WATWASWWHCPRC_EX,0.14249681975698558,WaterWasteWaste waterHighland Creek Waterwater Treatment PlantProcess
TO,2023,ADEMWATWASWWINC,WATWASWWHCPRC_EX,0.04014417101665424,WaterWasteWaste waterHighland Creek Waterwater Treatment PlantProcess
TO,2023,WATWASNGA,WATWASWWHCINCMNGA_EX,1.0,WaterWasteWaste waterHighland Creek Waterwater Treatment PlantIncineration
TO,2023,WATWASNGA,WATWASWWHCADIMNGA_EX,1.0,WaterWasteWaste waterHighland Creek Waterwater Treatment PlantAnaerobic Digester
TO,2023,WATWASELC,WATWASWWHBPRC_EX,0.8344201871278707,WaterWasteWaste waterHumber Wastewater Treatment PlantProcess
TO,2023,ADEMWATWASWWHBTTE,WATWASWWHBPRC_EX,0.16557981287212928,WaterWasteWaste waterHumber Wastewater Treatment PlantProcess
TO,2023,WATWASNGA,WATWASWWHBADIMNGA_EX,0.5078912201809637,WaterWasteWaste waterHumber Wastewater Treatment PlantAnaerobic Digester
TO,2023,WATWASBMTN,WATWASWWHBADIMNGA_EX,0.4921087798190363,WaterWasteWaste waterHumber Wastewater Treatment PlantAnaerobic Digester
TO,2023,WATWASELC,WATWASWWNTPRC_EX,0.6064690026954178,WaterWasteWaste waterNorth Toronto Wastewater Treatment PlantProcess
TO,2023,ADEMWATWASNTWWPRC,WATWASWWNTPRC_EX,0.39353099730458224,WaterWasteWaste waterNorth Toronto Wastewater Treatment PlantProcess
TO,2023,WATWASNGA,WATWASFWRCHPRC_EX,0.004683101506740105,WaterWasteFresh waterR.C. Harris Water Treatment PlantProcess
TO,2023,WATWASELC,WATWASFWRCHPRC_EX,0.5529410296185185,WaterWasteFresh waterR.C. Harris Water Treatment PlantProcess
TO,2023,WATWASFW,WATWASFWRCHPRC_EX,0.4423758688747414,WaterWasteFresh waterR.C. Harris Water Treatment PlantProcess
TO,2023,WATWASNGA,WATWASFWFJHPRC_EX,0.01083621497839885,WaterWasteFresh waterF.J Horgan Water Treatment PlantProcess
TO,2023,WATWASELC,WATWASFWFJHPRC_EX,0.6114372288347742,WaterWasteFresh waterF.J Horgan Water Treatment PlantProcess
TO,2023,WATWASFW,WATWASFWFJHPRC_EX,0.3777265561868269,WaterWasteFresh waterF.J Horgan Water Treatment PlantProcess
TO,2023,WATWASNGA,WATWASFWRLCPRC_EX,0.012352346135197161,WaterWasteFresh waterR.L. Clark Water Treatment PlantProcess
TO,2023,WATWASELC,WATWASFWRLCPRC_EX,0.5939289102816177,WaterWasteFresh waterR.L. Clark Water Treatment PlantProcess
TO,2023,WATWASFW,WATWASFWRLCPRC_EX,0.3937187435831853,WaterWasteFresh waterR.L. Clark Water Treatment PlantProcess
TO,2023,WATWASNGA,WATWASFWISDPRC_EX,0.013858860787190874,WaterWasteFresh waterIsland Water Treatment PlantProcess
TO,2023,WATWASELC,WATWASFWISDPRC_EX,0.22403619392462484,WaterWasteFresh waterIsland Water Treatment PlantProcess
TO,2023,WATWASFW,WATWASFWISDPRC_EX,0.7621049452881843,WaterWasteFresh waterIsland Water Treatment PlantProcess
TO,2024,WATWASELC,WATWASWWABPRC_EX,0.920367682102541,WaterWasteWaste waterAhsbridges Bay Wastewater Treatment PlantProcess
TO,2024,ADEMWATWASWWABTTE,WATWASWWABPRC_EX,0.07963231789745902,WaterWasteWaste waterAhsbridges Bay Wastewater Treatment PlantProcess
TO,2024,WATWASNGA,WATWASWWABADIMNGA_EX,1.0,WaterWasteWaste waterAhsbridges Bay Wastewater Treatment PlantAnaerobic Digester
TO,2024,WATWASELC,WATWASWWHCPRC_EX,0.8173590092263603,WaterWasteWaste waterHighland Creek Waterwater Treatment PlantProcess
TO,2024,ADEMWATWASWWHCTTE,WATWASWWHCPRC_EX,0.14249681975698558,WaterWasteWaste waterHighland Creek Waterwater Treatment PlantProcess
TO,2024,ADEMWATWASWWINC,WATWASWWHCPRC_EX,0.04014417101665424,WaterWasteWaste waterHighland Creek Waterwater Treatment PlantProcess
TO,2024,WATWASNGA,WATWASWWHCINCMNGA_EX,1.0,WaterWasteWaste waterHighland Creek Waterwater Treatment PlantIncineration
TO,2024,WATWASNGA,WATWASWWHCADIMNGA_EX,1.0,WaterWasteWaste waterHighland Creek Waterwater Treatment PlantAnaerobic Digester
TO,2024,WATWASELC,WATWASWWHBPRC_EX,0.8344201871278707,WaterWasteWaste waterHumber Wastewater Treatment PlantProcess
TO,2024,ADEMWATWASWWHBTTE,WATWASWWHBPRC_EX,0.16557981287212928,WaterWasteWaste waterHumber Wastewater Treatment PlantProcess
TO,2024,WATWASNGA,WATWASWWHBADIMNGA_EX,0.5078912201809637,WaterWasteWaste waterHumber Wastewater Treatment PlantAnaerobic Digester
TO,2024,WATWASBMTN,WATWASWWHBADIMNGA_EX,0.4921087798190363,WaterWasteWaste waterHumber Wastewater Treatment PlantAnaerobic Digester
TO,2024,WATWASELC,WATWASWWNTPRC_EX,0.6064690026954178,WaterWasteWaste waterNorth Toronto Wastewater Treatment PlantProcess
TO,2024,ADEMWATWASNTWWPRC,WATWASWWNTPRC_EX,0.39353099730458224,WaterWasteWaste waterNorth Toronto Wastewater Treatment PlantProcess
TO,2024,WATWASNGA,WATWASFWRCHPRC_EX,0.004683101506740105,WaterWasteFresh waterR.C. Harris Water Treatment PlantProcess
TO,2024,WATWASELC,WATWASFWRCHPRC_EX,0.5529410296185185,WaterWasteFresh waterR.C. Harris Water Treatment PlantProcess
TO,2024,WATWASFW,WATWASFWRCHPRC_EX,0.4423758688747414,WaterWasteFresh waterR.C. Harris Water Treatment PlantProcess
TO,2024,WATWASNGA,WATWASFWFJHPRC_EX,0.01083621497839885,WaterWasteFresh waterF.J Horgan Water Treatment PlantProcess
TO,2024,WATWASELC,WATWASFWFJHPRC_EX,0.6114372288347742,WaterWasteFresh waterF.J Horgan Water Treatment PlantProcess
TO,2024,WATWASFW,WATWASFWFJHPRC_EX,0.3777265561868269,WaterWasteFresh waterF.J Horgan Water Treatment PlantProcess
TO,2024,WATWASNGA,WATWASFWRLCPRC_EX,0.012352346135197161,WaterWasteFresh waterR.L. Clark Water Treatment PlantProcess
