regions,periods,tech,output_comm,TOS,to_split_notes
TO,2023,WATWASWWABADI_EX,BMTNWATWASWWAB,0.5,WaterWasteWaste waterAhsbridges Bay Wastewater Treatment PlantAnaerobic Digester
TO,2023,WATWASWWHCADI_EX,EUEWATWASWWHCTTE,0.5,WaterWasteWaste waterHighland Creek Waterwater Treatment PlantAnaerobic Digester
TO,2023,WATWASWWHCADI_EX,BMTNWATWASWWHC,0.5,WaterWasteWaste waterHighland Creek Waterwater Treatment PlantAnaerobic Digester
TO,2023,WATWASWWHBADI_EX,EUEWATWASWWHBTTE,0.5,WaterWasteWaste waterHumber Wastewater Treatment PlantAnaerobic Digester
TO,2023,WATWASWWHBADI_EX,BMTNWATWASWWHB,0.5,WaterWasteWaste waterHumber Wastewater Treatment PlantAnaerobic Digester
TO,2024,WATWASWWABADI_EX,EUEWATWASWWABTTE,0.5,WaterWasteWaste waterAhsbridges Bay Wastewater Treatment PlantAnaerobic Digester
TO,2024,WATWASWWABADI_EX,BMTNWATWASWWAB,0.5,WaterWasteWaste waterAhsbridges Bay Wastewater Treatment PlantAnaerobic Digester
TO,2024,WATWASWWHCADI_EX,EUEWATWASWWHCTTE,0.5,WaterWasteWaste waterHighland Creek Waterwater Treatment PlantAnaerobic Digester
TO,2024,WATWASWWHCADI_EX,BMTNWATWASWWHC,0.5,WaterWasteWaste waterHighland Creek Waterwater Treatment PlantAnaerobic Digester
TO,2024,WATWASWWHBADI_EX,EUEWATWASWWHBTTE,0.5,WaterWasteWaste waterHumber Wastewater Treatment PlantAnaerobic Digester
TO,2024,WATWASWWHBADI_EX,BMTNWATWASWWHB,0.5,WaterWasteWaste waterHumber Wastewater Treatment PlantAnaerobic Digester
TO,2025,WATWASWWABADI_EX,EUEWATWASWWABTTE,0.5,WaterWasteWaste waterAhsbridges Bay Wastewater Treatment PlantAnaerobic Digester
TO,2025,WATWASWWABADI_EX,BMTNWATWASWWAB,0.5,WaterWasteWaste waterAhsbridges Bay Wastewater Treatment PlantAnaerobic Digester
TO,2025,WATWASWWHCADI_EX,EUEWATWASWWHCTTE,0.5,WaterWasteWaste waterHighland Creek Waterwater Treatment PlantAnaerobic Digester
TO,2025,WATWASWWHCADI_EX,BMTNWATWASWWHC,0.5,WaterWasteWaste waterHighland Creek Waterwater Treatment PlantAnaerobic Digester
TO,2025,WATWASWWHBADI_EX,EUEWATWASWWHBTTE,0.5,WaterWasteWaste waterHumber Wastewater Treatment PlantAnaerobic Digester
TO,2025,WATWASWWHBADI_EX,BMTNWATWASWWHB,0.5,WaterWasteWaste waterHumber Wastewater Treatment PlantAnaerobic Digester
TO,2026,WATWASWWABADI_EX,EUEWATWASWWABTTE,0.5,WaterWasteWaste waterAhsbridges Bay Wastewater Treatment PlantAnaerobic Digester
TO,2026,WATWASWWABADI_EX,BMTNWATWASWWAB,0.5,WaterWasteWaste waterAhsbridges Bay Wastewater Treatment PlantAnaerobic Digester
TO,2026,WATWASWWHCADI_EX,EUEWATWASWWHCTTE,0.5,WaterWasteWaste waterHighland Creek Waterwater Treatment PlantAnaerobic Digester
TO,2026,WATWASWWHCADI_EX,BMTNWATWASWWHC,0.5,WaterWasteWaste waterHighland Creek Waterwater Treatment PlantAnaerobic Digester
TO,2026,WATWASWWHBADI_EX,EUEWATWASWWHBTTE,0.5,WaterWasteWaste waterHumber Wastewater Treatment PlantAnaerobic Digester
