regions,periods,tech,output_comm,TOS,to_split_notes
TO,2034,WATWASWWHBADI_EX,BMTNWATWASWWHB,0.5,WaterWasteWaste waterHumber Wastewater Treatment PlantAnaerobic Digester
TO,2035,WATWASWWABADI_EX,EUEWATWASWWABTTE,0.5,WaterWasteWaste waterAhsbridges Bay Wastewater Treatment PlantAnaerobic Digester
TO,2035,WATWASWWABADI_EX,BMTNWATWASWWAB,0.5,WaterWasteWaste waterAhsbridges Bay Wastewater Treatment PlantAnaerobic Digester
TO,2035,WATWASWWHCADI_EX,EUEWATWASWWHCTTE,0.5,WaterWasteWaste waterHighland Creek Waterwater Treatment PlantAnaerobic Digester
TO,2035,WATWASWWHCADI_EX,BMTNWATWASWWHC,0.5,WaterWasteWaste waterHighland Creek Waterwater Treatment PlantAnaerobic Digester
TO,2035,WATWASWWHBADI_EX,EUEWATWASWWHBTTE,0.5,WaterWasteWaste waterHumber Wastewater Treatment PlantAnaerobic Digester
TO,2035,WATWASWWHBADI_EX,BMTNWATWASWWHB,0.5,WaterWasteWaste waterHumber Wastewater Treatment PlantAnaerobic Digester
TO,2036,WATWASWWABADI_EX,EUEWATWASWWABTTE,0.5,WaterWasteWaste waterAhsbridges Bay Wastewater Treatment PlantAnaerobic Digester
TO,2036,WATWASWWABADI_EX,BMTNWATWASWWAB,0.5,WaterWasteWaste waterAhsbridges Bay Wastewater Treatment PlantAnaerobic Digester
TO,2036,WATWASWWHCADI_EX,EUEWATWASWWHCTTE,0.5,WaterWasteWaste waterHighland Creek Waterwater Treatment PlantAnaerobic Digester
TO,2036,WATWASWWHCADI_EX,BMTNWATWASWWHC,0.5,WaterWasteWaste waterHighland Creek Waterwater Treatment PlantAnaerobic Digester
TO,2036,WATWASWWHBADI_EX,EUEWATWASWWHBTTE,0.5,WaterWasteWaste waterHumber Wastewater Treatment PlantAnaerobic Digester
TO,2036,WATWASWWHBADI_EX,BMTNWATWASWWHB,0.5,WaterWasteWaste waterHumber Wastewater Treatment PlantAnaerobic Digester
TO,2037,WATWASWWABADI_EX,EUEWATWASWWABTTE,0.5,WaterWasteWaste waterAhsbridges Bay Wastewater Treatment PlantAnaerobic Digester
TO,2037,WATWASWWABADI_EX,BMTNWATWASWWAB,0.5,WaterWasteWaste waterAhsbridges Bay Wastewater Treatment PlantAnaerobic Digester
TO,2037,WATWASWWHCADI_EX,EUEWATWASWWHCTTE,0.5,WaterWasteWaste waterHighland Creek Waterwater Treatment PlantAnaerobic Digester
TO,2037,WATWASWWHCADI_EX,BMTNWATWASWWHC,0.5,WaterWasteWaste waterHighland Creek Waterwater Treatment PlantAnaerobic Digester
TO,2037,WATWASWWHBADI_EX,EUEWATWASWWHBTTE,0.5,WaterWasteWaste waterHumber Wastewater Treatment PlantAnaerobic Digester
TO,2037,WATWASWWHBADI_EX,BMTNWATWASWWHB,0.5,WaterWasteWaste waterHumber Wastewater Treatment PlantAnaerobic Digester
TO,2038,WATWASWWABADI_EX,EUEWATWASWWABTTE,0.5,WaterWasteWaste waterAhsbridges Bay Wastewater Treatment PlantAnaerobic Digester
TO,2038,WATWASWWABADI_EX,BMTNWATWASWWAB,0.5,WaterWasteWaste waterAhsbridges Bay Wastewater Treatment PlantAnaerobic Digester
TO,2038,WATWASWWHCADI_EX,EUEWATWASWWHCTTE,0.5,WaterWasteWaste waterHighland Creek Waterwater Treatment PlantAnaerobic Digester
TO,2038,WATWASWWHCADI_EX,BMTNWATWASWWHC,0.5,WaterWasteWaste waterHighland Creek Waterwater Treatment PlantAnaerobic Digester
TO,2038,WATWASWWHBADI_EX,EUEWATWASWWHBTTE,0.5,WaterWasteWaste waterHumber Wastewater Treatment PlantAnaerobic Digester
TO,2038,WATWASWWHBADI_EX,BMTNWATWASWWHB,0.5,WaterWasteWaste waterHumber Wastewater Treatment PlantAnaerobic Digester
TO,2039,WATWASWWABADI_EX,EUEWATWASWWABTTE,0.5,WaterWasteWaste waterAhsbridges Bay Wastewater Treatment PlantAnaerobic Digester
TO,2039,WATWASWWABADI_EX,BMTNWATWASWWAB,0.5,WaterWasteWaste waterAhsbridges Bay Wastewater Treatment PlantAnaerobic Digester
TO,2039,WATWASWWHCADI_EX,EUEWATWASWWHCTTE,0.5,WaterWasteWaste waterHighland Creek Waterwater Treatment PlantAnaerobic Digester
TO,2039,WATWASWWHCADI_EX,BMTNWATWASWWHC,0.5,WaterWasteWaste waterHighland Creek Waterwater Treatment PlantAnaerobic Digester
TO,2039,WATWASWWHBADI_EX,EUEWATWASWWHBTTE,0.5,WaterWasteWaste waterHumber Wastewater Treatment PlantAnaerobic Digester
TO,2039,WATWASWWHBADI_EX,BMTNWATWASWWHB,0.5,WaterWasteWaste waterHumber Wastewater Treatment PlantAnaerobic Digester
TO,2040,WATWASWWABADI_EX,EUEWATWASWWABTTE,0.5,WaterWasteWaste waterAhsbridges Bay Wastewater Treatment PlantAnaerobic Digester
TO,2040,WATWASWWABADI_EX,BMTNWATWASWWAB,0.5,WaterWasteWaste waterAhsbridges Bay Wastewater Treatment PlantAnaerobic Digester
TO,2040,WATWASWWHCADI_EX,EUEWATWASWWHCTTE,0.5,WaterWasteWaste waterHighland Creek Waterwater Treatment PlantAnaerobic Digester
TO,2040,WATWASWWHCADI_EX,BMTNWATWASWWHC,0.5,WaterWasteWaste waterHighland Creek Waterwater Treatment PlantAnaerobic Digester
TO,2040,WATWASWWHBADI_EX,EUEWATWASWWHBTTE,0.5,WaterWasteWaste waterHumber Wastewater Treatment PlantAnaerobic Digester
TO,2040,WATWASWWHBADI_EX,BMTNWATWASWWHB,0.5,WaterWasteWaste waterHumber Wastewater Treatment PlantAnaerobic Digester
TO,2041,WATWASWWABADI_EX,EUEWATWASWWABTTE,0.5,WaterWasteWaste waterAhsbridges Bay Wastewater Treatment PlantAnaerobic Digester
TO,2041,WATWASWWABADI_EX,BMTNWATWASWWAB,0.5,WaterWasteWaste waterAhsbridges Bay Wastewater Treatment PlantAnaerobic Digester
TO,2041,WATWASWWHCADI_EX,EUEWATWASWWHCTTE,0.5,WaterWasteWaste waterHighland Creek Waterwater Treatment PlantAnaerobic Digester
TO,2041,WATWASWWHCADI_EX,BMTNWATWASWWHC,0.5,WaterWasteWaste waterHighland Creek Waterwater Treatment PlantAnaerobic Digester
TO,2041,WATWASWWHBADI_EX,EUEWATWASWWHBTTE,0.5,WaterWasteWaste waterHumber Wastewater Treatment PlantAnaerobic Digester
TO,2041,WATWASWWHBADI_EX,BMTNWATWASWWHB,0.5,WaterWasteWaste waterHumber Wastewater Treatment PlantAnaerobic Digester
TO,2042,WATWASWWABADI_EX,EUEWATWASWWABTTE,0.5,WaterWasteWaste waterAhsbridges Bay Wastewater Treatment PlantAnaerobic Digester
TO,2042,WATWASWWABADI_EX,BMTNWATWASWWAB,0.5,WaterWasteWaste waterAhsbridges Bay Wastewater Treatment PlantAnaerobic Digester
TO,2042,WATWASWWHCADI_EX,EUEWATWASWWHCTTE,0.5,WaterWasteWaste waterHighland Creek Waterwater Treatment PlantAnaerobic Digester
TO,2042,WATWASWWHCADI_EX,BMTNWATWASWWHC,0.5,WaterWasteWaste waterHighland Creek Waterwater Treatment PlantAnaerobic Digester
TO,2042,WATWASWWHBADI_EX,EUEWATWASWWHBTTE,0.5,WaterWasteWaste waterHumber Wastewater Treatment PlantAnaerobic Digester
TO,2042,WATWASWWHBADI_EX,BMTNWATWASWWHB,0.5,WaterWasteWaste waterHumber Wastewater Treatment PlantAnaerobic Digester
TO,2043,WATWASWWABADI_EX,EUEWATWASWWABTTE,0.5,WaterWasteWaste waterAhsbridges Bay Wastewater Treatment PlantAnaerobic Digester
TO,2043,WATWASWWABADI_EX,BMTNWATWASWWAB,0.5,WaterWasteWaste waterAhsbridges Bay Wastewater Treatment PlantAnaerobic Digester
TO,2043,WATWASWWHCADI_EX,EUEWATWASWWHCTTE,0.5,WaterWasteWaste waterHighland Creek Waterwater Treatment PlantAnaerobic Digester
TO,2043,WATWASWWHCADI_EX,BMTNWATWASWWHC,0.5,WaterWasteWaste waterHighland Creek Waterwater Treatment PlantAnaerobic Digester
TO,2043,WATWASWWHBADI_EX,EUEWATWASWWHBTTE,0.5,WaterWasteWaste waterHumber Wastewater Treatment PlantAnaerobic Digester
