regions,emis_comm,input_comm,tech,vintage,output_comm,emis_act,emis_act_units,emis_act_notes
TO,CO2,LDITRAAGA,LDITRADOMAIR_________AGA_EX,2015,VKTLDITRADOMAIR______,3592.2665331318735,t/Mvkt,Long DistanceTransportationDomesticAirAviation Gasoline
TO,CO2,LDITRAATF,LDITRADOMAIR_________ATF_EX,2015,VKTLDITRADOMAIR______,3485.056154570167,t/Mvkt,Long DistanceTransportationDomesticAirAviation Turbo Fuel
TO,CO2,LDITRADSL,LDITRADOMRAI_________DSL_EX,2015,VKTLDITRADOMRAI______,11367.667148253076,t/Mvkt,Long DistanceTransportationDomesticRailDiesel
TO,CO2,LDITRAAGA,LDITRAINTAIR_________AGA_EX,2015,VKTLDITRAINTAIR______,3592.2665331318735,t/Mvkt,Long DistanceTransportationInternationalAirAviation Gasoline
TO,CO2,LDITRAATF,LDITRAINTAIR_________ATF_EX,2015,VKTLDITRAINTAIR______,3485.056154570167,t/Mvkt,Long DistanceTransportationInternationalAirAviation Turbo Fuel
TO,CO2,LDITRADSL,LDITRAINTRAI_________DSL_EX,2015,VKTLDITRAINTRAI______,11367.667148253076,t/Mvkt,Long DistanceTransportationInternationalRailDiesel
TO,CO2,LDITRAAGA,LDITRADOMAIR_________AGA_EX,2010,VKTLDITRADOMAIR______,3592.2665331318735,t/Mvkt,Long DistanceTransportationDomesticAirAviation Gasoline
TO,CO2,LDITRAATF,LDITRADOMAIR_________ATF_EX,2010,VKTLDITRADOMAIR______,3485.056154570167,t/Mvkt,Long DistanceTransportationDomesticAirAviation Turbo Fuel
TO,CO2,LDITRADSL,LDITRADOMRAI_________DSL_EX,2010,VKTLDITRADOMRAI______,11367.667148253076,t/Mvkt,Long DistanceTransportationDomesticRailDiesel
TO,CO2,LDITRAAGA,LDITRAINTAIR_________AGA_EX,2010,VKTLDITRAINTAIR______,3592.2665331318735,t/Mvkt,Long DistanceTransportationInternationalAirAviation Gasoline
TO,CO2,LDITRAATF,LDITRAINTAIR_________ATF_EX,2010,VKTLDITRAINTAIR______,3485.056154570167,t/Mvkt,Long DistanceTransportationInternationalAirAviation Turbo Fuel
TO,CO2,LDITRADSL,LDITRAINTRAI_________DSL_EX,2010,VKTLDITRAINTRAI______,11367.667148253076,t/Mvkt,Long DistanceTransportationInternationalRailDiesel
