regions,vintage,tech,group_name,max_share_g,tech_desc
TO,2023,PUBBDGHSPOldAE______STDBMA_23,BAP-BDG-6-PUBBDG-ESR,0,
TO,2023,PUBBDGHSPOldAE______STDELC_16,BAP-BDG-6-PUBBDG-ESR,0,
TO,2023,PUBBDGHSPOldAE______STDNGA_16,BAP-BDG-6-PUBBDG-ESR,0,
TO,2023,PUBBDGHSPOldAE______STDNGA_23,BAP-BDG-6-PUBBDG-ESR,0,
TO,2023,PUBBDGHSPOldAE______STDPRO_16,BAP-BDG-6-PUBBDG-ESR,0,
TO,2023,PUBBDGHSPOldAE______STDPRO_23,BAP-BDG-6-PUBBDG-ESR,0,
TO,2023,PUBBDGHSPOldAM______STDELC_16,BAP-BDG-6-PUBBDG-ESR,0,
TO,2023,PUBBDGHSPOldLIFLC___STDELC_16,BAP-BDG-6-PUBBDG-ESR,0,
TO,2023,PUBBDGHSPOldLIFLC___STDELC_23,BAP-BDG-6-PUBBDG-ESR,0,
TO,2023,PUBBDGHSPOldLIFLU___STDELC_16,BAP-BDG-6-PUBBDG-ESR,0,
TO,2023,PUBBDGHSPOldLIFLUT5STDELC_23,BAP-BDG-6-PUBBDG-ESR,0,
TO,2023,PUBBDGHSPOldLIFLUT8STDELC_23,BAP-BDG-6-PUBBDG-ESR,0,
TO,2023,PUBBDGHSPOldLIHAL___STDELC_16,BAP-BDG-6-PUBBDG-ESR,0,
TO,2023,PUBBDGHSPOldLIHAL100WSTDELC_23,BAP-BDG-6-PUBBDG-ESR,0,
TO,2023,PUBBDGHSPOldLIINC___STDELC_16,BAP-BDG-6-PUBBDG-ESR,0,
TO,2023,PUBBDGHSPOldLIINC100WSTDELC_23,BAP-BDG-6-PUBBDG-ESR,0,
TO,2023,PUBBDGHSPOldLILED___STDELC_16,BAP-BDG-6-PUBBDG-ESR,0,
TO,2023,PUBBDGHSPOldLILED___STDELC_23,BAP-BDG-6-PUBBDG-ESR,0,
TO,2023,PUBBDGHSPOldSC______STDELC_16,BAP-BDG-6-PUBBDG-ESR,0,
TO,2023,PUBBDGHSPOldSC______STDNGA_16,BAP-BDG-6-PUBBDG-ESR,0,
TO,2023,PUBBDGHSPOldSCCE___STDELC_23,BAP-BDG-6-PUBBDG-ESR,0,
TO,2023,PUBBDGHSPOldSCCE___STDNGA_23,BAP-BDG-6-PUBBDG-ESR,0,
TO,2023,PUBBDGHSPOldSCWA___STDELC_23,BAP-BDG-6-PUBBDG-ESR,0,
TO,2023,PUBBDGHSPOldSCWD___STDELC_23,BAP-BDG-6-PUBBDG-ESR,0,
TO,2023,PUBBDGHSPOldSHFUR___STDELC_16,BAP-BDG-6-PUBBDG-ESR,0,
TO,2023,PUBBDGHSPOldSHFUR___STDELC_23,BAP-BDG-6-PUBBDG-ESR,0,
TO,2023,PUBBDGHSPOldSHFUR___STDHFO_16,BAP-BDG-6-PUBBDG-ESR,0,
TO,2023,PUBBDGHSPOldSHFUR___STDHFO_23,BAP-BDG-6-PUBBDG-ESR,0,
TO,2023,PUBBDGHSPOldSHFUR___STDKER_16,BAP-BDG-6-PUBBDG-ESR,0,
TO,2023,PUBBDGHSPOldSHFUR___STDKER_23,BAP-BDG-6-PUBBDG-ESR,0,
TO,2023,PUBBDGHSPOldSHFUR___STDLFO_16,BAP-BDG-6-PUBBDG-ESR,0,
TO,2023,PUBBDGHSPOldSHFUR___STDLFO_23,BAP-BDG-6-PUBBDG-ESR,0,
TO,2023,PUBBDGHSPOldSHFUR___STDNGA_16,BAP-BDG-6-PUBBDG-ESR,0,
TO,2023,PUBBDGHSPOldSHFUR___STDNGA_23,BAP-BDG-6-PUBBDG-ESR,0,
TO,2023,PUBBDGHSPOldSHFUR___STDPRO_16,BAP-BDG-6-PUBBDG-ESR,0,
TO,2023,PUBBDGHSPOldSHFUR___STDPRO_23,BAP-BDG-6-PUBBDG-ESR,0,
TO,2023,PUBBDGHSPOldSHFURLARSTDHH2_23,BAP-BDG-6-PUBBDG-ESR,0,
TO,2023,PUBBDGHSPOldSHFURMEDSTDHH2_23,BAP-BDG-6-PUBBDG-ESR,0,
TO,2023,PUBBDGHSPOldSHFURSMASTDHH2_23,BAP-BDG-6-PUBBDG-ESR,0,
TO,2023,PUBBDGHSPOldSHHEP___STDELC_16,BAP-BDG-6-PUBBDG-ESR,0,
TO,2023,PUBBDGHSPOldSHHEP___STDELC_23,BAP-BDG-6-PUBBDG-ESR,0,
TO,2023,PUBBDGHSPOldSHHEP___STDNGA_23,BAP-BDG-6-PUBBDG-ESR,0,
TO,2023,PUBBDGHSPOldSHPLT___STDELC_16,BAP-BDG-6-PUBBDG-ESR,0,
TO,2023,PUBBDGHSPOldSHPLT1000WSTDELC_23,BAP-BDG-6-PUBBDG-ESR,0,
TO,2023,PUBBDGHSPOldSHPLT1500WSTDELC_23,BAP-BDG-6-PUBBDG-ESR,0,
TO,2023,PUBBDGHSPOldSHPLT500WSTDELC_23,BAP-BDG-6-PUBBDG-ESR,0,
TO,2023,PUBBDGHSPOldWH______STDELC_16,BAP-BDG-6-PUBBDG-ESR,0,
TO,2023,PUBBDGHSPOldWH______STDHFO_16,BAP-BDG-6-PUBBDG-ESR,0,
TO,2023,PUBBDGHSPOldWH______STDKER_16,BAP-BDG-6-PUBBDG-ESR,0,
TO,2023,PUBBDGHSPOldWH______STDLFO_16,BAP-BDG-6-PUBBDG-ESR,0,
TO,2023,PUBBDGHSPOldWH______STDNGA_16,BAP-BDG-6-PUBBDG-ESR,0,
TO,2023,PUBBDGHSPOldWHHEP___STDELC_23,BAP-BDG-6-PUBBDG-ESR,0,
TO,2023,PUBBDGHSPOldWHSYS___STDBMA_23,BAP-BDG-6-PUBBDG-ESR,0,
TO,2023,PUBBDGHSPOldWHSYS___STDBWP_23,BAP-BDG-6-PUBBDG-ESR,0,
TO,2023,PUBBDGHSPOldWHSYS___STDHFO_23,BAP-BDG-6-PUBBDG-ESR,0,
TO,2023,PUBBDGHSPOldWHSYS___STDKER_23,BAP-BDG-6-PUBBDG-ESR,0,
