regions,tech,group_name,act_fraction,tech_desc
TO,RESBDGSATOldLIFLU___STDELC_16,BAP-BDG-2-RESBDG-ESR,1,
TO,RESBDGSATOldLIFLUT12STDELC_23,BAP-BDG-2-RESBDG-ESR,1,
TO,RESBDGSATOldLIFLUT5STDELC_23,BAP-BDG-2-RESBDG-ESR,1,
TO,RESBDGSATOldLIFLUT8STDELC_23,BAP-BDG-2-RESBDG-ESR,1,
TO,RESBDGSATOldLIHAL___STDELC_16,BAP-BDG-2-RESBDG-ESR,1,
TO,RESBDGSATOldLIHAL60WSTDELC_23,BAP-BDG-2-RESBDG-ESR,1,
TO,RESBDGSATOldLIINC___STDELC_16,BAP-BDG-2-RESBDG-ESR,1,
TO,RESBDGSATOldLIINC60WSTDELC_23,BAP-BDG-2-RESBDG-ESR,1,
TO,RESBDGSATOldLILED___STDELC_16,BAP-BDG-2-RESBDG-ESR,1,
TO,RESBDGSATOldLILED___STDELC_23,BAP-BDG-2-RESBDG-ESR,1,
TO,RESBDGSATOldRAG______STDELC_16,BAP-BDG-2-RESBDG-ESR,1,
TO,RESBDGSATOldRAG______STDELC_23,BAP-BDG-2-RESBDG-ESR,1,
TO,RESBDGSATOldRAG______STDNGA_23,BAP-BDG-2-RESBDG-ESR,1,
TO,RESBDGSATOldREF______STDELC_16,BAP-BDG-2-RESBDG-ESR,1,
TO,RESBDGSATOldREF___FRDSTDELC_23,BAP-BDG-2-RESBDG-ESR,1,
TO,RESBDGSATOldREF___FRTSTDELC_23,BAP-BDG-2-RESBDG-ESR,1,
TO,RESBDGSATOldSCCE___STDELC_16,BAP-BDG-2-RESBDG-ESR,1,
TO,RESBDGSATOldSCCE___STDELC_23,BAP-BDG-2-RESBDG-ESR,1,
TO,RESBDGSATOldSCRO___STDELC_16,BAP-BDG-2-RESBDG-ESR,1,
TO,RESBDGSATOldSCWA___STDELC_23,BAP-BDG-2-RESBDG-ESR,1,
TO,RESBDGSATOldSCWD___STDELC_23,BAP-BDG-2-RESBDG-ESR,1,
