regions,periods,tech,output_comm,TOS,to_split_notes
TO,2039,INDBDGIPSEP_EX,WHEINDBDGIPSEP,0.2,IndustryBuildingIndustrial ProcessesSelf producedMix Energy
TO,2040,INDBDGIPSEP_EX,EUEINDBDGIPSEP,0.8,IndustryBuildingIndustrial ProcessesSelf producedMix Energy
TO,2040,INDBDGIPSEP_EX,WHEINDBDGIPSEP,0.2,IndustryBuildingIndustrial ProcessesSelf producedMix Energy
TO,2041,INDBDGIPSEP_EX,EUEINDBDGIPSEP,0.8,IndustryBuildingIndustrial ProcessesSelf producedMix Energy
TO,2041,INDBDGIPSEP_EX,WHEINDBDGIPSEP,0.2,IndustryBuildingIndustrial ProcessesSelf producedMix Energy
TO,2042,INDBDGIPSEP_EX,EUEINDBDGIPSEP,0.8,IndustryBuildingIndustrial ProcessesSelf producedMix Energy
TO,2042,INDBDGIPSEP_EX,WHEINDBDGIPSEP,0.2,IndustryBuildingIndustrial ProcessesSelf producedMix Energy
TO,2043,INDBDGIPSEP_EX,EUEINDBDGIPSEP,0.8,IndustryBuildingIndustrial ProcessesSelf producedMix Energy
TO,2043,INDBDGIPSEP_EX,WHEINDBDGIPSEP,0.2,IndustryBuildingIndustrial ProcessesSelf producedMix Energy
TO,2044,INDBDGIPSEP_EX,EUEINDBDGIPSEP,0.8,IndustryBuildingIndustrial ProcessesSelf producedMix Energy
TO,2044,INDBDGIPSEP_EX,WHEINDBDGIPSEP,0.2,IndustryBuildingIndustrial ProcessesSelf producedMix Energy
TO,2045,INDBDGIPSEP_EX,EUEINDBDGIPSEP,0.8,IndustryBuildingIndustrial ProcessesSelf producedMix Energy
TO,2045,INDBDGIPSEP_EX,WHEINDBDGIPSEP,0.2,IndustryBuildingIndustrial ProcessesSelf producedMix Energy
TO,2046,INDBDGIPSEP_EX,EUEINDBDGIPSEP,0.8,IndustryBuildingIndustrial ProcessesSelf producedMix Energy
TO,2046,INDBDGIPSEP_EX,WHEINDBDGIPSEP,0.2,IndustryBuildingIndustrial ProcessesSelf producedMix Energy
TO,2047,INDBDGIPSEP_EX,EUEINDBDGIPSEP,0.8,IndustryBuildingIndustrial ProcessesSelf producedMix Energy
TO,2047,INDBDGIPSEP_EX,WHEINDBDGIPSEP,0.2,IndustryBuildingIndustrial ProcessesSelf producedMix Energy
TO,2048,INDBDGIPSEP_EX,EUEINDBDGIPSEP,0.8,IndustryBuildingIndustrial ProcessesSelf producedMix Energy
TO,2048,INDBDGIPSEP_EX,WHEINDBDGIPSEP,0.2,IndustryBuildingIndustrial ProcessesSelf producedMix Energy
TO,2049,INDBDGIPSEP_EX,EUEINDBDGIPSEP,0.8,IndustryBuildingIndustrial ProcessesSelf producedMix Energy
TO,2049,INDBDGIPSEP_EX,WHEINDBDGIPSEP,0.2,IndustryBuildingIndustrial ProcessesSelf producedMix Energy
TO,2050,INDBDGIPSEP_EX,EUEINDBDGIPSEP,0.8,IndustryBuildingIndustrial ProcessesSelf producedMix Energy
TO,2050,INDBDGIPSEP_EX,WHEINDBDGIPSEP,0.2,IndustryBuildingIndustrial ProcessesSelf producedMix Energy
