regions,tech,group_name,act_fraction,tech_desc
TO,COMBDGAFSOldLIFLC___STDELC_23,BAP-BDG-4-COMBDG-ESR,1,
TO,COMBDGAFSOldLIFLU___STDELC_16,BAP-BDG-4-COMBDG-ESR,1,
TO,COMBDGAFSOldLIFLUT5STDELC_23,BAP-BDG-4-COMBDG-ESR,1,
TO,COMBDGAFSOldLIFLUT8STDELC_23,BAP-BDG-4-COMBDG-ESR,1,
TO,COMBDGAFSOldLIHAL___STDELC_16,BAP-BDG-4-COMBDG-ESR,1,
TO,COMBDGAFSOldLIHAL100WSTDELC_23,BAP-BDG-4-COMBDG-ESR,1,
TO,COMBDGAFSOldLIINC___STDELC_16,BAP-BDG-4-COMBDG-ESR,1,
TO,COMBDGAFSOldLIINC100WSTDELC_23,BAP-BDG-4-COMBDG-ESR,1,
TO,COMBDGAFSOldLILED___STDELC_16,BAP-BDG-4-COMBDG-ESR,1,
TO,COMBDGAFSOldLILED___STDELC_23,BAP-BDG-4-COMBDG-ESR,1,
TO,COMBDGAFSOldSC______STDELC_16,BAP-BDG-4-COMBDG-ESR,1,
TO,COMBDGAFSOldSC______STDNGA_16,BAP-BDG-4-COMBDG-ESR,1,
TO,COMBDGAFSOldSCCE___STDELC_23,BAP-BDG-4-COMBDG-ESR,1,
TO,COMBDGAFSOldSCCE___STDNGA_23,BAP-BDG-4-COMBDG-ESR,1,
TO,COMBDGAFSOldSCWA___STDELC_23,BAP-BDG-4-COMBDG-ESR,1,
TO,COMBDGAFSOldSCWD___STDELC_23,BAP-BDG-4-COMBDG-ESR,1,
TO,COMBDGAFSOldSHFUR___STDELC_16,BAP-BDG-4-COMBDG-ESR,1,
TO,COMBDGAFSOldSHFUR___STDELC_23,BAP-BDG-4-COMBDG-ESR,1,
TO,COMBDGAFSOldSHFUR___STDHFO_16,BAP-BDG-4-COMBDG-ESR,1,
TO,COMBDGAFSOldSHFUR___STDHFO_23,BAP-BDG-4-COMBDG-ESR,1,
TO,COMBDGAFSOldSHFUR___STDKER_16,BAP-BDG-4-COMBDG-ESR,1,
TO,COMBDGAFSOldSHFUR___STDKER_23,BAP-BDG-4-COMBDG-ESR,1,
TO,COMBDGAFSOldSHFUR___STDLFO_16,BAP-BDG-4-COMBDG-ESR,1,
TO,COMBDGAFSOldSHFUR___STDLFO_23,BAP-BDG-4-COMBDG-ESR,1,
TO,COMBDGAFSOldSHFUR___STDNGA_16,BAP-BDG-4-COMBDG-ESR,1,
TO,COMBDGAFSOldSHFUR___STDNGA_23,BAP-BDG-4-COMBDG-ESR,1,
TO,COMBDGAFSOldSHFUR___STDPRO_16,BAP-BDG-4-COMBDG-ESR,1,
TO,COMBDGAFSOldSHFUR___STDPRO_23,BAP-BDG-4-COMBDG-ESR,1,
TO,COMBDGAFSOldSHFURLARSTDHH2_23,BAP-BDG-4-COMBDG-ESR,1,
TO,COMBDGAFSOldSHFURMEDSTDHH2_23,BAP-BDG-4-COMBDG-ESR,1,
TO,COMBDGAFSOldSHFURSMASTDHH2_23,BAP-BDG-4-COMBDG-ESR,1,
TO,COMBDGAFSOldSHHEP___STDELC_16,BAP-BDG-4-COMBDG-ESR,1,
TO,COMBDGAFSOldSHHEP___STDELC_23,BAP-BDG-4-COMBDG-ESR,1,
TO,COMBDGAFSOldSHHEP___STDNGA_23,BAP-BDG-4-COMBDG-ESR,1,
TO,COMBDGAFSOldSHPLT___STDELC_16,BAP-BDG-4-COMBDG-ESR,1,
