regions,periods,tech,group_name,min_share_g,tech_desc
TO,2025,PUBTRADSLIMP,NZ50-10-PUBTRA,0.7,
TO,2026,PUBTRADSLIMP,NZ50-10-PUBTRA,0.7,
TO,2027,PUBTRADSLIMP,NZ50-10-PUBTRA,0.7,
TO,2028,PUBTRADSLIMP,NZ50-10-PUBTRA,0.7,
TO,2029,PUBTRADSLIMP,NZ50-10-PUBTRA,0.7,
TO,2030,PUBTRADSLIMP,NZ50-10-PUBTRA,0.7,
TO,2035,PUBTRADSLIMP,NZ50-10-PUBTRA,0.7,
TO,2040,PUBTRADSLIMP,NZ50-10-PUBTRA,0.7,
TO,2045,PUBTRADSLIMP,NZ50-10-PUBTRA,0.7,
TO,2050,PUBTRADSLIMP,NZ50-10-PUBTRA,0.7,
