Activities data district energy produced localy : per type and per year
t_periods,Outputs,Tech_cat,EndUse,Tech_type_1,Tech_type_2,Output_units,VFlow_Out
2016,District Cooling,Toronto Average,District Cooling,Pipe,___,TJ,1316.0372391711828
2016,District Cooling,Toronto Average,District Cooling,Substation,___,TJ,1578.6917063006313
2016,District Cooling,Production,District Cooling,Deep Lake Cooling,Enwave,TJ,144.73406328521722
2016,District Cooling,Production,District Cooling,Heat Pump,Large,TJ,1315.5077230853938
2016,District Cooling,Production,District Cooling,Heat Pump,Medium,TJ,8.045129506456387
2016,District Cooling,Storage,District Cooling,Hot Tank Storage,Medium,TJ,295.1425230935878
2016,District Heating,Toronto Average,District Heating,Pipe,___,TJ,6460.84363531194
2016,District Heating,Toronto Average,District Heating,Substation,___,TJ,6789.759313355023
2016,District Heating,Production,District Heating,Boiler,Large,TJ,7705.388505993344
2017,District Cooling,Toronto Average,District Cooling,Pipe,___,TJ,1288.8148166702042
2017,District Cooling,Toronto Average,District Cooling,Substation,___,TJ,1553.656950586484
2017,District Cooling,Production,District Cooling,Deep Lake Cooling,Enwave,TJ,138.02210968530414
2017,District Cooling,Production,District Cooling,Heat Pump,Large,TJ,1291.4630423084348
2017,District Cooling,Production,District Cooling,Heat Pump,Medium,TJ,8.13813451978068
2017,District Cooling,Storage,District Cooling,Hot Tank Storage,Medium,TJ,274.73435374978703
2017,District Heating,Toronto Average,District Heating,Pipe,___,TJ,5881.157151920209
2017,District Heating,Toronto Average,District Heating,Substation,___,TJ,6180.561517896972
2017,District Heating,Production,District Heating,Boiler,Large,TJ,7051.898885582862
2018,District Cooling,Toronto Average,District Cooling,Pipe,___,TJ,1331.1286080332306
2018,District Cooling,Toronto Average,District Cooling,Substation,___,TJ,1602.4865722450488
2018,District Cooling,Production,District Cooling,Deep Lake Cooling,Enwave,TJ,139.83259670627564
2018,District Cooling,Production,District Cooling,Heat Pump,Large,TJ,1337.1859619614086
2018,District Cooling,Production,District Cooling,Heat Pump,Medium,TJ,8.331134060662396
2018,District Cooling,Storage,District Cooling,Hot Tank Storage,Medium,TJ,309.5773951923446
2018,District Heating,Toronto Average,District Heating,Pipe,___,TJ,6633.721111128165
2018,District Heating,Toronto Average,District Heating,Substation,___,TJ,6971.437824362435
2018,District Heating,Production,District Heating,Boiler,Large,TJ,7906.176225182541
2019,District Cooling,Toronto Average,District Cooling,Pipe,___,TJ,1332.321261973512
2019,District Cooling,Toronto Average,District Cooling,Substation,___,TJ,1606.2723305321736
2019,District Cooling,Production,District Cooling,Deep Lake Cooling,Enwave,TJ,140.72309157509818
2019,District Cooling,Production,District Cooling,Heat Pump,Large,TJ,1337.5609185401165
2019,District Cooling,Production,District Cooling,Heat Pump,Medium,TJ,8.418594957109768
2019,District Cooling,Storage,District Cooling,Hot Tank Storage,Medium,TJ,310.936718826788
2019,District Heating,Toronto Average,District Heating,Pipe,___,TJ,6666.394582339684
2019,District Heating,Toronto Average,District Heating,Substation,___,TJ,7005.774672297814
2019,District Heating,Production,District Heating,Boiler,Large,TJ,7942.670143143745
2020,District Cooling,Toronto Average,District Cooling,Pipe,___,TJ,1333.9922772054206
2020,District Cooling,Toronto Average,District Cooling,Substation,___,TJ,1627.5599531724345
2020,District Cooling,Production,District Cooling,Deep Lake Cooling,Enwave,TJ,135.7282409820495
2020,District Cooling,Production,District Cooling,Heat Pump,Large,TJ,1343.8804890181195
2020,District Cooling,Production,District Cooling,Heat Pump,Medium,TJ,9.085233958517717
2020,District Cooling,Storage,District Cooling,Hot Tank Storage,Medium,TJ,317.535808297242
2020,District Heating,Toronto Average,District Heating,Pipe,___,TJ,6697.247342752078
2020,District Heating,Toronto Average,District Heating,Substation,___,TJ,7038.198118705641
2020,District Heating,Production,District Heating,Boiler,Large,TJ,7979.712333490927
2021,District Cooling,Toronto Average,District Cooling,Pipe,___,TJ,1336.059670960128
2021,District Cooling,Toronto Average,District Cooling,Substation,___,TJ,1633.759894504887
2021,District Cooling,Production,District Cooling,Deep Lake Cooling,Enwave,TJ,136.20809159490395
2021,District Cooling,Production,District Cooling,Heat Pump,Large,TJ,1345.5186027862537
2021,District Cooling,Production,District Cooling,Heat Pump,Medium,TJ,9.22450410231891
2021,District Cooling,Storage,District Cooling,Hot Tank Storage,Medium,TJ,315.5821955916168
2021,District Heating,Toronto Average,District Heating,Pipe,___,TJ,6734.220874613232
2021,District Heating,Toronto Average,District Heating,Substation,___,TJ,7077.053939472337
2021,District Heating,Production,District Heating,Boiler,Large,TJ,8021.500484998046
2022,District Cooling,Toronto Average,District Cooling,Pipe,___,TJ,1270.6038524782812
2022,District Cooling,Toronto Average,District Cooling,Substation,___,TJ,1570.7240906947186
2022,District Cooling,Production,District Cooling,Deep Lake Cooling,Enwave,TJ,137.44840999630108
2022,District Cooling,Production,District Cooling,Heat Pump,Large,TJ,1270.2079224963259
2022,District Cooling,Production,District Cooling,Heat Pump,Medium,TJ,9.351448924638058
2022,District Cooling,Storage,District Cooling,Hot Tank Storage,Medium,TJ,256.06043226318116
2022,District Heating,Toronto Average,District Heating,Pipe,___,TJ,6994.502638189591
2022,District Heating,Toronto Average,District Heating,Substation,___,TJ,7350.586411095649
2022,District Heating,Production,District Heating,Boiler,Large,TJ,8281.085321007318
2023,District Cooling,Toronto Average,District Cooling,Pipe,___,TJ,1670.8340225887123
2023,District Cooling,Toronto Average,District Cooling,Substation,___,TJ,2695.60520080219
2023,District Cooling,Consumption,District Cooling,Heat Pump,Large,TJ,2.604182473289114
2023,District Cooling,Consumption,District Cooling,Heat Pump,Medium,TJ,2.3503249756028324
2023,District Cooling,Consumption,District Cooling,Heat Pump,Small,TJ,1.539178498355341
2023,District Cooling,Production,District Cooling,Deep Lake Cooling,Enwave,TJ,1804.1715050291023
2023,District Cooling,Production,District Cooling,Heat Pump,Enwave,TJ,2.8541167984324862
2023,District Cooling,Production,District Cooling,Heat Pump,Large,TJ,17.361846423558102
