"Building end use energy service, per subsector, per end use, per type of technology, per energy, and per period."
t_periods,Sub,EndUse,Tech_type_1,Tech_type_2,Energy_cat,Efficiency,Output_units,VFlow_Out
2016,Residential,Freezer,___,___,Electricity,Standard,TJ,339.7069067253864
2016,Residential,Lighting,Fluocompact,___,Electricity,Standard,Mlm.y,107.56714451257672
2016,Residential,Lighting,Fluorescent,___,Electricity,Standard,Mlm.y,786.8677972073849
2016,Residential,Lighting,Halogen,___,Electricity,Standard,Mlm.y,230.90204099869035
2016,Residential,Lighting,Incandescent,___,Electricity,Standard,Mlm.y,741.6251026732385
2016,Residential,Lighting,Light Emitting Diode,___,Electricity,High,Mlm.y,3.4727422449325176
2016,Residential,Lighting,Light Emitting Diode,___,Electricity,Standard,Mlm.y,3.4672500039568868
2016,Residential,Range,___,___,Electricity,Standard,TJ,1389.5986268869895
2016,Residential,Range,___,___,Natural Gas,Standard,TJ,96.03531714786462
2016,Residential,Refrigerator,___,___,Electricity,Standard,TJ,1067.9895107560594
2016,Residential,Space Cooling,Central,___,Electricity,Standard,TJ,10210.63688361673
2016,Residential,Space Cooling,Room,___,Electricity,Standard,TJ,613.350917403381
2016,Residential,Space Cooling,___,___,District Cooling,___,TJ,81.31320091290422
2016,Residential,Space Heating,Furnace,___,Biomass,Standard,TJ,151.06858675446688
2016,Residential,Space Heating,Furnace,___,Wood Pellet,Standard,TJ,0.2175084224928346
2016,Residential,Space Heating,Furnace,___,Kerosene,Standard,TJ,0.18395884840276122
2016,Residential,Space Heating,Furnace,___,Light Fuel Oil,Standard,TJ,582.0110261154488
2016,Residential,Space Heating,Furnace,___,Natural Gas,High,TJ,38571.48969448207
2016,Residential,Space Heating,Furnace,___,Natural Gas,Medium,TJ,12390.744608478206
2016,Residential,Space Heating,Furnace,___,Propane,Standard,TJ,0.21160621742697394
2016,Residential,Space Heating,Heat Pump,___,Electricity,Standard,TJ,3922.651513645847
2016,Residential,Space Heating,Plinthe,___,Electricity,Standard,TJ,1972.701363533059
2016,Residential,Space Heating,___,___,District Heating,___,TJ,74.67466203079947
2016,Residential,Water Heating,___,___,Biomass,Standard,TJ,4.909180179934722
2016,Residential,Water Heating,___,___,Wood Pellet,Standard,TJ,5.102842976104565
2016,Residential,Water Heating,___,___,District Heating,___,TJ,956.5255523215544
2016,Residential,Water Heating,___,___,Electricity,Standard,TJ,762.2452174498067
2016,Residential,Water Heating,___,___,Kerosene,Standard,TJ,4.968737778495055
2016,Residential,Water Heating,___,___,Light Fuel Oil,Standard,TJ,91.85914736876997
2016,Residential,Water Heating,___,___,Natural Gas,Standard,TJ,15642.74117686854
2016,Residential,Water Heating,___,___,Propane,Standard,TJ,5.065391058241226
2017,Commercial,Auxiliary Equipment,___,___,Electricity,Standard,TJ,17310.325934252727
2017,Commercial,Auxiliary Equipment,___,___,Natural Gas,Standard,TJ,1731.3041257088855
2017,Commercial,Auxiliary Equipment,___,___,Propane,Standard,TJ,964.6625376867083
2017,Commercial,Auxiliary Motors,___,___,Electricity,Standard,TJ,2166.9316962289795
2017,Commercial,Lighting,Fluocompact,___,Electricity,Standard,Mlm.y,1317.0221266671974
2017,Commercial,Lighting,Fluorescent,___,Electricity,Standard,Mlm.y,9665.933193426043
2017,Commercial,Lighting,Halogen,___,Electricity,Standard,Mlm.y,2828.1284334380757
2017,Commercial,Lighting,Incandescent,___,Electricity,Standard,Mlm.y,9082.444152674338
2017,Commercial,Lighting,Light Emitting Diode,___,Electricity,High,Mlm.y,41.89588111781857
2017,Commercial,Lighting,Light Emitting Diode,___,Electricity,Standard,Mlm.y,54.934743451927005
2017,Commercial,Space Cooling,___,___,District Cooling,___,TJ,1290.067981771632
2017,Commercial,Space Cooling,___,___,Electricity,Standard,TJ,9399.116949670435
2017,Commercial,Space Cooling,___,___,Natural Gas,Standard,TJ,437.06570762859945
2017,Commercial,Space Heating,Furnace,___,Electricity,Standard,TJ,1.335558262858424
2017,Commercial,Space Heating,Furnace,___,Heavy Fuel Oil,Standard,TJ,2.532437259599535
2017,Commercial,Space Heating,Furnace,___,Kerosene,Standard,TJ,2.5325287031501853
2017,Commercial,Space Heating,Furnace,___,Light Fuel Oil,Standard,TJ,161.81888986557357
2017,Commercial,Space Heating,Furnace,___,Natural Gas,High,TJ,5.881239929807079
2017,Commercial,Space Heating,Furnace,___,Natural Gas,Standard,TJ,30063.053315965077
2017,Commercial,Space Heating,Furnace,___,Propane,Standard,TJ,652.370743011989
2017,Commercial,Space Heating,Heat Pump,___,Electricity,Standard,TJ,455.85703697849823
2017,Commercial,Space Heating,Plinthe,___,Electricity,Standard,TJ,1436.5265395482365
2017,Commercial,Space Heating,___,___,District Heating,___,TJ,2820.310643505802
2017,Commercial,Street Lighting,Light Emitting Diode,___,Electricity,Standard,TJ,1463.7223425002232
2017,Commercial,Water Heating,___,___,District Heating,___,TJ,452.4793661235499
2017,Commercial,Water Heating,___,___,Electricity,Standard,TJ,244.3735346360923
2017,Commercial,Water Heating,___,___,Heavy Fuel Oil,Standard,TJ,5.106542775101944
2017,Commercial,Water Heating,___,___,Kerosene,Standard,TJ,5.106705258932801
2017,Commercial,Water Heating,___,___,Light Fuel Oil,Standard,TJ,187.9687602021926
2017,Commercial,Water Heating,___,___,Natural Gas,Standard,TJ,4924.586500040416
2017,Commercial,Water Heating,___,___,Propane,Standard,TJ,69.65921615492186
2017,Industry,Industrial Processes,Self produced,,Mix Energy,,TJ,30563.234632209118
2017,Industry,Lighting,Self produced,,Mix Energy,,TJ,650.2815879189868
2017,Industry,Space Cooling,Self produced,,Mix Energy,,TJ,1408.9434404911385
2017,Industry,Space Heating,Self produced,,Mix Energy,,TJ,1560.6758110251135
2017,Industry,Water Heating,Self produced,,Mix Energy,,TJ,4083.7683721512326
2017,Public,Auxiliary Equipment,___,___,Electricity,Standard,TJ,2026.0708279805103
2017,Public,Auxiliary Equipment,___,___,Natural Gas,Standard,TJ,250.36084844064763
2017,Public,Auxiliary Motors,___,___,Electricity,Standard,TJ,511.1520526911912
2017,Public,Lighting,Fluocompact,___,Electricity,Standard,Mlm.y,86.09657262969888
2017,Public,Lighting,Fluorescent,___,Electricity,Standard,Mlm.y,633.5322323056306
2017,Public,Lighting,Halogen,___,Electricity,Standard,Mlm.y,185.49834772918496
2017,Public,Lighting,Incandescent,___,Electricity,Standard,Mlm.y,595.3869793886143
2017,Public,Lighting,Light Emitting Diode,___,Electricity,High,Mlm.y,2.7641521150128954
2017,Public,Lighting,Light Emitting Diode,___,Electricity,Standard,Mlm.y,3.5812361830619186
2017,Public,Space Cooling,___,___,District Cooling,___,TJ,246.53664467588158
2017,Public,Space Cooling,___,___,Electricity,Standard,TJ,4183.590844575672
2017,Public,Space Cooling,___,___,Natural Gas,Standard,TJ,551.2770966266983
2017,Public,Space Heating,Furnace,___,Electricity,Standard,TJ,289.53397416744934
2017,Public,Space Heating,Furnace,___,Light Fuel Oil,Standard,TJ,268.8688679052591
2017,Public,Space Heating,Furnace,___,Natural Gas,High,TJ,0.005121875913598009
2017,Public,Space Heating,Furnace,___,Natural Gas,Standard,TJ,5834.406718510907
2017,Public,Space Heating,Plinthe,___,Electricity,Standard,TJ,495.4295884127037
2017,Public,Space Heating,___,___,District Heating,___,TJ,1495.7822721868476
2017,Public,Water Heating,___,___,District Heating,___,TJ,305.4791825194273
2017,Public,Water Heating,___,___,Electricity,Standard,TJ,9.942396623065791
2017,Public,Water Heating,___,___,Heavy Fuel Oil,Standard,TJ,0.3995210262133769
2017,Public,Water Heating,___,___,Kerosene,Standard,TJ,0.39952082996168775
2017,Public,Water Heating,___,___,Light Fuel Oil,Standard,TJ,18.031904059625326
2017,Public,Water Heating,___,___,Natural Gas,Standard,TJ,865.4331771186817
2017,Residential,Other Appliances,Other,___,Electricity,Standard,TJ,3633.1511224918345
2017,Residential,Clothe Dryer,___,___,Electricity,Standard,TJ,1812.6530938227925
2017,Residential,Clothe Dryer,___,___,Natural Gas,Standard,TJ,124.0843839716526
2017,Residential,Clothe Washer,___,___,Electricity,Standard,TJ,94.11435169231422
2017,Residential,Dish Washer,___,___,Electricity,Standard,TJ,126.73191605654162
2017,Residential,Freezer,___,___,Electricity,Standard,TJ,342.6283000827818
2017,Residential,Lighting,Fluocompact,___,Electricity,Standard,Mlm.y,95.64942902051094
2017,Residential,Lighting,Fluorescent,___,Electricity,Standard,Mlm.y,791.9916733780371
2017,Residential,Lighting,Halogen,___,Electricity,Standard,Mlm.y,229.60440496210737
2017,Residential,Lighting,Incandescent,___,Electricity,Standard,Mlm.y,737.3051304840163
2017,Residential,Lighting,Light Emitting Diode,___,Electricity,High,Mlm.y,13.660125151308131
2017,Residential,Lighting,Light Emitting Diode,___,Electricity,Standard,Mlm.y,13.47022993946193
2017,Residential,Range,___,___,Electricity,Standard,TJ,1434.457278325592
2017,Residential,Range,___,___,Natural Gas,Standard,TJ,63.95274134898547
2017,Residential,Refrigerator,___,___,Electricity,Standard,TJ,1077.173950045554
2017,Residential,Space Cooling,Central,___,Electricity,Standard,TJ,10301.918458880029
2017,Residential,Space Cooling,Room,___,Electricity,Standard,TJ,600.4717658820493
2017,Residential,Space Cooling,___,___,District Cooling,___,TJ,50.15170366391559
2017,Residential,Space Heating,Furnace,___,Biomass,Standard,TJ,158.60323923031783
2017,Residential,Space Heating,Furnace,___,Wood Pellet,Standard,TJ,0.39053274916325487
2017,Residential,Space Heating,Furnace,___,Kerosene,Standard,TJ,0.3238002887130226
2017,Residential,Space Heating,Furnace,___,Light Fuel Oil,Standard,TJ,486.8714753584421
2017,Residential,Space Heating,Furnace,___,Natural Gas,High,TJ,38598.88781844033
2017,Residential,Space Heating,Furnace,___,Natural Gas,Medium,TJ,12416.365243152291
2017,Residential,Space Heating,Furnace,___,Propane,Standard,TJ,0.37204192400300906
2017,Residential,Space Heating,Heat Pump,___,Electricity,Standard,TJ,3904.2643355614127
2017,Residential,Space Heating,Plinthe,___,Electricity,Standard,TJ,2068.5006825667083
2017,Residential,Space Heating,___,___,District Heating,___,TJ,46.047244600502154
2017,Residential,Water Heating,___,___,Biomass,Standard,TJ,10.290283723224274
2017,Residential,Water Heating,___,___,Wood Pellet,Standard,TJ,10.656008753552962
2017,Residential,Water Heating,___,___,District Heating,___,TJ,997.9756801484111
2017,Residential,Water Heating,___,___,Electricity,Standard,TJ,709.8041301769505
2017,Residential,Water Heating,___,___,Kerosene,Standard,TJ,10.475620163446466
2017,Residential,Water Heating,___,___,Light Fuel Oil,Standard,TJ,97.12793572478502
2017,Residential,Water Heating,___,___,Natural Gas,Standard,TJ,15771.277910915587
2017,Residential,Water Heating,___,___,Propane,Standard,TJ,10.561766531582457
2018,Commercial,Auxiliary Equipment,___,___,Electricity,Standard,TJ,17413.413622070493
2018,Commercial,Auxiliary Equipment,___,___,Natural Gas,Standard,TJ,1744.975460011511
2018,Commercial,Auxiliary Equipment,___,___,Propane,Standard,TJ,971.4113338203074
2018,Commercial,Auxiliary Motors,___,___,Electricity,Standard,TJ,2180.1263511469924
2018,Commercial,Lighting,Fluocompact,___,Electricity,Standard,Mlm.y,1323.1503356758126
2018,Commercial,Lighting,Fluorescent,___,Electricity,Standard,Mlm.y,9715.804337659774
2018,Commercial,Lighting,Halogen,___,Electricity,Standard,Mlm.y,2845.159424892328
2018,Commercial,Lighting,Incandescent,___,Electricity,Standard,Mlm.y,9137.991638896663
2018,Commercial,Lighting,Light Emitting Diode,___,Electricity,High,Mlm.y,42.130896641942314
2018,Commercial,Lighting,Light Emitting Diode,___,Electricity,Standard,Mlm.y,66.66434001670277
2018,Commercial,Space Cooling,___,___,District Cooling,___,TJ,1298.1010531172553
2018,Commercial,Space Cooling,___,___,Electricity,Standard,TJ,9454.436229330548
2018,Commercial,Space Cooling,___,___,Natural Gas,Standard,TJ,441.0194597361575
2018,Commercial,Space Heating,Furnace,___,Electricity,Standard,TJ,2.0692362892760046
2018,Commercial,Space Heating,Furnace,___,Heavy Fuel Oil,Standard,TJ,3.8768329088109192
2018,Commercial,Space Heating,Furnace,___,Kerosene,Standard,TJ,3.8758892447233197
2018,Commercial,Space Heating,Furnace,___,Light Fuel Oil,Standard,TJ,155.6496644378221
2018,Commercial,Space Heating,Furnace,___,Natural Gas,High,TJ,9.234608402773315
