regions,periods,tech,group_name,min_share_g,tech_desc
TO,2023,FRETRAAGAIMP,NZ40-ENE-POPT-FRETRA,1.22E-05,
TO,2023,FRETRAATFIMP,NZ40-ENE-POPT-FRETRA,0.005540355,
TO,2023,FRETRABDSLIMP,NZ40-ENE-POPT-FRETRA,0.001168397,
TO,2023,PASTRABDSLIMP,NZ40-ENE-POPT-PASTRA,2.94E-06,
TO,2023,PUBTRABDSLIMP,NZ40-ENE-POPT-PUBTRA,0.003836524,
TO,2023,RESBDGBMAIMP,NZ40-ENE-POPT-RESBDG,0.007902498,
TO,2023,COMBDGBMTNIMP,NZ40-ENE-POPT-COMBDG,6.90E-06,
TO,2023,PASTRABMTNIMP,NZ40-ENE-POPT-PASTRA,1.52E-06,
TO,2023,PUBBDGBMTNIMP,NZ40-ENE-POPT-PUBBDG,2.05E-05,
TO,2023,RESBDGBMTNIMP,NZ40-ENE-POPT-RESBDG,4.72E-06,
TO,2023,RESBDGBWPIMP,NZ40-ENE-POPT-RESBDG,0.006081388,
TO,2023,FRETRACETHIMP,NZ40-ENE-POPT-FRETRA,2.01E-05,
TO,2023,PASTRACETHIMP,NZ40-ENE-POPT-PASTRA,5.86E-05,
TO,2023,PUBTRACETHIMP,NZ40-ENE-POPT-PUBTRA,8.18E-04,
TO,2023,INDBDGCOAIMP,NZ40-ENE-POPT-INDBDG,0.004245446,
TO,2023,FRETRADSLIMP,NZ40-ENE-POPT-FRETRA,0.468861899,
TO,2023,PASTRADSLIMP,NZ40-ENE-POPT-PASTRA,0.066294701,
TO,2023,PUBTRADSLIMP,NZ40-ENE-POPT-PUBTRA,0.37617937,
TO,2023,COMBDGELCIMP23,NZ40-ENE-POPT-COMBDG,0.494034865,
TO,2023,INDBDGELCIMP23,NZ40-ENE-POPT-INDBDG,0.23567036,
TO,2023,PASTRAELCIMP23,NZ40-ENE-POPT-PASTRA,0.027382714,
TO,2023,PUBBDGELCIMP23,NZ40-ENE-POPT-PUBBDG,0.367490691,
TO,2023,RESBDGELCIMP23,NZ40-ENE-POPT-RESBDG,0.2079676,
TO,2023,FRETRAETHIMP,NZ40-ENE-POPT-FRETRA,0.01769596,
TO,2023,PASTRAETHIMP,NZ40-ENE-POPT-PASTRA,9.22E-05,
TO,2023,PUBTRAETHIMP,NZ40-ENE-POPT-PUBTRA,0.018564661,
