regions,periods,tech,maxact,maxact_units,maxact_notes
TO,2016,PASTRAELCIMP16,10000000000.0,,
TO,2016,PASTRAELCIMP17,0.0,,
TO,2016,PASTRAELCIMP18,0.0,,
TO,2016,PASTRAELCIMP19,0.0,,
TO,2016,PASTRAELCIMP20,0.0,,
TO,2016,PASTRAELCIMP21,0.0,,
TO,2016,PASTRAELCIMP22,0.0,,
TO,2016,PASTRAELCIMP23,0.0,,
TO,2016,PASTRAELCIMP24,0.0,,
TO,2016,PASTRAELCIMP25,0.0,,
TO,2016,PASTRAELCIMP26,0.0,,
TO,2016,PASTRAELCIMP27,0.0,,
TO,2016,PASTRAELCIMP28,0.0,,
TO,2016,PASTRAELCIMP29,0.0,,
TO,2016,PASTRAELCIMP30,0.0,,
TO,2016,PASTRAELCIMP31,0.0,,
TO,2016,PASTRAELCIMP32,0.0,,
TO,2016,PASTRAELCIMP33,0.0,,
TO,2016,PASTRAELCIMP34,0.0,,
TO,2016,PASTRAELCIMP35,0.0,,
TO,2016,PASTRAELCIMP36,0.0,,
TO,2016,PASTRAELCIMP37,0.0,,
TO,2016,PASTRAELCIMP38,0.0,,
TO,2016,PASTRAELCIMP39,0.0,,
TO,2016,PASTRAELCIMP40,0.0,,
TO,2016,PASTRAELCIMP41,0.0,,
TO,2016,PASTRAELCIMP42,0.0,,
TO,2016,PASTRAELCIMP43,0.0,,
TO,2016,PASTRAELCIMP44,0.0,,
TO,2016,PASTRAELCIMP45,0.0,,
TO,2016,PASTRAELCIMP46,0.0,,
TO,2016,PASTRAELCIMP47,0.0,,
TO,2016,PASTRAELCIMP48,0.0,,
TO,2016,PASTRAELCIMP49,0.0,,
TO,2016,PASTRAELCIMP50,0.0,,
TO,2016,FRETRAELCIMP16,10000000000.0,,
TO,2016,FRETRAELCIMP17,0.0,,
TO,2016,FRETRAELCIMP18,0.0,,
TO,2016,FRETRAELCIMP19,0.0,,
TO,2016,FRETRAELCIMP20,0.0,,
TO,2016,FRETRAELCIMP21,0.0,,
TO,2016,FRETRAELCIMP22,0.0,,
TO,2016,FRETRAELCIMP23,0.0,,
TO,2016,FRETRAELCIMP24,0.0,,
TO,2016,FRETRAELCIMP25,0.0,,
TO,2016,FRETRAELCIMP26,0.0,,
TO,2016,FRETRAELCIMP27,0.0,,
TO,2016,FRETRAELCIMP28,0.0,,
TO,2016,FRETRAELCIMP29,0.0,,
TO,2016,FRETRAELCIMP30,0.0,,
TO,2016,FRETRAELCIMP31,0.0,,
TO,2016,FRETRAELCIMP32,0.0,,
TO,2016,FRETRAELCIMP33,0.0,,
TO,2016,FRETRAELCIMP34,0.0,,
TO,2016,FRETRAELCIMP35,0.0,,
TO,2016,FRETRAELCIMP36,0.0,,
TO,2016,FRETRAELCIMP37,0.0,,
TO,2016,FRETRAELCIMP38,0.0,,
TO,2016,FRETRAELCIMP39,0.0,,
TO,2016,FRETRAELCIMP40,0.0,,
TO,2016,FRETRAELCIMP41,0.0,,
TO,2016,FRETRAELCIMP42,0.0,,
TO,2016,FRETRAELCIMP43,0.0,,
TO,2016,FRETRAELCIMP44,0.0,,
TO,2016,FRETRAELCIMP45,0.0,,
TO,2016,FRETRAELCIMP46,0.0,,
TO,2016,FRETRAELCIMP47,0.0,,
TO,2016,FRETRAELCIMP48,0.0,,
TO,2016,FRETRAELCIMP49,0.0,,
TO,2016,FRETRAELCIMP50,0.0,,
TO,2016,LDITRAELCIMP16,10000000000.0,,
TO,2016,LDITRAELCIMP17,0.0,,
TO,2016,LDITRAELCIMP18,0.0,,
TO,2016,LDITRAELCIMP19,0.0,,
TO,2016,LDITRAELCIMP20,0.0,,
TO,2016,LDITRAELCIMP21,0.0,,
TO,2016,LDITRAELCIMP22,0.0,,
TO,2016,LDITRAELCIMP23,0.0,,
TO,2016,LDITRAELCIMP24,0.0,,
TO,2016,LDITRAELCIMP25,0.0,,
TO,2016,LDITRAELCIMP26,0.0,,
TO,2016,LDITRAELCIMP27,0.0,,
TO,2016,LDITRAELCIMP28,0.0,,
TO,2016,LDITRAELCIMP29,0.0,,
TO,2016,LDITRAELCIMP30,0.0,,
TO,2016,LDITRAELCIMP31,0.0,,
TO,2016,LDITRAELCIMP32,0.0,,
TO,2016,LDITRAELCIMP33,0.0,,
TO,2016,LDITRAELCIMP34,0.0,,
TO,2016,LDITRAELCIMP35,0.0,,
TO,2016,LDITRAELCIMP36,0.0,,
TO,2016,LDITRAELCIMP37,0.0,,
TO,2016,LDITRAELCIMP38,0.0,,
TO,2016,LDITRAELCIMP39,0.0,,
TO,2016,LDITRAELCIMP40,0.0,,
TO,2016,LDITRAELCIMP41,0.0,,
TO,2016,LDITRAELCIMP42,0.0,,
TO,2016,LDITRAELCIMP43,0.0,,
TO,2016,LDITRAELCIMP44,0.0,,
TO,2016,LDITRAELCIMP45,0.0,,
TO,2016,LDITRAELCIMP46,0.0,,
TO,2016,LDITRAELCIMP47,0.0,,
TO,2016,LDITRAELCIMP48,0.0,,
TO,2016,LDITRAELCIMP49,0.0,,
