regions,emis_comm,input_comm,tech,vintage,output_comm,emis_act,emis_act_units,emis_act_notes
TO,CO2e,IMPELC,FRETRAELCIMP20,2015,FRETRAELC,10.660398694946394,t/TJ,FreightTransportElectricityImport20
TO,CO2e,IMPELC,FRETRAELCIMP21,2015,FRETRAELC,9.379956826131458,t/TJ,FreightTransportElectricityImport21
TO,CO2e,IMPELC,FRETRAELCIMP22,2015,FRETRAELC,10.274497581023661,t/TJ,FreightTransportElectricityImport22
TO,CO2e,IMPELC,FRETRAELCIMP23,2015,FRETRAELC,15.49692615067503,t/TJ,FreightTransportElectricityImport23
TO,CO2e,IMPELC,FRETRAELCIMP24,2015,FRETRAELC,15.605622654486497,t/TJ,FreightTransportElectricityImport24
TO,CO2e,IMPELC,FRETRAELCIMP25,2015,FRETRAELC,19.842627641397623,t/TJ,FreightTransportElectricityImport25
TO,CO2e,IMPELC,FRETRAELCIMP26,2015,FRETRAELC,19.25415883294992,t/TJ,FreightTransportElectricityImport26
TO,CO2e,IMPELC,FRETRAELCIMP27,2015,FRETRAELC,17.975540981854458,t/TJ,FreightTransportElectricityImport27
TO,CO2e,IMPELC,FRETRAELCIMP28,2015,FRETRAELC,19.237014599963903,t/TJ,FreightTransportElectricityImport28
TO,CO2e,IMPELC,FRETRAELCIMP29,2015,FRETRAELC,18.00851494275887,t/TJ,FreightTransportElectricityImport29
TO,CO2e,IMPELC,FRETRAELCIMP30,2015,FRETRAELC,18.566572657137655,t/TJ,FreightTransportElectricityImport30
TO,CO2e,IMPELC,FRETRAELCIMP31,2015,FRETRAELC,20.063865054210215,t/TJ,FreightTransportElectricityImport31
TO,CO2e,IMPELC,FRETRAELCIMP32,2015,FRETRAELC,18.68381836969691,t/TJ,FreightTransportElectricityImport32
TO,CO2e,IMPELC,FRETRAELCIMP33,2015,FRETRAELC,18.021494223021026,t/TJ,FreightTransportElectricityImport33
TO,CO2e,IMPELC,FRETRAELCIMP34,2015,FRETRAELC,18.20305884559688,t/TJ,FreightTransportElectricityImport34
