regions,input_comm,tech,vintage,output_comm,efficiency,eff_notes
TO,IMPKER,FRETRAKERIMP,2015,FRETRAKER,1,FreightTransportKeroseneImport
TO,IMPLFO,FRETRALFOIMP,2015,FRETRALFO,1,FreightTransportLight Fuel OilImport
TO,IMPNGA,FRETRANGAIMP,2015,FRETRANGA,1,FreightTransportNatural GasImport
TO,IMPBMTN,FRETRABMTNIMP,2015,FRETRABMTN,1,FreightTransportBio MethaneImport
TO,IMPSGA,FRETRASGAIMP,2015,FRETRASGA,1,FreightTransportSynthetic GasImport
TO,IMPSMTN,FRETRASMTNIMP,2015,FRETRASMTN,1,FreightTransportSynthetic MethaneImport
TO,IMPELC,FRETRAELCIMP16,2015,FRETRAELC,1,FreightTransportElectricityImport16
TO,IMPELC,FRETRAELCIMP17,2015,FRETRAELC,1,FreightTransportElectricityImport17
TO,IMPELC,FRETRAELCIMP18,2015,FRETRAELC,1,FreightTransportElectricityImport18
TO,IMPELC,FRETRAELCIMP19,2015,FRETRAELC,1,FreightTransportElectricityImport19
TO,IMPELC,FRETRAELCIMP20,2015,FRETRAELC,1,FreightTransportElectricityImport20
TO,IMPELC,FRETRAELCIMP21,2015,FRETRAELC,1,FreightTransportElectricityImport21
TO,IMPELC,FRETRAELCIMP22,2015,FRETRAELC,1,FreightTransportElectricityImport22
TO,IMPELC,FRETRAELCIMP23,2015,FRETRAELC,1,FreightTransportElectricityImport23
TO,IMPELC,FRETRAELCIMP24,2015,FRETRAELC,1,FreightTransportElectricityImport24
TO,IMPELC,FRETRAELCIMP25,2015,FRETRAELC,1,FreightTransportElectricityImport25
TO,IMPELC,FRETRAELCIMP26,2015,FRETRAELC,1,FreightTransportElectricityImport26
TO,IMPELC,FRETRAELCIMP27,2015,FRETRAELC,1,FreightTransportElectricityImport27
TO,IMPELC,FRETRAELCIMP28,2015,FRETRAELC,1,FreightTransportElectricityImport28
TO,IMPELC,FRETRAELCIMP29,2015,FRETRAELC,1,FreightTransportElectricityImport29
TO,IMPELC,FRETRAELCIMP30,2015,FRETRAELC,1,FreightTransportElectricityImport30
TO,IMPELC,FRETRAELCIMP31,2015,FRETRAELC,1,FreightTransportElectricityImport31
TO,IMPELC,FRETRAELCIMP32,2015,FRETRAELC,1,FreightTransportElectricityImport32
TO,IMPELC,FRETRAELCIMP33,2015,FRETRAELC,1,FreightTransportElectricityImport33
TO,IMPELC,FRETRAELCIMP34,2015,FRETRAELC,1,FreightTransportElectricityImport34
TO,IMPELC,FRETRAELCIMP35,2015,FRETRAELC,1,FreightTransportElectricityImport35
TO,IMPELC,FRETRAELCIMP36,2015,FRETRAELC,1,FreightTransportElectricityImport36
TO,IMPELC,FRETRAELCIMP37,2015,FRETRAELC,1,FreightTransportElectricityImport37
TO,IMPELC,FRETRAELCIMP38,2015,FRETRAELC,1,FreightTransportElectricityImport38
TO,IMPELC,FRETRAELCIMP39,2015,FRETRAELC,1,FreightTransportElectricityImport39
TO,IMPELC,FRETRAELCIMP40,2015,FRETRAELC,1,FreightTransportElectricityImport40
TO,IMPELC,FRETRAELCIMP41,2015,FRETRAELC,1,FreightTransportElectricityImport41
TO,IMPELC,FRETRAELCIMP42,2015,FRETRAELC,1,FreightTransportElectricityImport42
TO,IMPELC,FRETRAELCIMP43,2015,FRETRAELC,1,FreightTransportElectricityImport43
TO,IMPELC,FRETRAELCIMP44,2015,FRETRAELC,1,FreightTransportElectricityImport44
TO,IMPELC,FRETRAELCIMP45,2015,FRETRAELC,1,FreightTransportElectricityImport45
TO,IMPELC,FRETRAELCIMP46,2015,FRETRAELC,1,FreightTransportElectricityImport46
TO,IMPELC,FRETRAELCIMP47,2015,FRETRAELC,1,FreightTransportElectricityImport47
TO,IMPELC,FRETRAELCIMP48,2015,FRETRAELC,1,FreightTransportElectricityImport48
TO,IMPELC,FRETRAELCIMP49,2015,FRETRAELC,1,FreightTransportElectricityImport49
TO,IMPELC,FRETRAELCIMP50,2015,FRETRAELC,1,FreightTransportElectricityImport50
TO,EXPCETH,FRETRACETHEXP,2015,FRETRACETH,1,FreightTransportCellulosic EthanolExport
TO,EXPBMTN,FRETRABMTNEXP,2015,FRETRABMTN,1,FreightTransportBio MethaneExport
TO,EXPHH2,FRETRAHH2EXP,2015,FRETRAHH2,1,FreightTransportHydrogenExport
TO,IMPNGA,LDITRANGAIMP,2015,LDITRANGA,1,Long DistanceTransportNatural GasImport
TO,IMPSGA,LDITRASGAIMP,2015,LDITRASGA,1,Long DistanceTransportSynthetic GasImport
TO,IMPBMTN,LDITRABMTNIMP,2015,LDITRABMTN,1,Long DistanceTransportBio MethaneImport
TO,IMPSMTN,LDITRASMTNIMP,2015,LDITRASMTN,1,Long DistanceTransportSynthetic MethaneImport
TO,IMPGAS,LDITRAGASIMP,2015,LDITRAGAS,1,Long DistanceTransportGasolineImport
TO,IMPETH,LDITRAETHIMP,2015,LDITRAETH,1,Long DistanceTransportEthanolImport
TO,IMPCETH,LDITRACETHIMP,2015,LDITRACETH,1,Long DistanceTransportCellulosic EthanolImport
TO,IMPDSL,LDITRADSLIMP,2015,LDITRADSL,1,Long DistanceTransportDieselImport
TO,IMPBDSL,LDITRABDSLIMP,2015,LDITRABDSL,1,Long DistanceTransportBio DieselImport
TO,IMPRDSL,LDITRARDSLIMP,2015,LDITRARDSL,1,Long DistanceTransportRenewable DieselImport
TO,IMPPRO,LDITRAPROIMP,2015,LDITRAPRO,1,Long DistanceTransportPropaneImport
TO,IMPAGA,LDITRAAGAIMP,2015,LDITRAAGA,1,Long DistanceTransportAviation GasolineImport
TO,IMPATF,LDITRAATFIMP,2015,LDITRAATF,1,Long DistanceTransportAviation Turbo FuelImport
TO,IMPHH2,LDITRAHH2IMP,2015,LDITRAHH2,1,Long DistanceTransportHydrogenImport
TO,IMPBJE,LDITRABJEIMP,2015,LDITRABJE,1,Long DistanceTransportBio JetImport
