regions,periods,tech,vintage,cost_variable,cost_variable_units,cost_variable_notes
TO,2016,PASTRADSLIMP,2015,16.265194456622893,k$/TJ,PassengerTransportDieselImport
TO,2016,PASTRABDSLIMP,2015,25.946455305160306,k$/TJ,PassengerTransportBio DieselImport
TO,2016,PASTRAETHIMP,2015,29.12432653663924,k$/TJ,PassengerTransportEthanolImport
TO,2016,PASTRAGASIMP,2015,16.86541653164231,k$/TJ,PassengerTransportGasolineImport
TO,2016,PASTRARDSLIMP,2015,25.946455305160306,k$/TJ,PassengerTransportRenewable DieselImport
TO,2016,PASTRANGAIMP,2015,3.118890921109537,k$/TJ,PassengerTransportNatural GasImport
TO,2016,PASTRABMTNIMP,2015,16.7,k$/TJ,PassengerTransportBio MethaneImport
TO,2016,PASTRASGAIMP,2015,16.7,k$/TJ,PassengerTransportSynthetic GasImport
TO,2016,PASTRASMTNIMP,2015,16.7,k$/TJ,PassengerTransportSynthetic MethaneImport
TO,2016,PASTRACETHIMP,2015,29.12432653663924,k$/TJ,PassengerTransportCellulosic EthanolImport
TO,2016,PASTRAPROIMP,2015,8.077587606825077,k$/TJ,PassengerTransportPropaneImport
TO,2016,PASTRAHH2IMP,2015,71.74156201956825,k$/TJ,PassengerTransportHydrogenImport
TO,2016,PASTRAELCIMP16,2015,41.01582931865106,k$/TJ,PassengerTransportElectricityImport16
TO,2016,PASTRAELCIMP17,2015,41.01582931865106,k$/TJ,PassengerTransportElectricityImport17
TO,2016,PASTRAELCIMP18,2015,41.01582931865106,k$/TJ,PassengerTransportElectricityImport18
TO,2016,PASTRAELCIMP19,2015,41.01582931865106,k$/TJ,PassengerTransportElectricityImport19
TO,2016,PASTRAELCIMP20,2015,41.01582931865106,k$/TJ,PassengerTransportElectricityImport20
TO,2016,PASTRAELCIMP21,2015,41.01582931865106,k$/TJ,PassengerTransportElectricityImport21
TO,2016,PASTRAELCIMP22,2015,41.01582931865106,k$/TJ,PassengerTransportElectricityImport22
TO,2016,PASTRAELCIMP23,2015,41.01582931865106,k$/TJ,PassengerTransportElectricityImport23
TO,2016,PASTRAELCIMP24,2015,41.01582931865106,k$/TJ,PassengerTransportElectricityImport24
TO,2016,PASTRAELCIMP25,2015,41.01582931865106,k$/TJ,PassengerTransportElectricityImport25
TO,2016,PASTRAELCIMP26,2015,41.01582931865106,k$/TJ,PassengerTransportElectricityImport26
