regions,tech,c2a,c2a_notes
TO,FRETRAELCIMP47,1,FreightTransportElectricityImport47
TO,FRETRAELCIMP48,1,FreightTransportElectricityImport48
TO,FRETRAELCIMP49,1,FreightTransportElectricityImport49
TO,FRETRAELCIMP50,1,FreightTransportElectricityImport50
TO,FRETRACETHEXP,1,FreightTransportCellulosic EthanolExport
TO,FRETRABMTNEXP,1,FreightTransportBio MethaneExport
TO,FRETRAHH2EXP,1,FreightTransportHydrogenExport
TO,LDITRANGAIMP,1,Long DistanceTransportNatural GasImport
TO,LDITRASGAIMP,1,Long DistanceTransportSynthetic GasImport
TO,LDITRABMTNIMP,1,Long DistanceTransportBio MethaneImport
TO,LDITRASMTNIMP,1,Long DistanceTransportSynthetic MethaneImport
TO,LDITRAGASIMP,1,Long DistanceTransportGasolineImport
TO,LDITRAETHIMP,1,Long DistanceTransportEthanolImport
TO,LDITRACETHIMP,1,Long DistanceTransportCellulosic EthanolImport
TO,LDITRADSLIMP,1,Long DistanceTransportDieselImport
TO,LDITRABDSLIMP,1,Long DistanceTransportBio DieselImport
TO,LDITRARDSLIMP,1,Long DistanceTransportRenewable DieselImport
TO,LDITRAPROIMP,1,Long DistanceTransportPropaneImport
TO,LDITRAAGAIMP,1,Long DistanceTransportAviation GasolineImport
TO,LDITRAATFIMP,1,Long DistanceTransportAviation Turbo FuelImport
TO,LDITRAHH2IMP,1,Long DistanceTransportHydrogenImport
TO,LDITRABJEIMP,1,Long DistanceTransportBio JetImport
TO,LDITRASJEIMP,1,Long DistanceTransportSynthetic JetImport
TO,LDITRAELCIMP16,1,Long DistanceTransportElectricityImport16
TO,LDITRAELCIMP17,1,Long DistanceTransportElectricityImport17
TO,LDITRAELCIMP18,1,Long DistanceTransportElectricityImport18
TO,LDITRAELCIMP19,1,Long DistanceTransportElectricityImport19
TO,LDITRAELCIMP20,1,Long DistanceTransportElectricityImport20
TO,LDITRAELCIMP21,1,Long DistanceTransportElectricityImport21
TO,LDITRAELCIMP22,1,Long DistanceTransportElectricityImport22
TO,LDITRAELCIMP23,1,Long DistanceTransportElectricityImport23
TO,LDITRAELCIMP24,1,Long DistanceTransportElectricityImport24
TO,LDITRAELCIMP25,1,Long DistanceTransportElectricityImport25
TO,LDITRAELCIMP26,1,Long DistanceTransportElectricityImport26
TO,LDITRAELCIMP27,1,Long DistanceTransportElectricityImport27
TO,LDITRAELCIMP28,1,Long DistanceTransportElectricityImport28
TO,LDITRAELCIMP29,1,Long DistanceTransportElectricityImport29
TO,LDITRAELCIMP30,1,Long DistanceTransportElectricityImport30
TO,LDITRAELCIMP31,1,Long DistanceTransportElectricityImport31
TO,LDITRAELCIMP32,1,Long DistanceTransportElectricityImport32
TO,LDITRAELCIMP33,1,Long DistanceTransportElectricityImport33
TO,LDITRAELCIMP34,1,Long DistanceTransportElectricityImport34
TO,LDITRAELCIMP35,1,Long DistanceTransportElectricityImport35
TO,LDITRAELCIMP36,1,Long DistanceTransportElectricityImport36
TO,LDITRAELCIMP37,1,Long DistanceTransportElectricityImport37
