regions,tech,life,life_notes
TO,FRETRAELCIMP47,200,FreightTransportElectricityImport47
TO,FRETRAELCIMP48,200,FreightTransportElectricityImport48
TO,FRETRAELCIMP49,200,FreightTransportElectricityImport49
TO,FRETRAELCIMP50,200,FreightTransportElectricityImport50
TO,FRETRACETHEXP,200,FreightTransportCellulosic EthanolExport
TO,FRETRABMTNEXP,200,FreightTransportBio MethaneExport
TO,FRETRAHH2EXP,200,FreightTransportHydrogenExport
TO,LDITRANGAIMP,200,Long DistanceTransportNatural GasImport
TO,LDITRASGAIMP,200,Long DistanceTransportSynthetic GasImport
TO,LDITRABMTNIMP,200,Long DistanceTransportBio MethaneImport
TO,LDITRASMTNIMP,200,Long DistanceTransportSynthetic MethaneImport
TO,LDITRAGASIMP,200,Long DistanceTransportGasolineImport
TO,LDITRAETHIMP,200,Long DistanceTransportEthanolImport
TO,LDITRACETHIMP,200,Long DistanceTransportCellulosic EthanolImport
TO,LDITRADSLIMP,200,Long DistanceTransportDieselImport
TO,LDITRABDSLIMP,200,Long DistanceTransportBio DieselImport
TO,LDITRARDSLIMP,200,Long DistanceTransportRenewable DieselImport
TO,LDITRAPROIMP,200,Long DistanceTransportPropaneImport
TO,LDITRAAGAIMP,200,Long DistanceTransportAviation GasolineImport
TO,LDITRAATFIMP,200,Long DistanceTransportAviation Turbo FuelImport
TO,LDITRAHH2IMP,200,Long DistanceTransportHydrogenImport
TO,LDITRABJEIMP,200,Long DistanceTransportBio JetImport
TO,LDITRASJEIMP,200,Long DistanceTransportSynthetic JetImport
TO,LDITRAELCIMP16,200,Long DistanceTransportElectricityImport16
TO,LDITRAELCIMP17,200,Long DistanceTransportElectricityImport17
TO,LDITRAELCIMP18,200,Long DistanceTransportElectricityImport18
TO,LDITRAELCIMP19,200,Long DistanceTransportElectricityImport19
TO,LDITRAELCIMP20,200,Long DistanceTransportElectricityImport20
TO,LDITRAELCIMP21,200,Long DistanceTransportElectricityImport21
TO,LDITRAELCIMP22,200,Long DistanceTransportElectricityImport22
TO,LDITRAELCIMP23,200,Long DistanceTransportElectricityImport23
TO,LDITRAELCIMP24,200,Long DistanceTransportElectricityImport24
TO,LDITRAELCIMP25,200,Long DistanceTransportElectricityImport25
TO,LDITRAELCIMP26,200,Long DistanceTransportElectricityImport26
TO,LDITRAELCIMP27,200,Long DistanceTransportElectricityImport27
TO,LDITRAELCIMP28,200,Long DistanceTransportElectricityImport28
TO,LDITRAELCIMP29,200,Long DistanceTransportElectricityImport29
TO,LDITRAELCIMP30,200,Long DistanceTransportElectricityImport30
TO,LDITRAELCIMP31,200,Long DistanceTransportElectricityImport31
TO,LDITRAELCIMP32,200,Long DistanceTransportElectricityImport32
TO,LDITRAELCIMP33,200,Long DistanceTransportElectricityImport33
TO,LDITRAELCIMP34,200,Long DistanceTransportElectricityImport34
TO,LDITRAELCIMP35,200,Long DistanceTransportElectricityImport35
TO,LDITRAELCIMP36,200,Long DistanceTransportElectricityImport36
TO,LDITRAELCIMP37,200,Long DistanceTransportElectricityImport37
TO,LDITRAELCIMP38,200,Long DistanceTransportElectricityImport38
TO,LDITRAELCIMP39,200,Long DistanceTransportElectricityImport39
TO,LDITRAELCIMP40,200,Long DistanceTransportElectricityImport40
TO,LDITRAELCIMP41,200,Long DistanceTransportElectricityImport41
TO,LDITRAELCIMP42,200,Long DistanceTransportElectricityImport42
TO,LDITRAELCIMP43,200,Long DistanceTransportElectricityImport43
TO,LDITRAELCIMP44,200,Long DistanceTransportElectricityImport44
TO,LDITRAELCIMP45,200,Long DistanceTransportElectricityImport45
TO,LDITRAELCIMP46,200,Long DistanceTransportElectricityImport46
TO,LDITRAELCIMP47,200,Long DistanceTransportElectricityImport47
TO,LDITRAELCIMP48,200,Long DistanceTransportElectricityImport48
TO,LDITRAELCIMP49,200,Long DistanceTransportElectricityImport49
TO,LDITRAELCIMP50,200,Long DistanceTransportElectricityImport50
TO,LDITRABMTNEXP,200,Long DistanceTransportBio MethaneExport
TO,LDITRACETHEXP,200,Long DistanceTransportCellulosic EthanolExport
TO,LDITRAHH2EXP,200,Long DistanceTransportHydrogenExport
TO,PUBTRABDSLIMP,200,PublicTransportBio DieselImport
TO,PUBTRARDSLIMP,200,PublicTransportRenewable DieselImport
TO,PUBTRADSLIMP,200,PublicTransportDieselImport
TO,PUBTRAFTDSLIMP,200,PublicTransportFT DieselImport
TO,PUBTRAETHIMP,200,PublicTransportEthanolImport
TO,PUBTRACETHIMP,200,PublicTransportCellulosic EthanolImport
TO,PUBTRAGASIMP,200,PublicTransportGasolineImport
TO,PUBTRAHH2IMP,200,PublicTransportHydrogenImport
TO,PUBTRAHFOIMP,200,PublicTransportHeavy Fuel OilImport
TO,PUBTRAKERIMP,200,PublicTransportKeroseneImport
TO,PUBTRALFOIMP,200,PublicTransportLight Fuel OilImport
TO,PUBTRANGAIMP,200,PublicTransportNatural GasImport
TO,PUBTRABMTNIMP,200,PublicTransportBio MethaneImport
TO,PUBTRASGAIMP,200,PublicTransportSynthetic GasImport
TO,PUBTRASMTNIMP,200,PublicTransportSynthetic MethaneImport
TO,PUBTRAPROIMP,200,PublicTransportPropaneImport
TO,PUBTRAELCIMP16,200,PublicTransportElectricityImport16
TO,PUBTRAELCIMP17,200,PublicTransportElectricityImport17
TO,PUBTRAELCIMP18,200,PublicTransportElectricityImport18
TO,PUBTRAELCIMP19,200,PublicTransportElectricityImport19
