regions,tech,group_name,act_fraction,tech_desc
TO,FRETRAELCIMP45,TRAENE-FRETRA,1,
TO,FRETRAELCIMP46,TRAENE-FRETRA,1,
TO,FRETRAELCIMP47,TRAENE-FRETRA,1,
TO,FRETRAELCIMP48,TRAENE-FRETRA,1,
TO,FRETRAELCIMP49,TRAENE-FRETRA,1,
TO,FRETRAELCIMP50,TRAENE-FRETRA,1,
TO,INDBDGELCIMP16,TRAENE-INDBDG,1,
TO,INDBDGELCIMP17,TRAENE-INDBDG,1,
TO,INDBDGELCIMP18,TRAENE-INDBDG,1,
TO,INDBDGELCIMP19,TRAENE-INDBDG,1,
TO,INDBDGELCIMP20,TRAENE-INDBDG,1,
TO,INDBDGELCIMP21,TRAENE-INDBDG,1,
TO,INDBDGELCIMP22,TRAENE-INDBDG,1,
TO,INDBDGELCIMP23,TRAENE-INDBDG,1,
TO,INDBDGELCIMP24,TRAENE-INDBDG,1,
TO,INDBDGELCIMP25,TRAENE-INDBDG,1,
TO,INDBDGELCIMP26,TRAENE-INDBDG,1,
TO,INDBDGELCIMP27,TRAENE-INDBDG,1,
TO,INDBDGELCIMP28,TRAENE-INDBDG,1,
TO,INDBDGELCIMP29,TRAENE-INDBDG,1,
TO,INDBDGELCIMP30,TRAENE-INDBDG,1,
TO,INDBDGELCIMP31,TRAENE-INDBDG,1,
TO,INDBDGELCIMP32,TRAENE-INDBDG,1,
TO,INDBDGELCIMP33,TRAENE-INDBDG,1,
TO,INDBDGELCIMP34,TRAENE-INDBDG,1,
TO,INDBDGELCIMP35,TRAENE-INDBDG,1,
TO,INDBDGELCIMP36,TRAENE-INDBDG,1,
TO,INDBDGELCIMP37,TRAENE-INDBDG,1,
TO,INDBDGELCIMP38,TRAENE-INDBDG,1,
TO,INDBDGELCIMP39,TRAENE-INDBDG,1,
TO,INDBDGELCIMP40,TRAENE-INDBDG,1,
TO,INDBDGELCIMP41,TRAENE-INDBDG,1,
TO,INDBDGELCIMP42,TRAENE-INDBDG,1,
TO,INDBDGELCIMP43,TRAENE-INDBDG,1,
TO,INDBDGELCIMP44,TRAENE-INDBDG,1,
TO,INDBDGELCIMP45,TRAENE-INDBDG,1,
TO,INDBDGELCIMP46,TRAENE-INDBDG,1,
TO,INDBDGELCIMP47,TRAENE-INDBDG,1,
TO,INDBDGELCIMP48,TRAENE-INDBDG,1,
TO,INDBDGELCIMP49,TRAENE-INDBDG,1,
TO,INDBDGELCIMP50,TRAENE-INDBDG,1,
TO,PASTRAELCIMP16,TRAENE-PASTRA,1,
TO,PASTRAELCIMP17,TRAENE-PASTRA,1,
TO,PASTRAELCIMP18,TRAENE-PASTRA,1,
TO,PASTRAELCIMP19,TRAENE-PASTRA,1,
TO,PASTRAELCIMP20,TRAENE-PASTRA,1,
TO,PASTRAELCIMP21,TRAENE-PASTRA,1,
TO,PASTRAELCIMP22,TRAENE-PASTRA,1,
TO,PASTRAELCIMP23,TRAENE-PASTRA,1,
TO,PASTRAELCIMP24,TRAENE-PASTRA,1,
TO,PASTRAELCIMP25,TRAENE-PASTRA,1,
TO,PASTRAELCIMP26,TRAENE-PASTRA,1,
TO,PASTRAELCIMP27,TRAENE-PASTRA,1,
TO,PASTRAELCIMP28,TRAENE-PASTRA,1,
TO,PASTRAELCIMP29,TRAENE-PASTRA,1,
TO,PASTRAELCIMP30,TRAENE-PASTRA,1,
TO,PASTRAELCIMP31,TRAENE-PASTRA,1,
TO,PASTRAELCIMP32,TRAENE-PASTRA,1,
TO,PASTRAELCIMP33,TRAENE-PASTRA,1,
TO,PASTRAELCIMP34,TRAENE-PASTRA,1,
TO,PASTRAELCIMP35,TRAENE-PASTRA,1,
TO,PASTRAELCIMP36,TRAENE-PASTRA,1,
TO,PASTRAELCIMP37,TRAENE-PASTRA,1,
TO,PASTRAELCIMP38,TRAENE-PASTRA,1,
TO,PASTRAELCIMP39,TRAENE-PASTRA,1,
TO,PASTRAELCIMP40,TRAENE-PASTRA,1,
TO,PASTRAELCIMP41,TRAENE-PASTRA,1,
TO,PASTRAELCIMP42,TRAENE-PASTRA,1,
TO,PASTRAELCIMP43,TRAENE-PASTRA,1,
TO,PASTRAELCIMP44,TRAENE-PASTRA,1,
TO,PASTRAELCIMP45,TRAENE-PASTRA,1,
TO,PASTRAELCIMP46,TRAENE-PASTRA,1,
TO,PASTRAELCIMP47,TRAENE-PASTRA,1,
TO,PASTRAELCIMP48,TRAENE-PASTRA,1,
TO,PASTRAELCIMP49,TRAENE-PASTRA,1,
TO,PASTRAELCIMP50,TRAENE-PASTRA,1,
TO,PUBBDGELCIMP16,TRAENE-PUBBDG,1,
TO,PUBBDGELCIMP17,TRAENE-PUBBDG,1,
TO,PUBBDGELCIMP18,TRAENE-PUBBDG,1,
TO,PUBBDGELCIMP19,TRAENE-PUBBDG,1,
TO,PUBBDGELCIMP20,TRAENE-PUBBDG,1,
TO,PUBBDGELCIMP21,TRAENE-PUBBDG,1,
TO,PUBBDGELCIMP22,TRAENE-PUBBDG,1,
TO,PUBBDGELCIMP23,TRAENE-PUBBDG,1,
TO,PUBBDGELCIMP24,TRAENE-PUBBDG,1,
TO,PUBBDGELCIMP25,TRAENE-PUBBDG,1,
TO,PUBBDGELCIMP26,TRAENE-PUBBDG,1,
TO,PUBBDGELCIMP27,TRAENE-PUBBDG,1,
TO,PUBBDGELCIMP28,TRAENE-PUBBDG,1,
TO,PUBBDGELCIMP29,TRAENE-PUBBDG,1,
TO,PUBBDGELCIMP30,TRAENE-PUBBDG,1,
TO,PUBBDGELCIMP31,TRAENE-PUBBDG,1,
TO,PUBBDGELCIMP32,TRAENE-PUBBDG,1,
TO,PUBBDGELCIMP33,TRAENE-PUBBDG,1,
