COM,BDG,ICI,,,Old,,LI,FLU,___,STD,ELC,,EX,COMBDGICIOldLIFLU___STDELC_EX,CommercialBuildingInformation and Cultural IndustriesOldLightingFluorescenteStandard EfficiencyElectricity,COMBDG,Mlm,Mlm.y
COM,BDG,OFF,,,Old,,LI,FLU,___,STD,ELC,,EX,COMBDGOFFOldLIFLU___STDELC_EX,CommercialBuildingOfficesOldLightingFluorescenteStandard EfficiencyElectricity,COMBDG,Mlm,Mlm.y
COM,BDG,EDS,,,Old,,LI,FLU,___,STD,ELC,,EX,COMBDGEDSOldLIFLU___STDELC_EX,CommercialBuildingEducational ServicesOldLightingFluorescenteStandard EfficiencyElectricity,COMBDG,Mlm,Mlm.y
COM,BDG,HLC,,,Old,,LI,FLU,___,STD,ELC,,EX,COMBDGHLCOldLIFLU___STDELC_EX,CommercialBuildingHealth Care and Social AssistanceOldLightingFluorescenteStandard EfficiencyElectricity,COMBDG,Mlm,Mlm.y
COM,BDG,AER,,,Old,,LI,FLU,___,STD,ELC,,EX,COMBDGAEROldLIFLU___STDELC_EX,"CommercialBuildingArts, Entertainment and RecreationOldLightingFluorescenteStandard EfficiencyElectricity",COMBDG,Mlm,Mlm.y
COM,BDG,AFS,,,Old,,LI,FLU,___,STD,ELC,,EX,COMBDGAFSOldLIFLU___STDELC_EX,CommercialBuildingAccommodation and Food ServicesOldLightingFluorescenteStandard EfficiencyElectricity,COMBDG,Mlm,Mlm.y
COM,BDG,OTS,,,Old,,LI,FLU,___,STD,ELC,,EX,COMBDGOTSOldLIFLU___STDELC_EX,CommercialBuildingOther ServicesOldLightingFluorescenteStandard EfficiencyElectricity,COMBDG,Mlm,Mlm.y
COM,BDG,WST,,,Old,,LI,HAL,___,STD,ELC,,EX,COMBDGWSTOldLIHAL___STDELC_EX,CommercialBuildingWholesale TradeOldLightingHalogenStandard EfficiencyElectricity,COMBDG,Mlm,Mlm.y
COM,BDG,RTT,,,Old,,LI,HAL,___,STD,ELC,,EX,COMBDGRTTOldLIHAL___STDELC_EX,CommercialBuildingRetail TradeOldLightingHalogenStandard EfficiencyElectricity,COMBDG,Mlm,Mlm.y
COM,BDG,TAW,,,Old,,LI,HAL,___,STD,ELC,,EX,COMBDGTAWOldLIHAL___STDELC_EX,CommercialBuildingTransportation and WarehousingOldLightingHalogenStandard EfficiencyElectricity,COMBDG,Mlm,Mlm.y
