group_name,notes
BAU-ENE-1-FRETRA,BusinessAsUsualEnergyPolicy-1
BAU-ENE-1-LDITRA,BusinessAsUsualEnergyPolicy-1
BAU-ENE-1-PASTRA,BusinessAsUsualEnergyPolicy-1
BAU-ENE-1-PUBTRA,BusinessAsUsualEnergyPolicy-1
BAU-ENE-1-COMBDG,BusinessAsUsualEnergyPolicy-1
BAU-ENE-1-INDBDG,BusinessAsUsualEnergyPolicy-1
BAU-ENE-1-PUBBDG,BusinessAsUsualEnergyPolicy-1
BAU-ENE-1-RESBDG,BusinessAsUsualEnergyPolicy-1
