regions,tech,vintage,cost_invest,cost_invest_units,cost_invest_notes
TO,INDBDGIPSEP___WAH_23,2023,0,k$ / MW,IndustryBuildingIndustrial Processes
TO,INDBDGLIRET_23,2023,0,k$ / MW,IndustryBuildingLightingRetrofit
TO,INDBDGIPRET_23,2023,10000,k$ / MW,IndustryBuildingIndustrial ProcessesRetrofit
TO,INDBDGSCRET_23,2023,10000,k$ / MW,IndustryBuildingSpace CoolingRetrofit
TO,INDBDGSHRET_23,2023,10000,k$ / MW,IndustryBuildingSpace HeatingRetrofit
TO,INDBDGWHRET_23,2023,10000,k$ / MW,IndustryBuildingWater HeatingRetrofit
TO,INDBDGIPSEP___WAH_23,2024,0,k$ / MW,IndustryBuildingIndustrial Processes
TO,INDBDGLIRET_23,2024,0,k$ / MW,IndustryBuildingLightingRetrofit
TO,INDBDGIPRET_23,2024,10000,k$ / MW,IndustryBuildingIndustrial ProcessesRetrofit
TO,INDBDGSCRET_23,2024,10000,k$ / MW,IndustryBuildingSpace CoolingRetrofit
TO,INDBDGSHRET_23,2024,10000,k$ / MW,IndustryBuildingSpace HeatingRetrofit
TO,INDBDGWHRET_23,2024,10000,k$ / MW,IndustryBuildingWater HeatingRetrofit
TO,INDBDGIPSEP___WAH_23,2025,0,k$ / MW,IndustryBuildingIndustrial Processes
TO,INDBDGLIRET_23,2025,0,k$ / MW,IndustryBuildingLightingRetrofit
TO,INDBDGIPRET_23,2025,10000,k$ / MW,IndustryBuildingIndustrial ProcessesRetrofit
TO,INDBDGSCRET_23,2025,10000,k$ / MW,IndustryBuildingSpace CoolingRetrofit
TO,INDBDGSHRET_23,2025,10000,k$ / MW,IndustryBuildingSpace HeatingRetrofit
TO,INDBDGWHRET_23,2025,10000,k$ / MW,IndustryBuildingWater HeatingRetrofit
TO,INDBDGIPSEP___WAH_23,2026,0,k$ / MW,IndustryBuildingIndustrial Processes
TO,INDBDGLIRET_23,2026,0,k$ / MW,IndustryBuildingLightingRetrofit
TO,INDBDGIPRET_23,2026,10000,k$ / MW,IndustryBuildingIndustrial ProcessesRetrofit
TO,INDBDGSCRET_23,2026,10000,k$ / MW,IndustryBuildingSpace CoolingRetrofit
