regions,tech,growthrate_max,growthrate_max_notes
TO,INDBDGIPSEP___WAH_23,1.1,
TO,INDBDGLIRET_23,1.1,
TO,INDBDGIPRET_23,1.1,
TO,INDBDGSCRET_23,1.1,
TO,INDBDGSHRET_23,1.1,
TO,INDBDGWHRET_23,1.1,
