comm_name,flag,comm_desc
SEERESBDGAPAOldSHHEP___HIGGEOM,p,SecondaryEnergyMix for RESBDGAPAOldSHHEP___HIGGEO
SEERESBDGAPAOldSHHEP___ESRGEOM,p,SecondaryEnergyMix for RESBDGAPAOldSHHEP___ESRGEO
SEERESBDGAPAOldSHHEP___STDGEOM,p,SecondaryEnergyMix for RESBDGAPAOldSHHEP___STDGEO
SEERESBDGAPANewSHHEP___HIGGEOM,p,SecondaryEnergyMix for RESBDGAPANewSHHEP___HIGGEO
SEERESBDGAPANewSHHEP___ESRGEOM,p,SecondaryEnergyMix for RESBDGAPANewSHHEP___ESRGEO
SEERESBDGAPANewSHHEP___STDGEOM,p,SecondaryEnergyMix for RESBDGAPANewSHHEP___STDGEO
SEERESBDGSDEOldSHHEP___HIGGEOM,p,SecondaryEnergyMix for RESBDGSDEOldSHHEP___HIGGEO
SEERESBDGSDEOldSHHEP___ESRGEOM,p,SecondaryEnergyMix for RESBDGSDEOldSHHEP___ESRGEO
SEERESBDGSDEOldSHHEP___STDGEOM,p,SecondaryEnergyMix for RESBDGSDEOldSHHEP___STDGEO
SEERESBDGSDENewSHHEP___HIGGEOM,p,SecondaryEnergyMix for RESBDGSDENewSHHEP___HIGGEO
SEERESBDGSDENewSHHEP___ESRGEOM,p,SecondaryEnergyMix for RESBDGSDENewSHHEP___ESRGEO
SEERESBDGSDENewSHHEP___STDGEOM,p,SecondaryEnergyMix for RESBDGSDENewSHHEP___STDGEO
SEERESBDGSATOldSHHEP___HIGGEOM,p,SecondaryEnergyMix for RESBDGSATOldSHHEP___HIGGEO
SEERESBDGSATOldSHHEP___ESRGEOM,p,SecondaryEnergyMix for RESBDGSATOldSHHEP___ESRGEO
SEERESBDGSATOldSHHEP___STDGEOM,p,SecondaryEnergyMix for RESBDGSATOldSHHEP___STDGEO
SEERESBDGSATNewSHHEP___HIGGEOM,p,SecondaryEnergyMix for RESBDGSATNewSHHEP___HIGGEO
SEERESBDGSATNewSHHEP___ESRGEOM,p,SecondaryEnergyMix for RESBDGSATNewSHHEP___ESRGEO
SEERESBDGSATNewSHHEP___STDGEOM,p,SecondaryEnergyMix for RESBDGSATNewSHHEP___STDGEO
