regions,periods,tech,vintage,cost_variable,cost_variable_units,cost_variable_notes
TO,2023,PASTRAROABUSURBTBUCONVDSL____23,2023,0.53886348,k$/MVkm,PassengerTransportationRoadInter-city BusesUrban Bus TTC BusConventionnalDiesel2023
TO,2024,PASTRAROABUSURBTBUCONVDSL____23,2023,0.53886348,k$/MVkm,PassengerTransportationRoadInter-city BusesUrban Bus TTC BusConventionnalDiesel2023
TO,2024,PASTRAROABUSURBTBUCONVDSL____23,2024,0.53886348,k$/MVkm,PassengerTransportationRoadInter-city BusesUrban Bus TTC BusConventionnalDiesel2023
TO,2025,PASTRAROABUSURBTBUCONVDSL____23,2023,0.53886348,k$/MVkm,PassengerTransportationRoadInter-city BusesUrban Bus TTC BusConventionnalDiesel2023
TO,2025,PASTRAROABUSURBTBUCONVDSL____23,2024,0.53886348,k$/MVkm,PassengerTransportationRoadInter-city BusesUrban Bus TTC BusConventionnalDiesel2023
TO,2025,PASTRAROABUSURBTBUCONVDSL____23,2025,0.53886348,k$/MVkm,PassengerTransportationRoadInter-city BusesUrban Bus TTC BusConventionnalDiesel2023
TO,2026,PASTRAROABUSURBTBUCONVDSL____23,2023,0.53886348,k$/MVkm,PassengerTransportationRoadInter-city BusesUrban Bus TTC BusConventionnalDiesel2023
TO,2026,PASTRAROABUSURBTBUCONVDSL____23,2024,0.53886348,k$/MVkm,PassengerTransportationRoadInter-city BusesUrban Bus TTC BusConventionnalDiesel2023
TO,2026,PASTRAROABUSURBTBUCONVDSL____23,2025,0.53886348,k$/MVkm,PassengerTransportationRoadInter-city BusesUrban Bus TTC BusConventionnalDiesel2023
TO,2026,PASTRAROABUSURBTBUCONVDSL____23,2026,0.53886348,k$/MVkm,PassengerTransportationRoadInter-city BusesUrban Bus TTC BusConventionnalDiesel2023
TO,2027,PASTRAROABUSURBTBUCONVDSL____23,2023,0.53886348,k$/MVkm,PassengerTransportationRoadInter-city BusesUrban Bus TTC BusConventionnalDiesel2023
TO,2027,PASTRAROABUSURBTBUCONVDSL____23,2024,0.53886348,k$/MVkm,PassengerTransportationRoadInter-city BusesUrban Bus TTC BusConventionnalDiesel2023
TO,2027,PASTRAROABUSURBTBUCONVDSL____23,2025,0.53886348,k$/MVkm,PassengerTransportationRoadInter-city BusesUrban Bus TTC BusConventionnalDiesel2023
TO,2027,PASTRAROABUSURBTBUCONVDSL____23,2026,0.53886348,k$/MVkm,PassengerTransportationRoadInter-city BusesUrban Bus TTC BusConventionnalDiesel2023
TO,2027,PASTRAROABUSURBTBUCONVDSL____23,2027,0.53886348,k$/MVkm,PassengerTransportationRoadInter-city BusesUrban Bus TTC BusConventionnalDiesel2023
TO,2028,PASTRAROABUSURBTBUCONVDSL____23,2023,0.53886348,k$/MVkm,PassengerTransportationRoadInter-city BusesUrban Bus TTC BusConventionnalDiesel2023
TO,2028,PASTRAROABUSURBTBUCONVDSL____23,2024,0.53886348,k$/MVkm,PassengerTransportationRoadInter-city BusesUrban Bus TTC BusConventionnalDiesel2023
TO,2028,PASTRAROABUSURBTBUCONVDSL____23,2025,0.53886348,k$/MVkm,PassengerTransportationRoadInter-city BusesUrban Bus TTC BusConventionnalDiesel2023
TO,2028,PASTRAROABUSURBTBUCONVDSL____23,2026,0.53886348,k$/MVkm,PassengerTransportationRoadInter-city BusesUrban Bus TTC BusConventionnalDiesel2023
TO,2028,PASTRAROABUSURBTBUCONVDSL____23,2027,0.53886348,k$/MVkm,PassengerTransportationRoadInter-city BusesUrban Bus TTC BusConventionnalDiesel2023
TO,2028,PASTRAROABUSURBTBUCONVDSL____23,2028,0.53886348,k$/MVkm,PassengerTransportationRoadInter-city BusesUrban Bus TTC BusConventionnalDiesel2023
TO,2029,PASTRAROABUSURBTBUCONVDSL____23,2023,0.53886348,k$/MVkm,PassengerTransportationRoadInter-city BusesUrban Bus TTC BusConventionnalDiesel2023
TO,2029,PASTRAROABUSURBTBUCONVDSL____23,2024,0.53886348,k$/MVkm,PassengerTransportationRoadInter-city BusesUrban Bus TTC BusConventionnalDiesel2023
TO,2029,PASTRAROABUSURBTBUCONVDSL____23,2025,0.53886348,k$/MVkm,PassengerTransportationRoadInter-city BusesUrban Bus TTC BusConventionnalDiesel2023
TO,2029,PASTRAROABUSURBTBUCONVDSL____23,2026,0.53886348,k$/MVkm,PassengerTransportationRoadInter-city BusesUrban Bus TTC BusConventionnalDiesel2023
TO,2029,PASTRAROABUSURBTBUCONVDSL____23,2027,0.53886348,k$/MVkm,PassengerTransportationRoadInter-city BusesUrban Bus TTC BusConventionnalDiesel2023
TO,2029,PASTRAROABUSURBTBUCONVDSL____23,2028,0.53886348,k$/MVkm,PassengerTransportationRoadInter-city BusesUrban Bus TTC BusConventionnalDiesel2023
TO,2029,PASTRAROABUSURBTBUCONVDSL____23,2029,0.53886348,k$/MVkm,PassengerTransportationRoadInter-city BusesUrban Bus TTC BusConventionnalDiesel2023
TO,2030,PASTRAROABUSURBTBUCONVDSL____23,2023,0.53886348,k$/MVkm,PassengerTransportationRoadInter-city BusesUrban Bus TTC BusConventionnalDiesel2023
TO,2030,PASTRAROABUSURBTBUCONVDSL____23,2024,0.53886348,k$/MVkm,PassengerTransportationRoadInter-city BusesUrban Bus TTC BusConventionnalDiesel2023
TO,2030,PASTRAROABUSURBTBUCONVDSL____23,2025,0.53886348,k$/MVkm,PassengerTransportationRoadInter-city BusesUrban Bus TTC BusConventionnalDiesel2023
TO,2030,PASTRAROABUSURBTBUCONVDSL____23,2026,0.53886348,k$/MVkm,PassengerTransportationRoadInter-city BusesUrban Bus TTC BusConventionnalDiesel2023
TO,2030,PASTRAROABUSURBTBUCONVDSL____23,2027,0.53886348,k$/MVkm,PassengerTransportationRoadInter-city BusesUrban Bus TTC BusConventionnalDiesel2023
TO,2030,PASTRAROABUSURBTBUCONVDSL____23,2028,0.53886348,k$/MVkm,PassengerTransportationRoadInter-city BusesUrban Bus TTC BusConventionnalDiesel2023
TO,2030,PASTRAROABUSURBTBUCONVDSL____23,2029,0.53886348,k$/MVkm,PassengerTransportationRoadInter-city BusesUrban Bus TTC BusConventionnalDiesel2023
TO,2030,PASTRAROABUSURBTBUCONVDSL____23,2030,0.53886348,k$/MVkm,PassengerTransportationRoadInter-city BusesUrban Bus TTC BusConventionnalDiesel2023
TO,2031,PASTRAROABUSURBTBUCONVDSL____23,2023,0.53886348,k$/MVkm,PassengerTransportationRoadInter-city BusesUrban Bus TTC BusConventionnalDiesel2023
TO,2031,PASTRAROABUSURBTBUCONVDSL____23,2024,0.53886348,k$/MVkm,PassengerTransportationRoadInter-city BusesUrban Bus TTC BusConventionnalDiesel2023
TO,2031,PASTRAROABUSURBTBUCONVDSL____23,2025,0.53886348,k$/MVkm,PassengerTransportationRoadInter-city BusesUrban Bus TTC BusConventionnalDiesel2023
TO,2031,PASTRAROABUSURBTBUCONVDSL____23,2026,0.53886348,k$/MVkm,PassengerTransportationRoadInter-city BusesUrban Bus TTC BusConventionnalDiesel2023
TO,2031,PASTRAROABUSURBTBUCONVDSL____23,2027,0.53886348,k$/MVkm,PassengerTransportationRoadInter-city BusesUrban Bus TTC BusConventionnalDiesel2023
TO,2031,PASTRAROABUSURBTBUCONVDSL____23,2028,0.53886348,k$/MVkm,PassengerTransportationRoadInter-city BusesUrban Bus TTC BusConventionnalDiesel2023
TO,2031,PASTRAROABUSURBTBUCONVDSL____23,2029,0.53886348,k$/MVkm,PassengerTransportationRoadInter-city BusesUrban Bus TTC BusConventionnalDiesel2023
TO,2031,PASTRAROABUSURBTBUCONVDSL____23,2030,0.53886348,k$/MVkm,PassengerTransportationRoadInter-city BusesUrban Bus TTC BusConventionnalDiesel2023
TO,2031,PASTRAROABUSURBTBUCONVDSL____23,2031,0.53886348,k$/MVkm,PassengerTransportationRoadInter-city BusesUrban Bus TTC BusConventionnalDiesel2023
TO,2032,PASTRAROABUSURBTBUCONVDSL____23,2023,0.53886348,k$/MVkm,PassengerTransportationRoadInter-city BusesUrban Bus TTC BusConventionnalDiesel2023
TO,2032,PASTRAROABUSURBTBUCONVDSL____23,2024,0.53886348,k$/MVkm,PassengerTransportationRoadInter-city BusesUrban Bus TTC BusConventionnalDiesel2023
