regions,periods,tech,minact,minact_units,minact_notes
TO,2017,PASTRARAIREG___GOR___ELC____16,0.0,,
TO,2017,PASTRARAIREG___UPX___DSL____16,0.0,,
TO,2017,PASTRARAIREG___UPX___ELC____16,0.0,,
TO,2017,PASTRARAISUB___TSU___DSL____16,0.0,,
TO,2017,PASTRARAISUB___TSU___ELC____16,0.1,,
TO,2017,PASTRARAITRM___TST___DSL____16,0.0,,
TO,2017,PASTRARAITRM___TST___ELC____16,0.1,,
TO,2017,PASTRAROABUSIUBDURTCONVDSL____16,0.0,,
TO,2017,PASTRAROABUSIUBGOBCONVDSL____16,0.0,,
TO,2017,PASTRAROABUSIUBMWAYCONVDSL____16,0.0,,
TO,2017,PASTRAROABUSIUBVIVACONVDSL____16,0.0,,
TO,2017,PASTRAROABUSSCB___CONVDSL____16,0.0,,
TO,2017,PASTRAROABUSURBTBUCONVDSL____16,0.4,,
TO,2017,PASTRAROABUSURBWTBCONVDSL____16,0.0,,
TO,2017,PASTRAROACAR___ADRCONVDSL____16,0.5,,
TO,2017,PASTRAROACAR___APGCONVDSL____16,0.1,,
TO,2017,PASTRAROACAR___RSHCONVDSL____16,0.0,,
TO,2017,PASTRAROACAR___TAXCONVDSL____16,0.0,,
TO,2017,PASTRAROATRULGTADRCONVDSL____16,0.4,,
TO,2017,PASTRAROATRULGTAPGCONVDSL____16,0.0,,
TO,2017,PASTRAROATRULGTRSHCONVDSL____16,0.0,,
TO,2017,PASTRAROATRULGTTAXCONVDSL____16,0.0,,
TO,2017,PASTRAROABUSSCB___CONVNGA____16,0.0,,
TO,2017,PASTRAROABUSURBTBUCONVNGA____16,0.0,,
TO,2017,PASTRAROABUSURBWTBCONVNGA____16,0.0,,
TO,2017,PASTRAROACAR___ADRCONVNGA____16,0.0,,
TO,2017,PASTRAROACAR___APGCONVNGA____16,0.0,,
TO,2017,PASTRAROACAR___RSHCONVNGA____16,0.0,,
TO,2017,PASTRAROACAR___TAXCONVNGA____16,0.0,,
TO,2017,PASTRAROATRULGTADRCONVNGA____16,0.0,,
TO,2017,PASTRAROATRULGTAPGCONVNGA____16,0.0,,
