regions,tech,vintage,cost_invest,cost_invest_units,cost_invest_notes
TO,PASTRAROABUSIUBGOBCATEDSLELC_25,2025,190666.5752,k$/kunits,PassengerTransportationRoadInter-city BusesInter Urban BusGo BusCatenaryDieselElectricity2025
TO,PASTRAROABUSIUBGOBCATEDSLELC_25,2026,189953.5205,k$/kunits,PassengerTransportationRoadInter-city BusesInter Urban BusGo BusCatenaryDieselElectricity2025
TO,PASTRAROABUSIUBGOBCATEDSLELC_25,2027,189271.1037,k$/kunits,PassengerTransportationRoadInter-city BusesInter Urban BusGo BusCatenaryDieselElectricity2025
TO,PASTRAROABUSIUBGOBCATEDSLELC_25,2028,188617.8002,k$/kunits,PassengerTransportationRoadInter-city BusesInter Urban BusGo BusCatenaryDieselElectricity2025
TO,PASTRAROABUSIUBGOBCATEDSLELC_25,2029,187992.1681,k$/kunits,PassengerTransportationRoadInter-city BusesInter Urban BusGo BusCatenaryDieselElectricity2025
TO,PASTRAROABUSIUBGOBCATEDSLELC_25,2030,187392.8436,k$/kunits,PassengerTransportationRoadInter-city BusesInter Urban BusGo BusCatenaryDieselElectricity2025
TO,PASTRAROABUSIUBGOBCATEDSLELC_25,2031,186818.5363,k$/kunits,PassengerTransportationRoadInter-city BusesInter Urban BusGo BusCatenaryDieselElectricity2025
TO,PASTRAROABUSIUBGOBCATEDSLELC_25,2032,186268.0252,k$/kunits,PassengerTransportationRoadInter-city BusesInter Urban BusGo BusCatenaryDieselElectricity2025
TO,PASTRAROABUSIUBGOBCATEDSLELC_25,2033,185740.1549,k$/kunits,PassengerTransportationRoadInter-city BusesInter Urban BusGo BusCatenaryDieselElectricity2025
TO,PASTRAROABUSIUBGOBCATEDSLELC_25,2034,185233.8316,k$/kunits,PassengerTransportationRoadInter-city BusesInter Urban BusGo BusCatenaryDieselElectricity2025
TO,PASTRAROABUSIUBGOBCATEDSLELC_25,2035,184748.0198,k$/kunits,PassengerTransportationRoadInter-city BusesInter Urban BusGo BusCatenaryDieselElectricity2025
TO,PASTRAROABUSIUBGOBCATEDSLELC_25,2036,184317.23,k$/kunits,PassengerTransportationRoadInter-city BusesInter Urban BusGo BusCatenaryDieselElectricity2025
TO,PASTRAROABUSIUBGOBCATEDSLELC_25,2037,183886.4402,k$/kunits,PassengerTransportationRoadInter-city BusesInter Urban BusGo BusCatenaryDieselElectricity2025
TO,PASTRAROABUSIUBGOBCATEDSLELC_25,2038,183455.6503,k$/kunits,PassengerTransportationRoadInter-city BusesInter Urban BusGo BusCatenaryDieselElectricity2025
TO,PASTRAROABUSIUBGOBCATEDSLELC_25,2039,183024.8605,k$/kunits,PassengerTransportationRoadInter-city BusesInter Urban BusGo BusCatenaryDieselElectricity2025
TO,PASTRAROABUSIUBGOBCATEDSLELC_25,2040,182594.0707,k$/kunits,PassengerTransportationRoadInter-city BusesInter Urban BusGo BusCatenaryDieselElectricity2025
TO,PASTRAROABUSIUBGOBCATEDSLELC_25,2041,182240.4254,k$/kunits,PassengerTransportationRoadInter-city BusesInter Urban BusGo BusCatenaryDieselElectricity2025
TO,PASTRAROABUSIUBGOBCATEDSLELC_25,2042,181886.78,k$/kunits,PassengerTransportationRoadInter-city BusesInter Urban BusGo BusCatenaryDieselElectricity2025
TO,PASTRAROABUSIUBGOBCATEDSLELC_25,2043,181533.1347,k$/kunits,PassengerTransportationRoadInter-city BusesInter Urban BusGo BusCatenaryDieselElectricity2025
TO,PASTRAROABUSIUBGOBCATEDSLELC_25,2044,181179.4893,k$/kunits,PassengerTransportationRoadInter-city BusesInter Urban BusGo BusCatenaryDieselElectricity2025
TO,PASTRAROABUSIUBGOBCATEDSLELC_25,2045,180825.844,k$/kunits,PassengerTransportationRoadInter-city BusesInter Urban BusGo BusCatenaryDieselElectricity2025
TO,PASTRAROABUSIUBGOBCATEDSLELC_25,2046,180533.2438,k$/kunits,PassengerTransportationRoadInter-city BusesInter Urban BusGo BusCatenaryDieselElectricity2025
TO,PASTRAROABUSIUBGOBCATEDSLELC_25,2047,180240.6435,k$/kunits,PassengerTransportationRoadInter-city BusesInter Urban BusGo BusCatenaryDieselElectricity2025
TO,PASTRAROABUSIUBGOBCATEDSLELC_25,2048,179948.0433,k$/kunits,PassengerTransportationRoadInter-city BusesInter Urban BusGo BusCatenaryDieselElectricity2025
TO,PASTRAROABUSIUBGOBCATEDSLELC_25,2049,179655.443,k$/kunits,PassengerTransportationRoadInter-city BusesInter Urban BusGo BusCatenaryDieselElectricity2025
TO,PASTRAROABUSIUBGOBCATEDSLELC_25,2050,179362.8428,k$/kunits,PassengerTransportationRoadInter-city BusesInter Urban BusGo BusCatenaryDieselElectricity2025
TO,PASTRAROABUSIUBGOBCONVDSL____23,2023,162607.31,k$/kunits,PassengerTransportationRoadInter-city BusesInter Urban BusGo BusConventionnalDiesel2023
TO,PASTRAROABUSIUBGOBCONVDSL____23,2024,162607.31,k$/kunits,PassengerTransportationRoadInter-city BusesInter Urban BusGo BusConventionnalDiesel2023
TO,PASTRAROABUSIUBGOBCONVDSL____23,2025,162607.31,k$/kunits,PassengerTransportationRoadInter-city BusesInter Urban BusGo BusConventionnalDiesel2023
TO,PASTRAROABUSIUBGOBCONVDSL____23,2026,162607.31,k$/kunits,PassengerTransportationRoadInter-city BusesInter Urban BusGo BusConventionnalDiesel2023
TO,PASTRAROABUSIUBGOBCONVDSL____23,2027,162607.31,k$/kunits,PassengerTransportationRoadInter-city BusesInter Urban BusGo BusConventionnalDiesel2023
TO,PASTRAROABUSIUBGOBCONVDSL____23,2028,162607.31,k$/kunits,PassengerTransportationRoadInter-city BusesInter Urban BusGo BusConventionnalDiesel2023
TO,PASTRAROABUSIUBGOBCONVDSL____23,2029,162607.31,k$/kunits,PassengerTransportationRoadInter-city BusesInter Urban BusGo BusConventionnalDiesel2023
TO,PASTRAROABUSIUBGOBCONVDSL____23,2030,162607.31,k$/kunits,PassengerTransportationRoadInter-city BusesInter Urban BusGo BusConventionnalDiesel2023
TO,PASTRAROABUSIUBGOBCONVDSL____23,2031,162607.31,k$/kunits,PassengerTransportationRoadInter-city BusesInter Urban BusGo BusConventionnalDiesel2023
TO,PASTRAROABUSIUBGOBCONVDSL____23,2032,162607.31,k$/kunits,PassengerTransportationRoadInter-city BusesInter Urban BusGo BusConventionnalDiesel2023
TO,PASTRAROABUSIUBGOBCONVDSL____23,2033,162607.31,k$/kunits,PassengerTransportationRoadInter-city BusesInter Urban BusGo BusConventionnalDiesel2023
TO,PASTRAROABUSIUBGOBCONVDSL____23,2034,162607.31,k$/kunits,PassengerTransportationRoadInter-city BusesInter Urban BusGo BusConventionnalDiesel2023
TO,PASTRAROABUSIUBGOBCONVDSL____23,2035,162607.31,k$/kunits,PassengerTransportationRoadInter-city BusesInter Urban BusGo BusConventionnalDiesel2023
TO,PASTRAROABUSIUBGOBCONVDSL____23,2036,162607.31,k$/kunits,PassengerTransportationRoadInter-city BusesInter Urban BusGo BusConventionnalDiesel2023
TO,PASTRAROABUSIUBGOBCONVDSL____23,2037,162607.31,k$/kunits,PassengerTransportationRoadInter-city BusesInter Urban BusGo BusConventionnalDiesel2023
TO,PASTRAROABUSIUBGOBCONVDSL____23,2038,162607.31,k$/kunits,PassengerTransportationRoadInter-city BusesInter Urban BusGo BusConventionnalDiesel2023
TO,PASTRAROABUSIUBGOBCONVDSL____23,2039,162607.31,k$/kunits,PassengerTransportationRoadInter-city BusesInter Urban BusGo BusConventionnalDiesel2023
TO,PASTRAROABUSIUBGOBCONVDSL____23,2040,162607.31,k$/kunits,PassengerTransportationRoadInter-city BusesInter Urban BusGo BusConventionnalDiesel2023
TO,PASTRAROABUSIUBGOBCONVDSL____23,2041,162607.31,k$/kunits,PassengerTransportationRoadInter-city BusesInter Urban BusGo BusConventionnalDiesel2023
TO,PASTRAROABUSIUBGOBCONVDSL____23,2042,162607.31,k$/kunits,PassengerTransportationRoadInter-city BusesInter Urban BusGo BusConventionnalDiesel2023
TO,PASTRAROABUSIUBGOBCONVDSL____23,2043,162607.31,k$/kunits,PassengerTransportationRoadInter-city BusesInter Urban BusGo BusConventionnalDiesel2023
TO,PASTRAROABUSIUBGOBCONVDSL____23,2044,162607.31,k$/kunits,PassengerTransportationRoadInter-city BusesInter Urban BusGo BusConventionnalDiesel2023
TO,PASTRAROABUSIUBGOBCONVDSL____23,2045,162607.31,k$/kunits,PassengerTransportationRoadInter-city BusesInter Urban BusGo BusConventionnalDiesel2023
TO,PASTRAROABUSIUBGOBCONVDSL____23,2046,162607.31,k$/kunits,PassengerTransportationRoadInter-city BusesInter Urban BusGo BusConventionnalDiesel2023
TO,PASTRAROABUSIUBGOBCONVDSL____23,2047,162607.31,k$/kunits,PassengerTransportationRoadInter-city BusesInter Urban BusGo BusConventionnalDiesel2023
TO,PASTRAROABUSIUBGOBCONVDSL____23,2048,162607.31,k$/kunits,PassengerTransportationRoadInter-city BusesInter Urban BusGo BusConventionnalDiesel2023
TO,PASTRAROABUSIUBGOBCONVDSL____23,2049,162607.31,k$/kunits,PassengerTransportationRoadInter-city BusesInter Urban BusGo BusConventionnalDiesel2023
TO,PASTRAROABUSIUBGOBCONVDSL____23,2050,162607.31,k$/kunits,PassengerTransportationRoadInter-city BusesInter Urban BusGo BusConventionnalDiesel2023
TO,PASTRAROABUSIUBGOBHYBDSL____23,2023,150549.3962,k$/kunits,PassengerTransportationRoadInter-city BusesInter Urban BusGo BusHybridDiesel2023
TO,PASTRAROABUSIUBGOBHYBDSL____23,2024,154844.9052,k$/kunits,PassengerTransportationRoadInter-city BusesInter Urban BusGo BusHybridDiesel2023
TO,PASTRAROABUSIUBGOBHYBDSL____23,2025,159140.4142,k$/kunits,PassengerTransportationRoadInter-city BusesInter Urban BusGo BusHybridDiesel2023
TO,PASTRAROABUSIUBGOBHYBDSL____23,2026,160233.3924,k$/kunits,PassengerTransportationRoadInter-city BusesInter Urban BusGo BusHybridDiesel2023
TO,PASTRAROABUSIUBGOBHYBDSL____23,2027,161326.3707,k$/kunits,PassengerTransportationRoadInter-city BusesInter Urban BusGo BusHybridDiesel2023
TO,PASTRAROABUSIUBGOBHYBDSL____23,2028,162419.3489,k$/kunits,PassengerTransportationRoadInter-city BusesInter Urban BusGo BusHybridDiesel2023
TO,PASTRAROABUSIUBGOBHYBDSL____23,2029,163512.3271,k$/kunits,PassengerTransportationRoadInter-city BusesInter Urban BusGo BusHybridDiesel2023
TO,PASTRAROABUSIUBGOBHYBDSL____23,2030,164605.3054,k$/kunits,PassengerTransportationRoadInter-city BusesInter Urban BusGo BusHybridDiesel2023
TO,PASTRAROABUSIUBGOBHYBDSL____23,2031,164072.2438,k$/kunits,PassengerTransportationRoadInter-city BusesInter Urban BusGo BusHybridDiesel2023
TO,PASTRAROABUSIUBGOBHYBDSL____23,2032,163539.1821,k$/kunits,PassengerTransportationRoadInter-city BusesInter Urban BusGo BusHybridDiesel2023
TO,PASTRAROABUSIUBGOBHYBDSL____23,2033,163006.1205,k$/kunits,PassengerTransportationRoadInter-city BusesInter Urban BusGo BusHybridDiesel2023
TO,PASTRAROABUSIUBGOBHYBDSL____23,2034,162473.0589,k$/kunits,PassengerTransportationRoadInter-city BusesInter Urban BusGo BusHybridDiesel2023
TO,PASTRAROABUSIUBGOBHYBDSL____23,2035,161939.9973,k$/kunits,PassengerTransportationRoadInter-city BusesInter Urban BusGo BusHybridDiesel2023
TO,PASTRAROABUSIUBGOBHYBDSL____23,2036,162134.4722,k$/kunits,PassengerTransportationRoadInter-city BusesInter Urban BusGo BusHybridDiesel2023
TO,PASTRAROABUSIUBGOBHYBDSL____23,2037,162328.9471,k$/kunits,PassengerTransportationRoadInter-city BusesInter Urban BusGo BusHybridDiesel2023
TO,PASTRAROABUSIUBGOBHYBDSL____23,2038,162523.4221,k$/kunits,PassengerTransportationRoadInter-city BusesInter Urban BusGo BusHybridDiesel2023
TO,PASTRAROABUSIUBGOBHYBDSL____23,2039,162717.897,k$/kunits,PassengerTransportationRoadInter-city BusesInter Urban BusGo BusHybridDiesel2023
TO,PASTRAROABUSIUBGOBHYBDSL____23,2040,162912.3719,k$/kunits,PassengerTransportationRoadInter-city BusesInter Urban BusGo BusHybridDiesel2023
TO,PASTRAROABUSIUBGOBHYBDSL____23,2041,163106.8468,k$/kunits,PassengerTransportationRoadInter-city BusesInter Urban BusGo BusHybridDiesel2023
TO,PASTRAROABUSIUBGOBHYBDSL____23,2042,163301.3217,k$/kunits,PassengerTransportationRoadInter-city BusesInter Urban BusGo BusHybridDiesel2023
TO,PASTRAROABUSIUBGOBHYBDSL____23,2043,163495.7967,k$/kunits,PassengerTransportationRoadInter-city BusesInter Urban BusGo BusHybridDiesel2023
TO,PASTRAROABUSIUBGOBHYBDSL____23,2044,163690.2716,k$/kunits,PassengerTransportationRoadInter-city BusesInter Urban BusGo BusHybridDiesel2023
TO,PASTRAROABUSIUBGOBHYBDSL____23,2045,163884.7465,k$/kunits,PassengerTransportationRoadInter-city BusesInter Urban BusGo BusHybridDiesel2023
TO,PASTRAROABUSIUBGOBHYBDSL____23,2046,164079.2214,k$/kunits,PassengerTransportationRoadInter-city BusesInter Urban BusGo BusHybridDiesel2023
TO,PASTRAROABUSIUBGOBHYBDSL____23,2047,164273.6963,k$/kunits,PassengerTransportationRoadInter-city BusesInter Urban BusGo BusHybridDiesel2023
TO,PASTRAROABUSIUBGOBHYBDSL____23,2048,164468.1713,k$/kunits,PassengerTransportationRoadInter-city BusesInter Urban BusGo BusHybridDiesel2023
TO,PASTRAROABUSIUBGOBHYBDSL____23,2049,164662.6462,k$/kunits,PassengerTransportationRoadInter-city BusesInter Urban BusGo BusHybridDiesel2023
TO,PASTRAROABUSIUBGOBHYBDSL____23,2050,164857.1211,k$/kunits,PassengerTransportationRoadInter-city BusesInter Urban BusGo BusHybridDiesel2023
TO,PASTRAROABUSIUBGOBPHEVDSLELC_23,2023,185162.7668,k$/kunits,PassengerTransportationRoadInter-city BusesInter Urban BusGo BusPlug Hybrid VehicleDieselElectricity2023
