regions,vintage,tech,group_name,max_share_g,tech_desc
TO,2040,RESBDGSATNewSHFUR___HIGPRO_23,NZ40-BDG-2-RESBDG,0,
TO,2040,RESBDGSATNewWHSTHBCKSTDNGA_23,NZ40-BDG-2-RESBDG,0,
TO,2040,RESBDGAPAOldWHSYS___STDPRO_23,NZ40-BDG-2-RESBDG,0,
TO,2040,RESBDGAPANewSHFUR___STDNGA_23,NZ40-BDG-2-RESBDG,0,
TO,2040,RESBDGSATOldWHWTK___STDNGA_23,NZ40-BDG-2-RESBDG,0,
TO,2040,RESBDGSATNewSHFUR___ESRPRO_23,NZ40-BDG-2-RESBDG,0,
TO,2040,RESBDGSDEOldWHWTK___STDNGA_23,NZ40-BDG-2-RESBDG,0,
TO,2040,RESBDGSATNewRAG______HIGNGA_23,NZ40-BDG-2-RESBDG,0,
TO,2040,RESBDGSATNewSHFUR___STDPRO_23,NZ40-BDG-2-RESBDG,0,
TO,2040,RESBDGSATNewSHFUR___STDLFO_23,NZ40-BDG-2-RESBDG,0,
TO,2040,RESBDGSATNewSHFUR___STDKER_23,NZ40-BDG-2-RESBDG,0,
TO,2040,RESBDGSDENewWHSTHBCKSTDNGA_23,NZ40-BDG-2-RESBDG,0,
TO,2040,RESBDGAPAOldWHWTK___STDNGA_23,NZ40-BDG-2-RESBDG,0,
TO,2040,RESBDGSDENewSHFUR___HIGPRO_23,NZ40-BDG-2-RESBDG,0,
TO,2040,RESBDGSATNewSHFUR___HIGLFO_23,NZ40-BDG-2-RESBDG,0,
TO,2040,RESBDGSATOldWHSTHBCKSTDNGA_23,NZ40-BDG-2-RESBDG,0,
TO,2040,RESBDGSDENewRAG______HIGNGA_23,NZ40-BDG-2-RESBDG,0,
TO,2040,RESBDGSATNewSHFIR___STDPRO_23,NZ40-BDG-2-RESBDG,0,
TO,2040,RESBDGAPANewSHFUR___HIGPRO_23,NZ40-BDG-2-RESBDG,0,
TO,2040,RESBDGSATNewSHHEP___STDNGA_23,NZ40-BDG-2-RESBDG,0,
TO,2040,RESBDGSATNewSHFIR___HIGPRO_23,NZ40-BDG-2-RESBDG,0,
TO,2040,RESBDGSDENewSHFUR___ESRPRO_23,NZ40-BDG-2-RESBDG,0,
TO,2040,RESBDGSATNewSHPST___STDBWP_23,NZ40-BDG-2-RESBDG,0,
TO,2040,RESBDGSATNewSHPST___HIGBWP_23,NZ40-BDG-2-RESBDG,0,
TO,2040,RESBDGSDEOldWHSTHBCKSTDNGA_23,NZ40-BDG-2-RESBDG,0,
TO,2040,RESBDGAPANewWHSTHBCKSTDNGA_23,NZ40-BDG-2-RESBDG,0,
TO,2040,RESBDGSATOldSHFUR___ESRNGA_23,NZ40-BDG-2-RESBDG,0,
TO,2040,RESBDGSATNewSHSTV___STDBMA_23,NZ40-BDG-2-RESBDG,0,
TO,2040,RESBDGSATNewSHSTV___HIGBMA_23,NZ40-BDG-2-RESBDG,0,
TO,2040,RESBDGSDENewSHFUR___STDPRO_23,NZ40-BDG-2-RESBDG,0,
TO,2040,RESBDGSDENewSHFUR___STDLFO_23,NZ40-BDG-2-RESBDG,0,
TO,2040,RESBDGSATOldSHFUR___STDNGA_23,NZ40-BDG-2-RESBDG,0,
TO,2040,RESBDGAPAOldWHSTHBCKSTDNGA_23,NZ40-BDG-2-RESBDG,0,
TO,2040,RESBDGSDENewSHFUR___STDKER_23,NZ40-BDG-2-RESBDG,0,
TO,2040,RESBDGAPANewSHFUR___ESRPRO_23,NZ40-BDG-2-RESBDG,0,
TO,2040,RESBDGAPAOldSHFUR___ESRNGA_23,NZ40-BDG-2-RESBDG,0,
TO,2040,RESBDGAPAOldSHFUR___STDNGA_23,NZ40-BDG-2-RESBDG,0,
TO,2040,RESBDGSDEOldSHFUR___ESRNGA_23,NZ40-BDG-2-RESBDG,0,
TO,2040,RESBDGSATOldRAG______HIGNGA_23,NZ40-BDG-2-RESBDG,0,
TO,2040,RESBDGAPANewSHFUR___STDPRO_23,NZ40-BDG-2-RESBDG,0,
TO,2040,RESBDGAPANewSHFUR___STDLFO_23,NZ40-BDG-2-RESBDG,0,
TO,2040,RESBDGSDEOldSHFUR___STDNGA_23,NZ40-BDG-2-RESBDG,0,
TO,2040,RESBDGSATNewSHHEP___STDGEO_23,NZ40-BDG-2-RESBDG,0,
TO,2040,RESBDGAPANewSHFUR___STDKER_23,NZ40-BDG-2-RESBDG,0,
TO,2040,RESBDGSATNewSHHEP___ESRGEO_23,NZ40-BDG-2-RESBDG,0,
TO,2040,RESBDGSDENewSHHEP___STDNGA_23,NZ40-BDG-2-RESBDG,0,
TO,2040,RESBDGSATNewSHHEP___HIGGEO_23,NZ40-BDG-2-RESBDG,0,
TO,2040,RESBDGSATOldSHFUR___ESRPRO_23,NZ40-BDG-2-RESBDG,0,
TO,2040,RESBDGSDENewSHFUR___HIGLFO_23,NZ40-BDG-2-RESBDG,0,
TO,2040,RESBDGAPANewRAG______HIGNGA_23,NZ40-BDG-2-RESBDG,0,
TO,2040,RESBDGSDEOldRAG______HIGNGA_23,NZ40-BDG-2-RESBDG,0,
TO,2040,RESBDGSDENewSHFIR___STDPRO_23,NZ40-BDG-2-RESBDG,0,
