Marginal abatement cost of GHG emission  per period (k$/tCO2e)
Period,Marginal_Costs
2025,-0.7514026569999509
2030,-1.5330275693032933
2035,-2.267112519987624
2040,-2.6205692638061007
2045,-1.833236516043661
2050,-0.4038865450568562
