"Discounted Investment and fixed Costs for waste sector by end use, per vintage. (k CAD 2016)"
vintage,sector,Cost_type,Cost,EndUse,Treatment_Plant,Tech_type_1,Tech_type_2,Efficiency,Energy_cat,Costs
2000,Water Waste,FixedCosts,Discounted,Waste water,Ahsbridges Bay Wastewater Treatment Plant,Anaerobic Digester,,,Mix Natural gas,164403.38300154102
2000,Water Waste,FixedCosts,Discounted,Waste water,Humber Wastewater Treatment Plant,Anaerobic Digester,,,Mix Natural gas,91555.51895197398
2000,Water Waste,FixedCosts,Discounted,Waste water,Highland Creek Waterwater Treatment Plant,Anaerobic Digester,,,Mix Natural gas,34109.15496812526
2000,Water Waste,FixedCosts,Undiscounted,Waste water,Ahsbridges Bay Wastewater Treatment Plant,Anaerobic Digester,,,Mix Natural gas,197821.7617546438
2000,Water Waste,FixedCosts,Undiscounted,Waste water,Humber Wastewater Treatment Plant,Anaerobic Digester,,,Mix Natural gas,110166.06669991944
2000,Water Waste,FixedCosts,Undiscounted,Waste water,Highland Creek Waterwater Treatment Plant,Anaerobic Digester,,,Mix Natural gas,41042.54428689859
2015,Solid Waste,FixedCosts,Discounted,Green Bin,Compost,Biogas generation,,,,79154.54485358644
2015,Solid Waste,FixedCosts,Discounted,Green Bin,Compost,Leaking,,,,0.0
2015,Solid Waste,FixedCosts,Discounted,Green Bin,Dufferin,Anaerobic Digester,,,Mix Natural gas,59177.62987243984
2015,Solid Waste,FixedCosts,Discounted,Green Bin,Dufferin,Flaring,,,,0.0
2015,Solid Waste,FixedCosts,Discounted,Green Bin,Dufferin,Tons to Energy,,,,6086.255085692477
2015,Solid Waste,FixedCosts,Discounted,Green Bin,Dufferin,Export of energy,,,,0.0
2015,Solid Waste,FixedCosts,Discounted,Green Bin,Disco Road,Anaerobic Digester,,,Mix Natural gas,55854.87147632866
2015,Solid Waste,FixedCosts,Discounted,Green Bin,Disco Road,Flaring,,,,0.0
2015,Solid Waste,FixedCosts,Discounted,Green Bin,Disco Road,Tons to Energy,,,,8299.438753217015
2015,Solid Waste,FixedCosts,Discounted,Green Bin,Disco Road,Export of energy,,,,0.0
2015,Solid Waste,FixedCosts,Discounted,Landfill,MI - Arbor Hills,Biogas capture,,,,2510.343464642533
2015,Solid Waste,FixedCosts,Discounted,Landfill,MI - Arbor Hills,Flaring,,,,0.0
