tech,flag,sector,tech_desc,tech_category
PUBTRAFLE,p,PUBTRA,PublicTransportationFleet Services,
PUBTRAPOL,p,PUBTRA,PublicTransportationPolice Services,
PUBTRATHC,p,PUBTRA,PublicTransportationToronto Housing Company,
