comm_name,flag,comm_desc
ADEMPUBTRAPOL,d,Aggregated DemandPublicTransportationPolice Services
ADEMPUBTRAFLE,d,Aggregated DemandPublicTransportationFleet Services
ADEMPUBTRATHC,d,Aggregated DemandPublicTransportationToronto Housing Company
ADEMPUBTRAFLEMAR______,p,Aggregated DemandPublicTransportationFleet ServicesMarine
ADEMPUBTRAFLEROATRUHET,p,Aggregated DemandPublicTransportationFleet ServicesRoadTruckHeavy Trucks
ADEMPUBTRAFLEROATRULGT,p,Aggregated DemandPublicTransportationFleet ServicesRoadTruckPassenger Light Trucks
ADEMPUBTRAFLEROATRUMET,p,Aggregated DemandPublicTransportationFleet ServicesRoadTruckMedium Trucks
ADEMPUBTRAFLEROACAR___,p,Aggregated DemandPublicTransportationFleet ServicesRoadCars
ADEMPUBTRAFLEROAMOR___,p,Aggregated DemandPublicTransportationFleet ServicesRoadMotorcycles
ADEMPUBTRAFLEROABUSURB,p,Aggregated DemandPublicTransportationFleet ServicesRoadInter-city BusesUrban Bus 
ADEMPUBTRAPOLMAR______,p,Aggregated DemandPublicTransportationPolice ServicesMarine
ADEMPUBTRAPOLROATRUHET,p,Aggregated DemandPublicTransportationPolice ServicesRoadTruckHeavy Trucks
ADEMPUBTRAPOLROACAR___,p,Aggregated DemandPublicTransportationPolice ServicesRoadCars
ADEMPUBTRAPOLROAMOR___,p,Aggregated DemandPublicTransportationPolice ServicesRoadMotorcycles
ADEMPUBTRAPOLROATRUMET,p,Aggregated DemandPublicTransportationPolice ServicesRoadTruckMedium Trucks
ADEMPUBTRAPOLROATRULGT,p,Aggregated DemandPublicTransportationPolice ServicesRoadTruckPassenger Light Trucks
ADEMPUBTRAPOLROABUSURB,p,Aggregated DemandPublicTransportationPolice ServicesRoadInter-city BusesUrban Bus 
ADEMPUBTRATHCMAR______,p,Aggregated DemandPublicTransportationToronto Housing CompanyMarine
ADEMPUBTRATHCROATRUHET,p,Aggregated DemandPublicTransportationToronto Housing CompanyRoadTruckHeavy Trucks
ADEMPUBTRATHCROACAR___,p,Aggregated DemandPublicTransportationToronto Housing CompanyRoadCars
ADEMPUBTRATHCROATRUMET,p,Aggregated DemandPublicTransportationToronto Housing CompanyRoadTruckMedium Trucks
ADEMPUBTRATHCROATRULGT,p,Aggregated DemandPublicTransportationToronto Housing CompanyRoadTruckPassenger Light Trucks
ADEMPUBTRATHCROAMOR___,p,Aggregated DemandPublicTransportationToronto Housing CompanyRoadMotorcycles
ADEMPUBTRATHCROABUSURB,p,Aggregated DemandPublicTransportationToronto Housing CompanyRoadInter-city BusesUrban Bus 
PUBTRABDSL,p,Public TransportationBiodiesel
PUBTRARDSL,p,Public TransportationRenewable Diesel
PUBTRADSL,p,Public TransportationDiesel
PUBTRAFTDSL,p,Public TransportationFT Diesel
PUBTRAETH,p,Public TransportationEthanol
PUBTRACETH,p,Public TransportationCellulosic Ethanol
PUBTRAGAS,p,Public TransportationGasoline
PUBTRAHH2,p,Public TransportationHydrogen
PUBTRAHFO,p,Public TransportationHeavy Fuel Oil
PUBTRAKER,p,Public TransportationKerosene
PUBTRALFO,p,Public TransportationLight Fuel Oil
PUBTRAELC,p,Public TransportationElectricity
PUBTRANGA,p,Public TransportationNatural Gas
PUBTRABMTN,p,Public TransportationBio Methane
PUBTRASGA,p,Public TransportationSynthetic Gas
PUBTRASMTN,p,Public TransportationSynthetic Methane
PUBTRAPRO,p,Public TransportationPropane
PUBTRABELCF,p,Public TransportationBattery Electricity Freight
PUBTRABELC,p,Public TransportationBattery Electric Vehicle
