regions,tech,vintage,exist_cap,exist_cap_units,exist_cap_notes
TO,PUBTRAFLE,2015,10000000000,,PublicTransportationFleet Services
TO,PUBTRAPOL,2015,10000000000,,PublicTransportationPolice Services
TO,PUBTRATHC,2015,10000000000,,PublicTransportationToronto Housing Company
