regions,tech,life,life_notes
TO,PUBTRATHCROATRUHETCATERDSLELC_25,10.0,PublicTransportationToronto Housing CompanyRoadTruckHeavy TrucksCatenaryRenewable DieselElectricity2025
TO,PUBTRATHCROATRUHETCONVRDSL____23,10.0,PublicTransportationToronto Housing CompanyRoadTruckHeavy TrucksConventionnalRenewable Diesel2023
TO,PUBTRATHCROATRUHETHYBRDSL____23,10.0,PublicTransportationToronto Housing CompanyRoadTruckHeavy TrucksHybridRenewable Diesel2023
TO,PUBTRATHCROATRUHETPHEVRDSLBELCF_23,10.0,PublicTransportationToronto Housing CompanyRoadTruckHeavy TrucksPlug Hybrid VehicleRenewable DieselBattery Electricity Freight2023
TO,PUBTRATHCROATRUHETCONVDSL____16,10.0,PublicTransportationToronto Housing CompanyRoadTruckHeavy TrucksConventionnalDiesel2016
TO,PUBTRAFLEROATRULGTCONVDSL____23,15.0,PublicTransportationFleet ServicesRoadTruckPassenger Light TrucksConventionnalDiesel2023
TO,PUBTRAFLEROATRULGTHYBDSL____23,15.0,PublicTransportationFleet ServicesRoadTruckPassenger Light TrucksHybridDiesel2023
TO,PUBTRAFLEROATRULGTBEVBELCF____23,15.0,PublicTransportationFleet ServicesRoadTruckPassenger Light TrucksBattery Electric VehicleBattery Electricity Freight2023
TO,PUBTRAFLEROATRULGTCONVGAS____23,15.0,PublicTransportationFleet ServicesRoadTruckPassenger Light TrucksConventionnalGasoline2023
TO,PUBTRAFLEROATRULGTHYBGAS____23,15.0,PublicTransportationFleet ServicesRoadTruckPassenger Light TrucksHybridGasoline2023
TO,PUBTRAFLEROATRULGTPHEVGASBELCF_23,15.0,PublicTransportationFleet ServicesRoadTruckPassenger Light TrucksPlug Hybrid VehicleGasolineBattery Electricity Freight2023
TO,PUBTRAFLEROATRULGTCELLHH2____23,15.0,PublicTransportationFleet ServicesRoadTruckPassenger Light TrucksFuel Cell VehicleHydrogen2023
TO,PUBTRAFLEROATRULGTCONVNGA____23,15.0,PublicTransportationFleet ServicesRoadTruckPassenger Light TrucksConventionnalNatural Gas2023
TO,PUBTRAFLEROATRULGTCONVPRO____23,15.0,PublicTransportationFleet ServicesRoadTruckPassenger Light TrucksConventionnalPropane2023
TO,PUBTRAFLEROATRULGTCONVRDSL____23,15.0,PublicTransportationFleet ServicesRoadTruckPassenger Light TrucksConventionnalRenewable Diesel2023
TO,PUBTRAFLEROATRULGTHYBRDSL____23,15.0,PublicTransportationFleet ServicesRoadTruckPassenger Light TrucksHybridRenewable Diesel2023
TO,PUBTRAFLEROATRULGTCONVDSL____16,15.0,PublicTransportationFleet ServicesRoadTruckPassenger Light TrucksConventionnalDiesel2016
TO,PUBTRAFLEROATRULGTCONVGAS____16,15.0,PublicTransportationFleet ServicesRoadTruckPassenger Light TrucksConventionnalGasoline2016
TO,PUBTRAPOLROATRULGTCONVDSL____23,15.0,PublicTransportationPolice ServicesRoadTruckPassenger Light TrucksConventionnalDiesel2023
TO,PUBTRAPOLROATRULGTHYBDSL____23,15.0,PublicTransportationPolice ServicesRoadTruckPassenger Light TrucksHybridDiesel2023
TO,PUBTRAPOLROATRULGTBEVBELCF____23,15.0,PublicTransportationPolice ServicesRoadTruckPassenger Light TrucksBattery Electric VehicleBattery Electricity Freight2023
TO,PUBTRAPOLROATRULGTCONVGAS____23,15.0,PublicTransportationPolice ServicesRoadTruckPassenger Light TrucksConventionnalGasoline2023
TO,PUBTRAPOLROATRULGTHYBGAS____23,15.0,PublicTransportationPolice ServicesRoadTruckPassenger Light TrucksHybridGasoline2023
TO,PUBTRAPOLROATRULGTPHEVGASBELCF_23,15.0,PublicTransportationPolice ServicesRoadTruckPassenger Light TrucksPlug Hybrid VehicleGasolineBattery Electricity Freight2023
TO,PUBTRAPOLROATRULGTCELLHH2____23,15.0,PublicTransportationPolice ServicesRoadTruckPassenger Light TrucksFuel Cell VehicleHydrogen2023
TO,PUBTRAPOLROATRULGTCONVNGA____23,15.0,PublicTransportationPolice ServicesRoadTruckPassenger Light TrucksConventionnalNatural Gas2023
TO,PUBTRAPOLROATRULGTCONVPRO____23,15.0,PublicTransportationPolice ServicesRoadTruckPassenger Light TrucksConventionnalPropane2023
TO,PUBTRAPOLROATRULGTCONVRDSL____23,15.0,PublicTransportationPolice ServicesRoadTruckPassenger Light TrucksConventionnalRenewable Diesel2023
TO,PUBTRAPOLROATRULGTHYBRDSL____23,15.0,PublicTransportationPolice ServicesRoadTruckPassenger Light TrucksHybridRenewable Diesel2023
TO,PUBTRAPOLROATRULGTCONVDSL____16,15.0,PublicTransportationPolice ServicesRoadTruckPassenger Light TrucksConventionnalDiesel2016
TO,PUBTRAPOLROATRULGTCONVGAS____16,15.0,PublicTransportationPolice ServicesRoadTruckPassenger Light TrucksConventionnalGasoline2016
TO,PUBTRATHCROATRULGTCONVDSL____23,15.0,PublicTransportationToronto Housing CompanyRoadTruckPassenger Light TrucksConventionnalDiesel2023
TO,PUBTRATHCROATRULGTHYBDSL____23,15.0,PublicTransportationToronto Housing CompanyRoadTruckPassenger Light TrucksHybridDiesel2023
TO,PUBTRATHCROATRULGTBEVBELCF____23,15.0,PublicTransportationToronto Housing CompanyRoadTruckPassenger Light TrucksBattery Electric VehicleBattery Electricity Freight2023
TO,PUBTRATHCROATRULGTCONVGAS____23,15.0,PublicTransportationToronto Housing CompanyRoadTruckPassenger Light TrucksConventionnalGasoline2023
TO,PUBTRATHCROATRULGTHYBGAS____23,15.0,PublicTransportationToronto Housing CompanyRoadTruckPassenger Light TrucksHybridGasoline2023
TO,PUBTRATHCROATRULGTPHEVGASBELCF_23,15.0,PublicTransportationToronto Housing CompanyRoadTruckPassenger Light TrucksPlug Hybrid VehicleGasolineBattery Electricity Freight2023
TO,PUBTRATHCROATRULGTCELLHH2____23,15.0,PublicTransportationToronto Housing CompanyRoadTruckPassenger Light TrucksFuel Cell VehicleHydrogen2023
TO,PUBTRATHCROATRULGTCONVNGA____23,15.0,PublicTransportationToronto Housing CompanyRoadTruckPassenger Light TrucksConventionnalNatural Gas2023
TO,PUBTRATHCROATRULGTCONVPRO____23,15.0,PublicTransportationToronto Housing CompanyRoadTruckPassenger Light TrucksConventionnalPropane2023
TO,PUBTRATHCROATRULGTCONVRDSL____23,15.0,PublicTransportationToronto Housing CompanyRoadTruckPassenger Light TrucksConventionnalRenewable Diesel2023
