regions,tech,c2a,c2a_notes
TO,PUBTRATHCROATRULGTHYBGAS____23,350.40000000000003,PublicTransportationToronto Housing CompanyRoadTruckPassenger Light TrucksHybridGasoline2023
TO,PUBTRATHCROATRULGTPHEVGASBELCF_23,350.40000000000003,PublicTransportationToronto Housing CompanyRoadTruckPassenger Light TrucksPlug Hybrid VehicleGasolineBattery Electricity Freight2023
TO,PUBTRATHCROATRULGTCELLHH2____23,350.40000000000003,PublicTransportationToronto Housing CompanyRoadTruckPassenger Light TrucksFuel Cell VehicleHydrogen2023
TO,PUBTRATHCROATRULGTCONVNGA____23,350.40000000000003,PublicTransportationToronto Housing CompanyRoadTruckPassenger Light TrucksConventionnalNatural Gas2023
TO,PUBTRATHCROATRULGTCONVPRO____23,350.40000000000003,PublicTransportationToronto Housing CompanyRoadTruckPassenger Light TrucksConventionnalPropane2023
TO,PUBTRATHCROATRULGTCONVRDSL____23,350.40000000000003,PublicTransportationToronto Housing CompanyRoadTruckPassenger Light TrucksConventionnalRenewable Diesel2023
TO,PUBTRATHCROATRULGTHYBRDSL____23,350.40000000000003,PublicTransportationToronto Housing CompanyRoadTruckPassenger Light TrucksHybridRenewable Diesel2023
TO,PUBTRATHCROATRULGTCONVDSL____16,350.40000000000003,PublicTransportationToronto Housing CompanyRoadTruckPassenger Light TrucksConventionnalDiesel2016
TO,PUBTRATHCROATRULGTCONVGAS____16,350.40000000000003,PublicTransportationToronto Housing CompanyRoadTruckPassenger Light TrucksConventionnalGasoline2016
TO,PUBTRAFLEROATRUMETCONVDSL____23,262.8,PublicTransportationFleet ServicesRoadTruckMedium TrucksConventionnalDiesel2023
TO,PUBTRAFLEROATRUMETHYBDSL____23,262.8,PublicTransportationFleet ServicesRoadTruckMedium TrucksHybridDiesel2023
TO,PUBTRAFLEROATRUMETPHEVDSLBELCF_23,262.8,PublicTransportationFleet ServicesRoadTruckMedium TrucksPlug Hybrid VehicleDieselBattery Electricity Freight2023
TO,PUBTRAFLEROATRUMETBEVBELCF____23,262.8,PublicTransportationFleet ServicesRoadTruckMedium TrucksBattery Electric VehicleBattery Electricity Freight2023
TO,PUBTRAFLEROATRUMETCONVGAS____23,262.8,PublicTransportationFleet ServicesRoadTruckMedium TrucksConventionnalGasoline2023
TO,PUBTRAFLEROATRUMETCELLHH2____23,262.8,PublicTransportationFleet ServicesRoadTruckMedium TrucksFuel Cell VehicleHydrogen2023
TO,PUBTRAFLEROATRUMETCONVNGA____23,262.8,PublicTransportationFleet ServicesRoadTruckMedium TrucksConventionnalNatural Gas2023
TO,PUBTRAFLEROATRUMETCONVPRO____23,262.8,PublicTransportationFleet ServicesRoadTruckMedium TrucksConventionnalPropane2023
TO,PUBTRAFLEROATRUMETCONVRDSL____23,262.8,PublicTransportationFleet ServicesRoadTruckMedium TrucksConventionnalRenewable Diesel2023
TO,PUBTRAFLEROATRUMETHYBRDSL____23,262.8,PublicTransportationFleet ServicesRoadTruckMedium TrucksHybridRenewable Diesel2023
TO,PUBTRAFLEROATRUMETPHEVRDSLBELCF_23,262.8,PublicTransportationFleet ServicesRoadTruckMedium TrucksPlug Hybrid VehicleRenewable DieselBattery Electricity Freight2023
TO,PUBTRAFLEROATRUMETCONVDSL____16,262.8,PublicTransportationFleet ServicesRoadTruckMedium TrucksConventionnalDiesel2016
TO,PUBTRAFLEROATRUMETCONVGAS____16,262.8,PublicTransportationFleet ServicesRoadTruckMedium TrucksConventionnalGasoline2016
TO,PUBTRATHCROATRUMETCONVDSL____23,262.8,PublicTransportationToronto Housing CompanyRoadTruckMedium TrucksConventionnalDiesel2023
TO,PUBTRATHCROATRUMETHYBDSL____23,262.8,PublicTransportationToronto Housing CompanyRoadTruckMedium TrucksHybridDiesel2023
TO,PUBTRATHCROATRUMETPHEVDSLBELCF_23,262.8,PublicTransportationToronto Housing CompanyRoadTruckMedium TrucksPlug Hybrid VehicleDieselBattery Electricity Freight2023
TO,PUBTRATHCROATRUMETBEVBELCF____23,262.8,PublicTransportationToronto Housing CompanyRoadTruckMedium TrucksBattery Electric VehicleBattery Electricity Freight2023
TO,PUBTRATHCROATRUMETCONVGAS____23,262.8,PublicTransportationToronto Housing CompanyRoadTruckMedium TrucksConventionnalGasoline2023
TO,PUBTRATHCROATRUMETCELLHH2____23,262.8,PublicTransportationToronto Housing CompanyRoadTruckMedium TrucksFuel Cell VehicleHydrogen2023
TO,PUBTRATHCROATRUMETCONVNGA____23,262.8,PublicTransportationToronto Housing CompanyRoadTruckMedium TrucksConventionnalNatural Gas2023
TO,PUBTRATHCROATRUMETCONVPRO____23,262.8,PublicTransportationToronto Housing CompanyRoadTruckMedium TrucksConventionnalPropane2023
TO,PUBTRATHCROATRUMETCONVRDSL____23,262.8,PublicTransportationToronto Housing CompanyRoadTruckMedium TrucksConventionnalRenewable Diesel2023
