regions,periods,tech,maxcap,maxcap_units,maxcap_notes
TO,2018,PUBTRAPOLROATRULGTCONVGAS____16,0.027490213,,
TO,2018,PUBTRAPOLROATRUMETCONVGAS____16,0.000103565,,
TO,2018,PUBTRATHCROACAR___CONVGAS____16,0.005079179,,
TO,2018,PUBTRATHCROAMOR___CONVGAS____16,0,,
TO,2018,PUBTRATHCROATRULGTCONVGAS____16,0.003685914,,
TO,2018,PUBTRATHCROATRUMETCONVGAS____16,0.002376863,,
TO,2019,PUBTRAFLEROABUSURBCONVDSL____16,1.06E-05,,
TO,2019,PUBTRAFLEROACAR___CONVDSL____16,0.000711773,,
TO,2019,PUBTRAFLEROATRUHETCONVDSL____16,0.099399758,,
TO,2019,PUBTRAFLEROATRULGTCONVDSL____16,0.069473872,,
TO,2019,PUBTRAFLEROATRUMETCONVDSL____16,0.074982989,,
TO,2019,PUBTRAPOLROABUSURBCONVDSL____16,0.000228792,,
TO,2019,PUBTRAPOLROACAR___CONVDSL____16,0.001091268,,
TO,2019,PUBTRAPOLROATRUHETCONVDSL____16,0,,
TO,2019,PUBTRAPOLROATRULGTCONVDSL____16,0.003093772,,
TO,2019,PUBTRAPOLROATRUMETCONVDSL____16,0.002600564,,
TO,2019,PUBTRATHCROABUSURBCONVDSL____16,1.06E-05,,
TO,2019,PUBTRATHCROACAR___CONVDSL____16,0.000138431,,
TO,2019,PUBTRATHCROATRUHETCONVDSL____16,0,,
TO,2019,PUBTRATHCROATRULGTCONVDSL____16,0.000769042,,
TO,2019,PUBTRATHCROATRUMETCONVDSL____16,0.000688479,,
TO,2019,PUBTRAFLEROACAR___CONVGAS____16,0.032729798,,
TO,2019,PUBTRAFLEROAMOR___CONVGAS____16,0,,
TO,2019,PUBTRAFLEROATRULGTCONVGAS____16,0.126088141,,
TO,2019,PUBTRAFLEROATRUMETCONVGAS____16,0.027786368,,
TO,2019,PUBTRAPOLROACAR___CONVGAS____16,0.136709007,,
TO,2019,PUBTRAPOLROAMOR___CONVGAS____16,0.000306622,,
TO,2019,PUBTRAPOLROATRULGTCONVGAS____16,0.045539372,,
TO,2019,PUBTRAPOLROATRUMETCONVGAS____16,0.000141727,,
TO,2019,PUBTRATHCROACAR___CONVGAS____16,0.007626462,,
TO,2019,PUBTRATHCROAMOR___CONVGAS____16,0,,
TO,2019,PUBTRATHCROATRULGTCONVGAS____16,0.005548168,,
TO,2019,PUBTRATHCROATRUMETCONVGAS____16,0.002959796,,
TO,2020,PUBTRAFLEROABUSURBCONVDSL____16,1.29E-05,,
TO,2020,PUBTRAFLEROACAR___CONVDSL____16,0.000960811,,
TO,2020,PUBTRAFLEROATRUHETCONVDSL____16,0.380893269,,
TO,2020,PUBTRAFLEROATRULGTCONVDSL____16,0.255766197,,
TO,2020,PUBTRAFLEROATRUMETCONVDSL____16,0.308147845,,
TO,2020,PUBTRAPOLROABUSURBCONVDSL____16,0.000794451,,
TO,2020,PUBTRAPOLROACAR___CONVDSL____16,0.003185237,,
TO,2020,PUBTRAPOLROATRUHETCONVDSL____16,0,,
TO,2020,PUBTRAPOLROATRULGTCONVDSL____16,0.009133935,,
TO,2020,PUBTRAPOLROATRUMETCONVDSL____16,0.009946321,,
TO,2020,PUBTRATHCROABUSURBCONVDSL____16,1.29E-05,,
TO,2020,PUBTRATHCROACAR___CONVDSL____16,0.000198936,,
TO,2020,PUBTRATHCROATRUHETCONVDSL____16,0,,
TO,2020,PUBTRATHCROATRULGTCONVDSL____16,0.002842576,,
TO,2020,PUBTRATHCROATRUMETCONVDSL____16,0.004716669,,
TO,2020,PUBTRAFLEROACAR___CONVGAS____16,0.127081123,,
TO,2020,PUBTRAFLEROAMOR___CONVGAS____16,1.08E-05,,
TO,2020,PUBTRAFLEROATRULGTCONVGAS____16,0.493609108,,
TO,2020,PUBTRAFLEROATRUMETCONVGAS____16,0.085577236,,
TO,2020,PUBTRAPOLROACAR___CONVGAS____16,0.524342229,,
TO,2020,PUBTRAPOLROAMOR___CONVGAS____16,0.000422612,,
TO,2020,PUBTRAPOLROATRULGTCONVGAS____16,0.174376537,,
TO,2020,PUBTRAPOLROATRUMETCONVGAS____16,0.000180308,,
TO,2020,PUBTRATHCROACAR___CONVGAS____16,0.029321482,,
TO,2020,PUBTRATHCROAMOR___CONVGAS____16,1.08E-05,,
TO,2020,PUBTRATHCROATRULGTCONVGAS____16,0.020865812,,
TO,2020,PUBTRATHCROATRUMETCONVGAS____16,0.009447416,,
TO,2021,PUBTRAFLEROABUSURBCONVDSL____16,1.55E-05,,
TO,2021,PUBTRAFLEROACAR___CONVDSL____16,0.001241156,,
TO,2021,PUBTRAFLEROATRUHETCONVDSL____16,0.418917959,,
TO,2021,PUBTRAFLEROATRULGTCONVDSL____16,0.286085602,,
TO,2021,PUBTRAFLEROATRUMETCONVDSL____16,0.331346437,,
TO,2021,PUBTRAPOLROABUSURBCONVDSL____16,0.000886542,,
TO,2021,PUBTRAPOLROACAR___CONVDSL____16,0.005499573,,
TO,2021,PUBTRAPOLROATRUHETCONVDSL____16,1.03E-05,,
TO,2021,PUBTRAPOLROATRULGTCONVDSL____16,0.010619812,,
TO,2021,PUBTRAPOLROATRUMETCONVDSL____16,0.010929922,,
TO,2021,PUBTRATHCROABUSURBCONVDSL____16,1.55E-05,,
TO,2021,PUBTRATHCROACAR___CONVDSL____16,0.000266612,,
TO,2021,PUBTRATHCROATRUHETCONVDSL____16,1.03E-05,,
TO,2021,PUBTRATHCROATRULGTCONVDSL____16,0.003713954,,
TO,2021,PUBTRATHCROATRUMETCONVDSL____16,0.004726762,,
